GO.ID	Description	p.Val
GO:0055085	transmembrane transport	0.0053
GO:0032465	regulation of cytokinesis	0.0134
GO:0006102	isocitrate metabolic process	0.0134
GO:0006820	monoatomic anion transport	0.0139
GO:0034497	protein localization to phagophore assembly site	0.0139
GO:1902115	regulation of organelle assembly	0.0243
GO:0051453	regulation of intracellular pH	0.0244
GO:0006747	FAD biosynthetic process	0.0244
GO:0045921	positive regulation of exocytosis	0.0244
GO:0042541	hemoglobin biosynthetic process	0.0244
GO:0048821	erythrocyte development	0.0244
GO:0015701	bicarbonate transport	0.0244
GO:0032402	melanosome transport	0.0244
GO:2000643	positive regulation of early endosome to late endosome transport	0.0244
GO:0006408	snRNA export from nucleus	0.0244
GO:0014013	regulation of gliogenesis	0.0244
GO:0070681	glutaminyl-tRNAGln biosynthesis via transamidation	0.0244
GO:1902966	positive regulation of protein localization to early endosome	0.0244
GO:0006000	fructose metabolic process	0.0244
GO:0071578	zinc ion import across plasma membrane	0.0244
GO:0032218	riboflavin transport	0.0244
GO:0009214	cyclic nucleotide catabolic process	0.0244
GO:0006783	heme biosynthetic process	0.0245
GO:0034976	response to endoplasmic reticulum stress	0.0245
GO:0042246	tissue regeneration	0.0297
GO:0008299	isoprenoid biosynthetic process	0.0524
GO:0016973	poly(A)+ mRNA export from nucleus	0.0526
GO:0007155	cell adhesion	0.0574
GO:0009058	biosynthetic process	0.0574
GO:0046034	ATP metabolic process	0.0654
GO:0002755	MyD88-dependent toll-like receptor signaling pathway	0.0656
GO:0006516	glycoprotein catabolic process	0.0656
GO:0008210	estrogen metabolic process	0.0656
GO:0009411	response to UV	0.0656
GO:0008209	androgen metabolic process	0.0656
GO:0008360	regulation of cell shape	0.0656
GO:0018095	protein polyglutamylation	0.0656
GO:0006139	nucleobase-containing compound metabolic process	0.0657
GO:0006310	DNA recombination	0.0658
GO:0030490	maturation of SSU-rRNA	0.0815
GO:0030431	sleep	0.0816
GO:0032222	regulation of synaptic transmission, cholinergic	0.0816
GO:1903818	positive regulation of voltage-gated potassium channel activity	0.0816
GO:0090630	activation of GTPase activity	0.1159
GO:0000289	nuclear-transcribed mRNA poly(A) tail shortening	0.1159
GO:0008643	carbohydrate transport	0.1171
GO:0007346	regulation of mitotic cell cycle	0.1175
GO:0045165	cell fate commitment	0.1177
GO:0007281	germ cell development	0.1178
GO:0030322	stabilization of membrane potential	0.1178
GO:0032007	negative regulation of TOR signaling	0.1178
GO:0006646	phosphatidylethanolamine biosynthetic process	0.1178
GO:0043123	positive regulation of canonical NF-kappaB signal transduction	0.1178
GO:0046907	intracellular transport	0.1219
GO:0006397	mRNA processing	0.1302
GO:0030488	tRNA methylation	0.1323
GO:0006468	protein phosphorylation	0.1472
GO:0006665	sphingolipid metabolic process	0.1559
GO:0006952	defense response	0.1560
GO:0002218	activation of innate immune response	0.1560
GO:0044772	mitotic cell cycle phase transition	0.1562
GO:0015936	coenzyme A metabolic process	0.1562
GO:0001666	response to hypoxia	0.1562
GO:0008063	Toll signaling pathway	0.1563
GO:0006694	steroid biosynthetic process	0.1563
GO:0018160	peptidyl-pyrromethane cofactor linkage	0.1564
GO:0016926	protein desumoylation	0.1564
GO:1990168	protein K33-linked deubiquitination	0.1564
GO:0000480	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	0.1564
GO:0000472	endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	0.1564
GO:0045724	positive regulation of cilium assembly	0.1564
GO:0034454	microtubule anchoring at centrosome	0.1564
GO:1903457	lactate catabolic process	0.1564
GO:0007605	sensory perception of sound	0.1564
GO:1900073	regulation of neuromuscular synaptic transmission	0.1564
GO:0034551	mitochondrial respiratory chain complex III assembly	0.1564
GO:0001717	conversion of seryl-tRNAsec to selenocys-tRNAsec	0.1564
GO:0044027	negative regulation of gene expression via chromosomal CpG island methylation	0.1564
