GO.ID	Description	p.Val
GO:0032133	chromosome passenger complex	0.00058
GO:0051233	spindle midzone	0.00254
GO:0072669	tRNA-splicing ligase complex	0.01325
GO:0005912	adherens junction	0.01370
GO:0045177	apical part of cell	0.02408
GO:0005664	nuclear origin of replication recognition complex	0.02417
GO:0030692	Noc4p-Nop14p complex	0.02417
GO:0042470	melanosome	0.02417
GO:0031616	spindle pole centrosome	0.02417
GO:0030175	filopodium	0.02417
GO:0005721	pericentric heterochromatin	0.02417
GO:0000407	phagophore assembly site	0.02740
GO:0005813	centrosome	0.02991
GO:0062129	chitin-based extracellular matrix	0.03810
GO:0000922	spindle pole	0.05145
GO:0030015	CCR4-NOT core complex	0.05195
GO:1990072	TRAPPIII protein complex	0.06503
GO:0005581	collagen trimer	0.06503
GO:0035102	PRC1 complex	0.06503
GO:0070449	elongin complex	0.06503
GO:0005856	cytoskeleton	0.07553
GO:0072686	mitotic spindle	0.08063
GO:0022627	cytosolic small ribosomal subunit	0.08063
GO:0036064	ciliary basal body	0.10187
GO:0005769	early endosome	0.10233
GO:0030688	preribosome, small subunit precursor	0.11357
GO:0005814	centriole	0.11457
GO:0000775	chromosome, centromeric region	0.11590
GO:0070652	HAUS complex	0.11680
GO:0005604	basement membrane	0.11680
GO:0005876	spindle microtubule	0.11680
GO:0044545	NSL complex	0.11680
GO:0000932	P-body	0.13513
GO:0033178	proton-transporting two-sector ATPase complex, catalytic domain	0.15555
GO:0034456	UTP-C complex	0.15562
GO:0031251	PAN complex	0.15562
GO:0070187	shelterin complex	0.15562
GO:0097541	axonemal basal plate	0.15562
GO:0071203	WASH complex	0.15562
GO:0005958	DNA-dependent protein kinase-DNA ligase 4 complex	0.15562
GO:0016605	PML body	0.15562
GO:0031594	neuromuscular junction	0.15562
GO:0000444	MIS12/MIND type complex	0.15562
GO:0034751	aryl hydrocarbon receptor complex	0.15562
GO:0030678	mitochondrial ribonuclease P complex	0.15562
GO:0032593	insulin-responsive compartment	0.15562
GO:0008275	gamma-tubulin small complex	0.15562
GO:0070421	DNA ligase III-XRCC1 complex	0.15562
GO:0071818	BAT3 complex	0.15562
GO:0030956	glutamyl-tRNA(Gln) amidotransferase complex	0.15562
GO:0033596	TSC1-TSC2 complex	0.15562
GO:0017109	glutamate-cysteine ligase complex	0.15562
GO:0030121	AP-1 adaptor complex	0.15562
GO:0008232	activator ecdysone receptor complex	0.15562
GO:0005846	nuclear cap binding complex	0.15562
GO:0061177	type Is terminal bouton	0.15562
GO:0070776	MOZ/MORF histone acetyltransferase complex	0.15562
GO:0005697	telomerase holoenzyme complex	0.15562
GO:0033181	plasma membrane proton-transporting V-type ATPase complex	0.15562
GO:0000243	commitment complex	0.15562
GO:0032541	cortical endoplasmic reticulum	0.15562
GO:1990246	uniplex complex	0.15562
GO:0032545	CURI complex	0.15562
GO:0030014	CCR4-NOT complex	0.17380
GO:0030141	secretory granule	0.17458
GO:0005847	mRNA cleavage and polyadenylation specificity factor complex	0.17512
GO:0080008	Cul4-RING E3 ubiquitin ligase complex	0.19434
GO:0032040	small-subunit processome	0.20764
GO:0071011	precatalytic spliceosome	0.21883
GO:0030008	TRAPP complex	0.23547
GO:0005685	U1 snRNP	0.23671
GO:0071014	post-mRNA release spliceosomal complex	0.23671
GO:0005832	chaperonin-containing T-complex	0.23671
GO:0005834	heterotrimeric G-protein complex	0.23671
GO:0016020	membrane	0.28293
GO:0055037	recycling endosome	0.28349
GO:0005765	lysosomal membrane	0.28349
GO:0015935	small ribosomal subunit	0.28665
GO:0097730	non-motile cilium	0.28668
GO:0030018	Z disc	0.28707
GO:0000923	equatorial microtubule organizing center	0.28707
GO:0048476	Holliday junction resolvase complex	0.28707
GO:0016589	NURF complex	0.28707
GO:0032783	super elongation complex	0.28707
GO:0016514	SWI/SNF complex	0.28707
GO:0070985	transcription factor TFIIK complex	0.28707
GO:0070062	extracellular exosome	0.28707
GO:0032807	DNA ligase IV complex	0.28707
GO:0017059	serine palmitoyltransferase complex	0.28707
GO:0044233	mitochondria-associated endoplasmic reticulum membrane contact site	0.28707
GO:0042765	GPI-anchor transamidase complex	0.28707
GO:1902636	kinociliary basal body	0.28707
GO:0030496	midbody	0.28707
GO:0034715	pICln-Sm protein complex	0.28707
GO:0031466	Cul5-RING ubiquitin ligase complex	0.28707
GO:0016323	basolateral plasma membrane	0.28707
GO:0031515	tRNA (m1A) methyltransferase complex	0.28707
GO:0034271	phosphatidylinositol 3-kinase complex, class III, type I	0.28707
GO:0034272	phosphatidylinositol 3-kinase complex, class III, type II	0.28707
GO:0033186	CAF-1 complex	0.28707
GO:0048179	activin receptor complex	0.28707
GO:0000176	nuclear exosome (RNase complex)	0.29913
GO:0000177	cytoplasmic exosome (RNase complex)	0.29913
GO:0010494	cytoplasmic stress granule	0.29913
GO:0016324	apical plasma membrane	0.29913
GO:0031410	cytoplasmic vesicle	0.30804
GO:0019005	SCF ubiquitin ligase complex	0.34155
GO:0005776	autophagosome	0.36025
GO:0009898	cytoplasmic side of plasma membrane	0.39755
GO:0000307	cyclin-dependent protein kinase holoenzyme complex	0.39805
GO:0005663	DNA replication factor C complex	0.39810
GO:0005687	U4 snRNP	0.39810
GO:0097546	ciliary base	0.39810
GO:1990429	peroxisomal importomer complex	0.39810
GO:0071144	heteromeric SMAD protein complex	0.39810
GO:0000811	GINS complex	0.39810
GO:0000814	ESCRT II complex	0.39810
GO:0005921	gap junction	0.39810
GO:0034388	Pwp2p-containing subcomplex of 90S preribosome	0.39810
GO:0036038	MKS complex	0.39810
GO:0016342	catenin complex	0.39810
GO:0030915	Smc5-Smc6 complex	0.39810
GO:0071339	MLL1 complex	0.39810
GO:0030136	clathrin-coated vesicle	0.39839
GO:0005743	mitochondrial inner membrane	0.41652
GO:0005686	U2 snRNP	0.42004
GO:0005737	cytoplasm	0.44273
GO:0005615	extracellular space	0.45879
GO:0005852	eukaryotic translation initiation factor 3 complex	0.47647
GO:0036464	cytoplasmic ribonucleoprotein granule	0.48898
GO:0034457	Mpp10 complex	0.49186
