GO.ID	Description	p.Val
GO:0030170	pyridoxal phosphate binding	0.0007
GO:0030729	acetoacetate-CoA ligase activity	0.0008
GO:0000049	tRNA binding	0.0215
GO:0003725	double-stranded RNA binding	0.0254
GO:0042162	telomeric DNA binding	0.0283
GO:0043014	alpha-tubulin binding	0.0284
GO:0008510	sodium:bicarbonate symporter activity	0.0284
GO:0030151	molybdenum ion binding	0.0284
GO:0050567	glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity	0.0284
GO:0004113	2',3'-cyclic-nucleotide 3'-phosphodiesterase activity	0.0284
GO:0004142	diacylglycerol cholinephosphotransferase activity	0.0284
GO:0003870	5-aminolevulinate synthase activity	0.0284
GO:0004307	ethanolaminephosphotransferase activity	0.0284
GO:0032217	riboflavin transmembrane transporter activity	0.0284
GO:0005452	solute:inorganic anion antiporter activity	0.0284
GO:0050265	RNA uridylyltransferase activity	0.0284
GO:0004454	ketohexokinase activity	0.0284
GO:0003919	FMN adenylyltransferase activity	0.0284
GO:0008509	monoatomic anion transmembrane transporter activity	0.0284
GO:0003727	single-stranded RNA binding	0.0314
GO:0032266	phosphatidylinositol-3-phosphate binding	0.0365
GO:0008010	structural constituent of chitin-based larval cuticle	0.0496
GO:0004842	ubiquitin-protein transferase activity	0.0516
GO:0003824	catalytic activity	0.0666
GO:0070976	TIR domain binding	0.0756
GO:0004535	poly(A)-specific ribonuclease activity	0.0756
GO:0002161	aminoacyl-tRNA deacylase activity	0.0756
GO:0008143	poly(A) binding	0.0756
GO:0004683	calcium/calmodulin-dependent protein kinase activity	0.0756
GO:0003688	DNA replication origin binding	0.0756
GO:0004303	estradiol 17-beta-dehydrogenase [NAD(P)+] activity	0.0756
GO:0008253	5'-nucleotidase activity	0.0756
GO:0004672	protein kinase activity	0.1160
GO:0051119	sugar transmembrane transporter activity	0.1338
GO:0043015	gamma-tubulin binding	0.1345
GO:0004089	carbonate dehydratase activity	0.1345
GO:0005516	calmodulin binding	0.1345
GO:0030159	signaling receptor complex adaptor activity	0.1345
GO:0030628	pre-mRNA 3'-splice site binding	0.1345
GO:0022841	potassium ion leak channel activity	0.1345
GO:0005201	extracellular matrix structural constituent	0.1345
GO:0005515	protein binding	0.1607
