GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0002189	ribose phosphate diphosphokinase complex	3	2	0.19	0.011
2	GO:0099572	postsynaptic specialization	15	2	0.95	0.063
3	GO:0008232	activator ecdysone receptor complex	1	1	0.06	0.063
4	GO:0034245	mitochondrial DNA-directed RNA polymerase complex	1	1	0.06	0.063
5	GO:0030906	retromer, cargo-selective complex	1	1	0.06	0.063
6	GO:0005668	RNA polymerase transcription factor SL1 complex	1	1	0.06	0.063
7	GO:0035517	PR-DUB complex	1	1	0.06	0.063
8	GO:0097541	axonemal basal plate	1	1	0.06	0.063
9	GO:0097542	ciliary tip	1	1	0.06	0.063
10	GO:0070860	RNA polymerase I core factor complex	1	1	0.06	0.063
11	GO:0031982	vesicle	129	10	8.13	0.067
12	GO:0005669	transcription factor TFIID complex	7	2	0.44	0.067
13	GO:0062129	chitin-based extracellular matrix	25	4	1.58	0.068
14	GO:1990904	ribonucleoprotein complex	144	12	9.07	0.079
15	GO:0043296	apical junction complex	8	2	0.5	0.086
16	GO:0005783	endoplasmic reticulum	162	15	10.21	0.105
17	GO:0016459	myosin complex	19	3	1.2	0.114
18	GO:0005912	adherens junction	19	3	1.2	0.114
19	GO:0046695	SLIK (SAGA-like) complex	2	1	0.13	0.122
20	GO:0005901	caveola	2	1	0.13	0.122
21	GO:0034515	proteasome storage granule	2	1	0.13	0.122
22	GO:0035145	exon-exon junction complex	2	1	0.13	0.122
23	GO:0097255	R2TP complex	2	1	0.13	0.122
24	GO:0005663	DNA replication factor C complex	2	1	0.13	0.122
25	GO:1990316	Atg1/ULK1 kinase complex	2	1	0.13	0.122
26	GO:0070776	MOZ/MORF histone acetyltransferase complex	2	1	0.13	0.122
27	GO:0010369	chromocenter	2	1	0.13	0.122
28	GO:0071782	endoplasmic reticulum tubular network	2	1	0.13	0.122
29	GO:0005869	dynactin complex	2	1	0.13	0.122
30	GO:0005811	lipid droplet	10	2	0.63	0.127
31	GO:0022625	cytosolic large ribosomal subunit	21	3	1.32	0.142
32	GO:0005737	cytoplasm	1465	101	92.3	0.148
33	GO:0005925	focal adhesion	11	2	0.69	0.149
34	GO:0043227	membrane-bounded organelle	1616	106	101.81	0.173
35	GO:0005902	microvillus	3	1	0.19	0.177
36	GO:0030126	COPI vesicle coat	3	1	0.19	0.177
37	GO:0000124	SAGA complex	3	1	0.19	0.177
38	GO:0005658	alpha DNA polymerase:primase complex	3	1	0.19	0.177
39	GO:0005643	nuclear pore	13	2	0.82	0.196
40	GO:0016324	apical plasma membrane	13	2	0.82	0.196
41	GO:0005770	late endosome	13	2	0.82	0.196
42	GO:0005886	plasma membrane	422	30	26.59	0.217
43	GO:0005838	proteasome regulatory particle	8	2	0.5	0.229
44	GO:0008540	proteasome regulatory particle, base subcomplex	4	1	0.25	0.229
45	GO:0005871	kinesin complex	4	1	0.25	0.229
46	GO:0005736	RNA polymerase I complex	4	1	0.25	0.229
47	GO:0030131	clathrin adaptor complex	4	1	0.25	0.229
48	GO:0022627	cytosolic small ribosomal subunit	16	2	1.01	0.267
49	GO:0005840	ribosome	45	6	2.84	0.275
50	GO:0009897	external side of plasma membrane	5	1	0.32	0.278
51	GO:0031380	nuclear RNA-directed RNA polymerase complex	5	1	0.32	0.278
52	GO:0010494	cytoplasmic stress granule	5	1	0.32	0.278
53	GO:0005802	trans-Golgi network	18	2	1.13	0.315
54	GO:0043231	intracellular membrane-bounded organelle	1552	101	97.78	0.317
55	GO:0031012	extracellular matrix	66	8	4.16	0.320
56	GO:0005793	endoplasmic reticulum-Golgi intermediate compartment	6	1	0.38	0.323
57	GO:0032045	guanyl-nucleotide exchange factor complex	6	1	0.38	0.323
58	GO:0030991	intraciliary transport particle A	6	1	0.38	0.323
59	GO:0035371	microtubule plus-end	6	1	0.38	0.323
60	GO:0005834	heterotrimeric G-protein complex	6	1	0.38	0.323
61	GO:0031901	early endosome membrane	6	1	0.38	0.323
62	GO:0005921	gap junction	6	1	0.38	0.323
63	GO:0005739	mitochondrion	170	11	10.71	0.340
64	GO:0005654	nucleoplasm	113	10	7.12	0.350
65	GO:0000407	phagophore assembly site	7	1	0.44	0.366
66	GO:0005622	intracellular anatomical structure	2377	157	149.76	0.375
67	GO:0097730	non-motile cilium	8	1	0.5	0.406
68	GO:0030286	dynein complex	8	1	0.5	0.406
69	GO:0030134	COPII-coated ER to Golgi transport vesicle	8	1	0.5	0.406
70	GO:0005794	Golgi apparatus	128	8	8.06	0.432
71	GO:0005789	endoplasmic reticulum membrane	84	6	5.29	0.437
72	GO:0000786	nucleosome	9	1	0.57	0.444
73	GO:0005814	centriole	9	1	0.57	0.444
74	GO:0005604	basement membrane	9	1	0.57	0.444
75	GO:0005891	voltage-gated calcium channel complex	10	1	0.63	0.479
76	GO:0048786	presynaptic active zone	10	1	0.63	0.479
77	GO:0005615	extracellular space	136	9	8.57	0.490
78	GO:0045211	postsynaptic membrane	26	2	1.64	0.495
79	GO:0030136	clathrin-coated vesicle	12	1	0.76	0.543
80	GO:0016604	nuclear body	12	1	0.76	0.543
81	GO:0005634	nucleus	960	59	60.48	0.563
82	GO:0005768	endosome	65	5	4.1	0.571
83	GO:0019898	extrinsic component of membrane	34	2	2.14	0.572
84	GO:0030864	cortical actin cytoskeleton	14	1	0.88	0.599
85	GO:0014069	postsynaptic density	14	1	0.88	0.599
86	GO:0030686	90S preribosome	14	1	0.88	0.599
