GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0004197	cysteine-type endopeptidase activity	24	6	1.54	0.0033
2	GO:0004142	diacylglycerol cholinephosphotransferase activity	2	2	0.13	0.0041
3	GO:0004169	dolichyl-phosphate-mannose-protein mannosyltransferase activity	2	2	0.13	0.0041
4	GO:0004749	ribose phosphate diphosphokinase activity	3	2	0.19	0.0118
5	GO:0004307	ethanolaminephosphotransferase activity	3	2	0.19	0.0118
6	GO:0015232	heme transmembrane transporter activity	5	2	0.32	0.0361
7	GO:0008139	nuclear localization sequence binding	5	2	0.32	0.0361
8	GO:0046872	metal ion binding	513	34	32.96	0.0456
9	GO:0008237	metallopeptidase activity	83	9	5.33	0.0512
10	GO:0004115	3',5'-cyclic-AMP phosphodiesterase activity	6	2	0.39	0.0519
11	GO:0005044	scavenger receptor activity	6	2	0.39	0.0519
12	GO:0017056	structural constituent of nuclear pore	6	2	0.39	0.0519
13	GO:0008097	5S rRNA binding	1	1	0.06	0.0642
14	GO:0004751	ribose-5-phosphate isomerase activity	1	1	0.06	0.0642
15	GO:0070840	dynein complex binding	1	1	0.06	0.0642
16	GO:0004807	triose-phosphate isomerase activity	1	1	0.06	0.0642
17	GO:0008545	JUN kinase kinase activity	1	1	0.06	0.0642
18	GO:0106073	dolichyl pyrophosphate Glc2Man9GlcNAc2 alpha-1,2-glucosyltransferase activity	1	1	0.06	0.0642
19	GO:0008241	peptidyl-dipeptidase activity	1	1	0.06	0.0642
20	GO:0004458	D-lactate dehydrogenase (cytochrome) activity	1	1	0.06	0.0642
21	GO:0008073	ornithine decarboxylase inhibitor activity	1	1	0.06	0.0642
22	GO:0008349	MAP kinase kinase kinase kinase activity	1	1	0.06	0.0642
23	GO:0010314	phosphatidylinositol-5-phosphate binding	1	1	0.06	0.0642
24	GO:0008301	DNA binding, bending	1	1	0.06	0.0642
25	GO:0001018	mitochondrial promoter sequence-specific DNA binding	1	1	0.06	0.0642
26	GO:0046525	xylosylprotein 4-beta-galactosyltransferase activity	1	1	0.06	0.0642
27	GO:0008768	UDP-sugar diphosphatase activity	1	1	0.06	0.0642
28	GO:0002953	5'-deoxynucleotidase activity	1	1	0.06	0.0642
29	GO:0008783	agmatinase activity	1	1	0.06	0.0642
30	GO:0004325	ferrochelatase activity	1	1	0.06	0.0642
31	GO:0008465	hydroxypyruvate reductase (NADH) activity	1	1	0.06	0.0642
32	GO:0019869	chloride channel inhibitor activity	1	1	0.06	0.0642
33	GO:0008720	D-lactate dehydrogenase (NAD+) activity	1	1	0.06	0.0642
