GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0006082	organic acid metabolic process	52	8	3.57	2.1e-05
2	GO:0006805	xenobiotic metabolic process	4	4	0.27	2.1e-05
3	GO:0007172	signal complex assembly	2	2	0.14	0.0047
4	GO:0006646	phosphatidylethanolamine biosynthetic process	2	2	0.14	0.0047
5	GO:0006015	5-phosphoribose 1-diphosphate biosynthetic process	2	2	0.14	0.0047
6	GO:0006606	protein import into nucleus	8	3	0.55	0.0137
7	GO:0016311	dephosphorylation	51	8	3.5	0.0195
8	GO:0050801	monoatomic ion homeostasis	33	5	2.26	0.0678
9	GO:0019693	ribose phosphate metabolic process	23	4	1.58	0.0679
10	GO:0000165	MAPK cascade	18	3	1.23	0.0682
11	GO:0006654	phosphatidic acid biosynthetic process	1	1	0.07	0.0686
12	GO:0044773	mitotic DNA damage checkpoint signaling	1	1	0.07	0.0686
13	GO:1903288	positive regulation of potassium ion import across plasma membrane	1	1	0.07	0.0686
14	GO:0032781	positive regulation of ATP-dependent activity	1	1	0.07	0.0686
15	GO:0009880	embryonic pattern specification	1	1	0.07	0.0686
16	GO:0046166	glyceraldehyde-3-phosphate biosynthetic process	1	1	0.07	0.0686
17	GO:1903457	lactate catabolic process	1	1	0.07	0.0686
18	GO:0001654	eye development	1	1	0.07	0.0686
19	GO:0033389	putrescine biosynthetic process from arginine, via agmatine	1	1	0.07	0.0686
20	GO:0051443	positive regulation of ubiquitin-protein transferase activity	1	1	0.07	0.0686
21	GO:0006269	DNA replication, synthesis of primer	1	1	0.07	0.0686
22	GO:0051660	establishment of centrosome localization	1	1	0.07	0.0686
23	GO:0010766	negative regulation of sodium ion transport	1	1	0.07	0.0686
24	GO:2000651	positive regulation of sodium ion transmembrane transporter activity	1	1	0.07	0.0686
25	GO:0043103	hypoxanthine salvage	1	1	0.07	0.0686
26	GO:0071586	CAAX-box protein processing	1	1	0.07	0.0686
27	GO:0060169	negative regulation of adenosine receptor signaling pathway	1	1	0.07	0.0686
28	GO:0006488	dolichol-linked oligosaccharide biosynthetic process	1	1	0.07	0.0686
29	GO:0006420	arginyl-tRNA aminoacylation	1	1	0.07	0.0686
30	GO:0006419	alanyl-tRNA aminoacylation	1	1	0.07	0.0686
31	GO:0019563	glycerol catabolic process	1	1	0.07	0.0686
32	GO:0007010	cytoskeleton organization	122	9	8.37	0.0790
33	GO:0090630	activation of GTPase activity	8	2	0.55	0.0997
34	GO:0046854	phosphatidylinositol phosphate biosynthetic process	9	2	0.62	0.1225
35	GO:0042981	regulation of apoptotic process	9	2	0.62	0.1225
36	GO:0006508	proteolysis	91	10	6.24	0.1275
37	GO:0006753	nucleoside phosphate metabolic process	43	4	2.95	0.1324
38	GO:0070989	oxidative demethylation	2	1	0.14	0.1325
39	GO:0071786	endoplasmic reticulum tubular network organization	2	1	0.14	0.1325
40	GO:0000492	box C/D snoRNP assembly	2	1	0.14	0.1325
41	GO:0090263	positive regulation of canonical Wnt signaling pathway	2	1	0.14	0.1325
42	GO:0009156	ribonucleoside monophosphate biosynthetic process	2	1	0.14	0.1325
43	GO:0033617	mitochondrial respiratory chain complex IV assembly	2	1	0.14	0.1325
44	GO:0000423	mitophagy	2	1	0.14	0.1325
45	GO:0006154	adenosine catabolic process	2	1	0.14	0.1325
46	GO:0048026	positive regulation of mRNA splicing, via spliceosome	2	1	0.14	0.1325
47	GO:0070836	caveola assembly	2	1	0.14	0.1325
48	GO:0030166	proteoglycan biosynthetic process	2	1	0.14	0.1325
49	GO:0046103	inosine biosynthetic process	2	1	0.14	0.1325
50	GO:0097037	heme export	2	1	0.14	0.1325
51	GO:0045116	protein neddylation	2	1	0.14	0.1325
52	GO:0034497	protein localization to phagophore assembly site	2	1	0.14	0.1325
53	GO:0070534	protein K63-linked ubiquitination	2	1	0.14	0.1325
54	GO:0006556	S-adenosylmethionine biosynthetic process	2	1	0.14	0.1325
55	GO:0015701	bicarbonate transport	2	1	0.14	0.1325
56	GO:0033209	tumor necrosis factor-mediated signaling pathway	2	1	0.14	0.1325
57	GO:0051123	RNA polymerase II preinitiation complex assembly	2	1	0.14	0.1325
58	GO:0032237	activation of store-operated calcium channel activity	2	1	0.14	0.1325
59	GO:0016567	protein ubiquitination	41	5	2.81	0.1360
60	GO:0006468	protein phosphorylation	129	13	8.85	0.1371
61	GO:0006874	intracellular calcium ion homeostasis	13	3	0.89	0.1453
62	GO:0035556	intracellular signal transduction	140	12	9.6	0.1514
63	GO:0070588	calcium ion transmembrane transport	11	2	0.75	0.1714
64	GO:0072659	protein localization to plasma membrane	11	2	0.75	0.1714
65	GO:0006367	transcription initiation at RNA polymerase II promoter	5	2	0.34	0.1911
66	GO:0042176	regulation of protein catabolic process	7	2	0.48	0.1913
67	GO:0006405	RNA export from nucleus	9	2	0.62	0.1914
68	GO:0007602	phototransduction	3	1	0.21	0.1921
69	GO:0006611	protein export from nucleus	3	1	0.21	0.1921
70	GO:0006636	unsaturated fatty acid biosynthetic process	3	1	0.21	0.1921
71	GO:0019695	choline metabolic process	3	1	0.21	0.1921
72	GO:0042790	nucleolar large rRNA transcription by RNA polymerase I	3	1	0.21	0.1921
73	GO:0006094	gluconeogenesis	3	1	0.21	0.1921
74	GO:0006828	manganese ion transport	3	1	0.21	0.1921
75	GO:0006390	mitochondrial transcription	3	1	0.21	0.1921
76	GO:0051453	regulation of intracellular pH	3	1	0.21	0.1921
77	GO:0051480	regulation of cytosolic calcium ion concentration	3	1	0.21	0.1921
78	GO:0043122	regulation of canonical NF-kappaB signal transduction	3	1	0.21	0.1921
79	GO:0030050	vesicle transport along actin filament	3	1	0.21	0.1921
80	GO:0097320	plasma membrane tubulation	3	1	0.21	0.1921
81	GO:0002115	store-operated calcium entry	3	1	0.21	0.1921
82	GO:0006581	acetylcholine catabolic process	3	1	0.21	0.1921
83	GO:0001188	RNA polymerase I preinitiation complex assembly	3	1	0.21	0.1921
84	GO:0046330	positive regulation of JNK cascade	3	1	0.21	0.1921
85	GO:2000641	regulation of early endosome to late endosome transport	3	1	0.21	0.1921
86	GO:0034727	piecemeal microautophagy of the nucleus	3	1	0.21	0.1921
87	GO:0006812	monoatomic cation transport	96	6	6.59	0.1937
88	GO:0018105	peptidyl-serine phosphorylation	12	2	0.82	0.1968
89	GO:0006139	nucleobase-containing compound metabolic process	600	32	41.16	0.2075
90	GO:0006470	protein dephosphorylation	35	4	2.4	0.2158
91	GO:0007155	cell adhesion	59	4	4.05	0.2253
92	GO:0007188	adenylate cyclase-modulating G protein-coupled receptor signaling pathway	25	3	1.72	0.2434
93	GO:0016197	endosomal transport	23	4	1.58	0.2452
94	GO:0046777	protein autophosphorylation	4	1	0.27	0.2476
95	GO:0042246	tissue regeneration	4	1	0.27	0.2476
96	GO:0008592	regulation of Toll signaling pathway	4	1	0.27	0.2476
97	GO:0045732	positive regulation of protein catabolic process	4	1	0.27	0.2476
98	GO:0030100	regulation of endocytosis	4	1	0.27	0.2476
99	GO:0007420	brain development	4	1	0.27	0.2476
