GO.ID	Description	p.Val
GO:0002189	ribose phosphate diphosphokinase complex	0.0043
GO:0062129	chitin-based extracellular matrix	0.0287
GO:0043231	intracellular membrane-bounded organelle	0.0322
GO:0005737	cytoplasm	0.0351
GO:0043296	apical junction complex	0.0377
GO:0005669	transcription factor TFIID complex	0.0377
GO:0031982	vesicle	0.0535
GO:0005770	late endosome	0.0542
GO:0005925	focal adhesion	0.0542
GO:0030906	retromer, cargo-selective complex	0.0658
GO:0097255	R2TP complex	0.0658
GO:0009897	external side of plasma membrane	0.0658
GO:0097541	axonemal basal plate	0.0658
GO:0097542	ciliary tip	0.0658
GO:0005663	DNA replication factor C complex	0.0658
GO:0005668	RNA polymerase transcription factor SL1 complex	0.0658
GO:0070860	RNA polymerase I core factor complex	0.0658
GO:0034245	mitochondrial DNA-directed RNA polymerase complex	0.0658
GO:0005643	nuclear pore	0.1143
GO:0030117	membrane coat	0.1270
GO:0035145	exon-exon junction complex	0.1274
GO:0071782	endoplasmic reticulum tubular network	0.1274
GO:1990316	Atg1/ULK1 kinase complex	0.1274
GO:0034515	proteasome storage granule	0.1274
GO:0005901	caveola	0.1274
GO:0005902	microvillus	0.1274
GO:0070776	MOZ/MORF histone acetyltransferase complex	0.1274
GO:0005869	dynactin complex	0.1274
GO:0046695	SLIK (SAGA-like) complex	0.1274
GO:0005658	alpha DNA polymerase:primase complex	0.1274
GO:0008540	proteasome regulatory particle, base subcomplex	0.1274
GO:0016324	apical plasma membrane	0.1369
GO:0005783	endoplasmic reticulum	0.1416
GO:0005886	plasma membrane	0.1558
GO:0005912	adherens junction	0.1604
GO:0005838	proteasome regulatory particle	0.1838
GO:0000124	SAGA complex	0.1849
GO:0030131	clathrin adaptor complex	0.1849
GO:0005622	intracellular anatomical structure	0.1969
GO:0005802	trans-Golgi network	0.2092
GO:0032045	guanyl-nucleotide exchange factor complex	0.2386
GO:0005736	RNA polymerase I complex	0.2386
GO:0031901	early endosome membrane	0.2386
GO:0005811	lipid droplet	0.2386
GO:0022625	cytosolic large ribosomal subunit	0.2592
GO:0005814	centriole	0.2888
GO:0000407	phagophore assembly site	0.2888
GO:0005921	gap junction	0.2888
GO:0000786	nucleosome	0.2888
GO:0005789	endoplasmic reticulum membrane	0.2938
GO:0005681	spliceosomal complex	0.3343
GO:0005576	extracellular region	0.3439
GO:0030864	cortical actin cytoskeleton	0.3796
GO:0005891	voltage-gated calcium channel complex	0.3796
GO:0048786	presynaptic active zone	0.3796
GO:0030136	clathrin-coated vesicle	0.4205
GO:0005768	endosome	0.4472
GO:0016459	myosin complex	0.4588
GO:0031012	extracellular matrix	0.4856
GO:0034703	cation channel complex	0.4933
GO:0005743	mitochondrial inner membrane	0.4946
GO:0005829	cytosol	0.5234
GO:0005739	mitochondrion	0.5338
GO:0005856	cytoskeleton	0.5526
GO:0098802	plasma membrane signaling receptor complex	0.5884
GO:0005634	nucleus	0.6062
GO:0036064	ciliary basal body	0.6157
GO:0005938	cell cortex	0.6402
GO:0019898	extrinsic component of membrane	0.6649
GO:0005764	lysosome	0.7079
GO:0000139	Golgi membrane	0.7454
GO:0005794	Golgi apparatus	0.7772
GO:0005615	extracellular space	0.8283
GO:0005654	nucleoplasm	0.8694
GO:0000151	ubiquitin ligase complex	0.8961
GO:1990904	ribonucleoprotein complex	0.9012
GO:0016020	membrane	0.9970
GO:0098857	membrane microdomain	1.0000
GO:0005815	microtubule organizing center	1.0000
GO:0098796	membrane protein complex	1.0000
GO:0030135	coated vesicle	1.0000
GO:0098858	actin-based cell projection	1.0000
GO:0098797	plasma membrane protein complex	1.0000
GO:0098798	mitochondrial protein-containing complex	1.0000
GO:0042175	nuclear outer membrane-endoplasmic reticulum membrane network	1.0000
GO:0030904	retromer complex	1.0000
GO:0032991	protein-containing complex	1.0000
GO:0030863	cortical cytoskeleton	1.0000
GO:0005840	ribosome	1.0000
GO:0032993	protein-DNA complex	1.0000
GO:0043601	nuclear replisome	1.0000
GO:0045202	synapse	1.0000
GO:0110165	cellular anatomical structure	1.0000
GO:0031410	cytoplasmic vesicle	1.0000
GO:0044391	ribosomal subunit	1.0000
GO:0140513	nuclear protein-containing complex	1.0000
GO:0031981	nuclear lumen	1.0000
GO:0005930	axoneme	1.0000
GO:0031984	organelle subcompartment	1.0000
GO:0042995	cell projection	1.0000
