GO.ID	Description	p.Val
GO:0016712	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen	2.4e-05
GO:0008036	diuretic hormone receptor activity	0.0031
GO:0004197	cysteine-type endopeptidase activity	0.0035
GO:0004749	ribose phosphate diphosphokinase activity	0.0049
GO:0004307	ethanolaminephosphotransferase activity	0.0049
GO:0004142	diacylglycerol cholinephosphotransferase activity	0.0049
GO:0008139	nuclear localization sequence binding	0.0140
GO:0017046	peptide hormone binding	0.0146
GO:0008237	metallopeptidase activity	0.0263
GO:0003899	DNA-directed RNA polymerase activity	0.0268
GO:0008010	structural constituent of chitin-based larval cuticle	0.0368
GO:0017056	structural constituent of nuclear pore	0.0426
GO:0016791	phosphatase activity	0.0520
GO:0035091	phosphatidylinositol binding	0.0576
GO:0008545	JUN kinase kinase activity	0.0702
GO:0008073	ornithine decarboxylase inhibitor activity	0.0702
GO:0003689	DNA clamp loader activity	0.0702
GO:0004807	triose-phosphate isomerase activity	0.0702
GO:0002953	5'-deoxynucleotidase activity	0.0702
GO:0008768	UDP-sugar diphosphatase activity	0.0702
GO:0106073	dolichyl pyrophosphate Glc2Man9GlcNAc2 alpha-1,2-glucosyltransferase activity	0.0702
GO:0001018	mitochondrial promoter sequence-specific DNA binding	0.0702
GO:0008783	agmatinase activity	0.0702
GO:0030267	glyoxylate reductase (NADPH) activity	0.0702
GO:0010314	phosphatidylinositol-5-phosphate binding	0.0702
GO:0070573	metallodipeptidase activity	0.0702
GO:0008720	D-lactate dehydrogenase (NAD+) activity	0.0702
GO:0004630	D-type glycerophospholipase activity	0.0702
GO:0008349	MAP kinase kinase kinase kinase activity	0.0702
GO:0031210	phosphatidylcholine binding	0.0702
GO:0008253	5'-nucleotidase activity	0.0702
GO:0004458	D-lactate dehydrogenase (cytochrome) activity	0.0702
GO:0019869	chloride channel inhibitor activity	0.0702
GO:0008301	DNA binding, bending	0.0702
GO:0004478	methionine adenosyltransferase activity	0.0702
GO:0008241	peptidyl-dipeptidase activity	0.0702
GO:0046525	xylosylprotein 4-beta-galactosyltransferase activity	0.0702
GO:0019870	potassium channel inhibitor activity	0.0702
GO:0070840	dynein complex binding	0.0702
GO:0004813	alanine-tRNA ligase activity	0.0702
GO:0004814	arginine-tRNA ligase activity	0.0702
GO:0070403	NAD+ binding	0.0702
GO:0008525	phosphatidylcholine transporter activity	0.0702
GO:0008526	phosphatidylinositol transfer activity	0.0702
GO:0008465	hydroxypyruvate reductase (NADH) activity	0.0702
GO:0015616	DNA translocase activity	0.0702
GO:0046872	metal ion binding	0.1014
GO:0005524	ATP binding	0.1044
GO:0061630	ubiquitin protein ligase activity	0.1046
GO:0003676	nucleic acid binding	0.1061
GO:0032549	ribonucleoside binding	0.1355
GO:0003950	NAD+ poly-ADP-ribosyltransferase activity	0.1355
GO:0097602	cullin family protein binding	0.1355
GO:0004169	dolichyl-phosphate-mannose-protein mannosyltransferase activity	0.1355
GO:0005452	solute:inorganic anion antiporter activity	0.1355
GO:0017025	TBP-class protein binding	0.1355
GO:0004032	aldose reductase (NADPH) activity	0.1355
GO:0001164	RNA polymerase I core promoter sequence-specific DNA binding	0.1355
GO:0061608	nuclear import signal receptor activity	0.1355
GO:0002161	aminoacyl-tRNA deacylase activity	0.1355
GO:0008528	G protein-coupled peptide receptor activity	0.1442
GO:0005506	iron ion binding	0.1451
GO:0016787	hydrolase activity	0.1590
GO:0020037	heme binding	0.1925
GO:0016597	amino acid binding	0.1962
GO:0015232	heme transmembrane transporter activity	0.1962
GO:0003990	acetylcholinesterase activity	0.1962
GO:0000146	microfilament motor activity	0.1962
GO:0031624	ubiquitin conjugating enzyme binding	0.1962
GO:0002039	p53 binding	0.1962
GO:0005044	scavenger receptor activity	0.1962
GO:0005049	nuclear export signal receptor activity	0.1962
GO:0001671	ATPase activator activity	0.1962
GO:0004768	stearoyl-CoA 9-desaturase activity	0.1962
GO:0004674	protein serine/threonine kinase activity	0.2009
GO:0031267	small GTPase binding	0.2160
GO:0004222	metalloendopeptidase activity	0.2280
GO:0000287	magnesium ion binding	0.2306
GO:0004712	protein serine/threonine/tyrosine kinase activity	0.2516
GO:0004402	histone acetyltransferase activity	0.2527
GO:0033549	MAP kinase phosphatase activity	0.2527
GO:0070679	inositol 1,4,5 trisphosphate binding	0.2527
GO:0005246	calcium channel regulator activity	0.2527
GO:0005121	Toll binding	0.2527
GO:0015250	water channel activity	0.2527
GO:0005432	calcium:sodium antiporter activity	0.2527
GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	0.2527
GO:0015279	store-operated calcium channel activity	0.2527
GO:0035615	clathrin-cargo adaptor activity	0.2527
GO:0050321	tau-protein kinase activity	0.2527
GO:0004000	adenosine deaminase activity	0.2527
GO:0004842	ubiquitin-protein transferase activity	0.2797
GO:0051287	NAD binding	0.3039
GO:0005243	gap junction channel activity	0.3052
GO:0004568	chitinase activity	0.3052
GO:0005201	extracellular matrix structural constituent	0.3052
GO:0071949	FAD binding	0.3052
GO:0004115	3',5'-cyclic-AMP phosphodiesterase activity	0.3052
GO:0042826	histone deacetylase binding	0.3052
GO:0016251	RNA polymerase II general transcription initiation factor activity	0.3052
