GO.ID	Description	p.Val
GO:0006082	organic acid metabolic process	7.1e-07
GO:0006805	xenobiotic metabolic process	7.8e-07
GO:0006015	5-phosphoribose 1-diphosphate biosynthetic process	0.00091
GO:0006646	phosphatidylethanolamine biosynthetic process	0.00091
GO:0019693	ribose phosphate metabolic process	0.02931
GO:0050801	monoatomic ion homeostasis	0.03033
GO:0001654	eye development	0.03034
GO:0032781	positive regulation of ATP-dependent activity	0.03034
GO:1903457	lactate catabolic process	0.03034
GO:1903288	positive regulation of potassium ion import across plasma membrane	0.03034
GO:2000651	positive regulation of sodium ion transmembrane transporter activity	0.03034
GO:0019563	glycerol catabolic process	0.03034
GO:0043103	hypoxanthine salvage	0.03034
GO:0010766	negative regulation of sodium ion transport	0.03034
GO:0071586	CAAX-box protein processing	0.03034
GO:0006269	DNA replication, synthesis of primer	0.03034
GO:0060169	negative regulation of adenosine receptor signaling pathway	0.03034
GO:0006488	dolichol-linked oligosaccharide biosynthetic process	0.03034
GO:0009880	embryonic pattern specification	0.03034
GO:0006420	arginyl-tRNA aminoacylation	0.03034
GO:0046166	glyceraldehyde-3-phosphate biosynthetic process	0.03034
GO:0051443	positive regulation of ubiquitin-protein transferase activity	0.03034
GO:0006753	nucleoside phosphate metabolic process	0.05825
GO:0070836	caveola assembly	0.05978
GO:0009156	ribonucleoside monophosphate biosynthetic process	0.05978
GO:0034497	protein localization to phagophore assembly site	0.05978
GO:0006154	adenosine catabolic process	0.05978
GO:0046103	inosine biosynthetic process	0.05978
GO:0048026	positive regulation of mRNA splicing, via spliceosome	0.05978
GO:0090263	positive regulation of canonical Wnt signaling pathway	0.05978
GO:0051123	RNA polymerase II preinitiation complex assembly	0.05978
GO:0070989	oxidative demethylation	0.05978
GO:0045116	protein neddylation	0.05978
GO:0007172	signal complex assembly	0.05978
GO:0032237	activation of store-operated calcium channel activity	0.05978
GO:0097037	heme export	0.05978
GO:0000423	mitophagy	0.05978
GO:0006164	purine nucleotide biosynthetic process	0.08283
GO:0016311	dephosphorylation	0.08295
GO:0042176	regulation of protein catabolic process	0.08724
GO:0006636	unsaturated fatty acid biosynthetic process	0.08833
GO:0006094	gluconeogenesis	0.08833
GO:0042790	nucleolar large rRNA transcription by RNA polymerase I	0.08833
GO:0001188	RNA polymerase I preinitiation complex assembly	0.08833
GO:0030050	vesicle transport along actin filament	0.08833
GO:0034727	piecemeal microautophagy of the nucleus	0.08833
GO:0002115	store-operated calcium entry	0.08833
GO:0006139	nucleobase-containing compound metabolic process	0.09525
GO:0006886	intracellular protein transport	0.10983
GO:0006457	protein folding	0.11144
GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	0.11261
GO:0007420	brain development	0.11603
GO:0032543	mitochondrial translation	0.11603
GO:0045732	positive regulation of protein catabolic process	0.11603
GO:0006334	nucleosome assembly	0.14290
GO:0006096	glycolytic process	0.14290
GO:0045184	establishment of protein localization	0.16410
GO:0008284	positive regulation of cell population proliferation	0.16897
GO:0007052	mitotic spindle organization	0.16897
GO:0030036	actin cytoskeleton organization	0.19235
GO:0016197	endosomal transport	0.21435
GO:0006606	protein import into nucleus	0.21877
GO:0090630	activation of GTPase activity	0.21877
GO:0016192	vesicle-mediated transport	0.23100
GO:0003333	amino acid transmembrane transport	0.24256
GO:0032456	endocytic recycling	0.24256
GO:0046854	phosphatidylinositol phosphate biosynthetic process	0.24256
GO:0042147	retrograde transport, endosome to Golgi	0.24256
GO:0009887	animal organ morphogenesis	0.24256
GO:0042981	regulation of apoptotic process	0.24256
GO:0006405	RNA export from nucleus	0.24256
GO:0006468	protein phosphorylation	0.27370
GO:0007015	actin filament organization	0.27604
GO:0072659	protein localization to plasma membrane	0.28802
GO:0006511	ubiquitin-dependent protein catabolic process	0.30274
GO:0035556	intracellular signal transduction	0.30919
GO:0006397	mRNA processing	0.30951
GO:0018105	peptidyl-serine phosphorylation	0.30973
GO:0006874	intracellular calcium ion homeostasis	0.33078
GO:0051056	regulation of small GTPase mediated signal transduction	0.35120
GO:0035269	protein O-linked glycosylation via mannose	0.37101
GO:0006508	proteolysis	0.37793
GO:0006261	DNA-templated DNA replication	0.38590
GO:0016485	protein processing	0.38590
GO:0016579	protein deubiquitination	0.40886
GO:0006897	endocytosis	0.55320
GO:0006470	protein dephosphorylation	0.66268
GO:0045944	positive regulation of transcription by RNA polymerase II	0.66268
GO:0016567	protein ubiquitination	0.67841
GO:0000226	microtubule cytoskeleton organization	0.74251
GO:0044782	cilium organization	0.76853
GO:0006281	DNA repair	0.84643
GO:0006355	regulation of DNA-templated transcription	0.89627
GO:0007399	nervous system development	0.91937
GO:0055085	transmembrane transport	0.97898
GO:0008152	metabolic process	1.00000
GO:0006631	fatty acid metabolic process	1.00000
GO:0006396	RNA processing	1.00000
GO:0006633	fatty acid biosynthetic process	1.00000
GO:0015980	energy derivation by oxidation of organic compounds	1.00000
