GO.ID	Description	p.Val
GO:0016712	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen	8.8e-07
GO:0004142	diacylglycerol cholinephosphotransferase activity	0.00096
GO:0004749	ribose phosphate diphosphokinase activity	0.00096
GO:0004307	ethanolaminephosphotransferase activity	0.00096
GO:0005506	iron ion binding	0.00724
GO:0020037	heme binding	0.01084
GO:0046872	metal ion binding	0.02238
GO:0008768	UDP-sugar diphosphatase activity	0.03111
GO:0019870	potassium channel inhibitor activity	0.03111
GO:0004814	arginine-tRNA ligase activity	0.03111
GO:0002953	5'-deoxynucleotidase activity	0.03111
GO:0008720	D-lactate dehydrogenase (NAD+) activity	0.03111
GO:0015616	DNA translocase activity	0.03111
GO:0070840	dynein complex binding	0.03111
GO:0070403	NAD+ binding	0.03111
GO:0070573	metallodipeptidase activity	0.03111
GO:0003689	DNA clamp loader activity	0.03111
GO:0004458	D-lactate dehydrogenase (cytochrome) activity	0.03111
GO:0004807	triose-phosphate isomerase activity	0.03111
GO:0008253	5'-nucleotidase activity	0.03111
GO:0106073	dolichyl pyrophosphate Glc2Man9GlcNAc2 alpha-1,2-glucosyltransferase activity	0.03111
GO:0019869	chloride channel inhibitor activity	0.03111
GO:0008073	ornithine decarboxylase inhibitor activity	0.03111
GO:0004197	cysteine-type endopeptidase activity	0.03661
GO:0000287	magnesium ion binding	0.05976
GO:0017025	TBP-class protein binding	0.06127
GO:0097602	cullin family protein binding	0.06127
GO:0001164	RNA polymerase I core promoter sequence-specific DNA binding	0.06127
GO:0004032	aldose reductase (NADPH) activity	0.06127
GO:0004169	dolichyl-phosphate-mannose-protein mannosyltransferase activity	0.06127
GO:0015232	heme transmembrane transporter activity	0.09050
GO:0001671	ATPase activator activity	0.09050
GO:0031624	ubiquitin conjugating enzyme binding	0.09050
GO:0004768	stearoyl-CoA 9-desaturase activity	0.09050
GO:0000146	microfilament motor activity	0.09050
GO:0008139	nuclear localization sequence binding	0.09050
GO:0003676	nucleic acid binding	0.10744
GO:0004000	adenosine deaminase activity	0.11883
GO:0004402	histone acetyltransferase activity	0.11883
GO:0005246	calcium channel regulator activity	0.11883
GO:0035615	clathrin-cargo adaptor activity	0.11883
GO:0050321	tau-protein kinase activity	0.11883
GO:0016791	phosphatase activity	0.13258
GO:0017056	structural constituent of nuclear pore	0.14629
GO:0005201	extracellular matrix structural constituent	0.14629
GO:0071949	FAD binding	0.14629
GO:0032451	demethylase activity	0.14629
GO:0004674	protein serine/threonine kinase activity	0.16723
GO:0015179	L-amino acid transmembrane transporter activity	0.17290
GO:0061630	ubiquitin protein ligase activity	0.19292
GO:0140658	ATP-dependent chromatin remodeler activity	0.19869
GO:0005524	ATP binding	0.20151
GO:0003729	mRNA binding	0.21043
GO:0043169	cation binding	0.21186
GO:0051087	protein-folding chaperone binding	0.22368
GO:0046982	protein heterodimerization activity	0.22368
GO:0004722	protein serine/threonine phosphatase activity	0.22368
GO:0060090	molecular adaptor activity	0.22567
GO:0051015	actin filament binding	0.22751
GO:0016491	oxidoreductase activity	0.27555
GO:0016787	hydrolase activity	0.27859
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	0.29414
GO:0032182	ubiquitin-like protein binding	0.31619
GO:0008408	3'-5' exonuclease activity	0.31619
GO:0051082	unfolded protein binding	0.33756
GO:0004252	serine-type endopeptidase activity	0.35536
GO:0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	0.37175
GO:0004842	ubiquitin-protein transferase activity	0.37413
GO:0004843	cysteine-type deubiquitinase activity	0.39778
GO:0003924	GTPase activity	0.47552
GO:0004713	protein tyrosine kinase activity	0.48636
GO:0030234	enzyme regulator activity	0.49105
GO:0005525	GTP binding	0.53529
GO:0003677	DNA binding	0.54496
GO:0005509	calcium ion binding	0.57403
GO:0008010	structural constituent of chitin-based larval cuticle	0.57580
GO:0005096	GTPase activator activity	0.57580
GO:0004222	metalloendopeptidase activity	0.67152
GO:0005198	structural molecule activity	0.79633
GO:0016887	ATP hydrolysis activity	0.81575
GO:0003723	RNA binding	0.95355
GO:0005515	protein binding	0.98324
GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	0.98862
GO:0003690	double-stranded DNA binding	1.00000
GO:0030674	protein-macromolecule adaptor activity	1.00000
GO:0051287	NAD binding	1.00000
GO:0098772	molecular function regulator activity	1.00000
GO:0061659	ubiquitin-like protein ligase activity	1.00000
GO:0004175	endopeptidase activity	1.00000
GO:0019001	guanyl nucleotide binding	1.00000
GO:0000976	transcription cis-regulatory region binding	1.00000
GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding	1.00000
GO:0141108	transporter regulator activity	1.00000
GO:0017081	chloride channel regulator activity	1.00000
GO:0016462	pyrophosphatase activity	1.00000
GO:0015459	potassium channel regulator activity	1.00000
GO:0140640	catalytic activity, acting on a nucleic acid	1.00000
GO:0140296	general transcription initiation factor binding	1.00000
GO:0003700	DNA-binding transcription factor activity	1.00000
GO:0035639	purine ribonucleoside triphosphate binding	1.00000
