GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0002189	ribose phosphate diphosphokinase complex	3	2	0.09	0.0025
2	GO:0005783	endoplasmic reticulum	162	13	4.71	0.0053
3	GO:0031982	vesicle	129	8	3.75	0.0152
4	GO:0099572	postsynaptic specialization	15	2	0.44	0.0289
5	GO:0030906	retromer, cargo-selective complex	1	1	0.03	0.0291
6	GO:0097541	axonemal basal plate	1	1	0.03	0.0291
7	GO:0005668	RNA polymerase transcription factor SL1 complex	1	1	0.03	0.0291
8	GO:0070860	RNA polymerase I core factor complex	1	1	0.03	0.0291
9	GO:0005789	endoplasmic reticulum membrane	84	6	2.44	0.0339
10	GO:0005737	cytoplasm	1465	61	42.57	0.0358
11	GO:0005643	nuclear pore	13	2	0.38	0.0529
12	GO:0010369	chromocenter	2	1	0.06	0.0573
13	GO:0035145	exon-exon junction complex	2	1	0.06	0.0573
14	GO:1990316	Atg1/ULK1 kinase complex	2	1	0.06	0.0573
15	GO:0034515	proteasome storage granule	2	1	0.06	0.0573
16	GO:0005901	caveola	2	1	0.06	0.0573
17	GO:0070776	MOZ/MORF histone acetyltransferase complex	2	1	0.06	0.0573
18	GO:0005869	dynactin complex	2	1	0.06	0.0573
19	GO:0046695	SLIK (SAGA-like) complex	2	1	0.06	0.0573
20	GO:0005663	DNA replication factor C complex	2	1	0.06	0.0573
21	GO:0005902	microvillus	3	1	0.09	0.0847
22	GO:0030126	COPI vesicle coat	3	1	0.09	0.0847
23	GO:0005658	alpha DNA polymerase:primase complex	3	1	0.09	0.0847
24	GO:0000124	SAGA complex	3	1	0.09	0.0847
25	GO:0005802	trans-Golgi network	18	2	0.52	0.0946
26	GO:0005912	adherens junction	19	2	0.55	0.1038
27	GO:0005838	proteasome regulatory particle	8	2	0.23	0.1104
28	GO:0030131	clathrin adaptor complex	4	1	0.12	0.1113
29	GO:0008540	proteasome regulatory particle, base subcomplex	4	1	0.12	0.1113
30	GO:0005840	ribosome	45	3	1.31	0.1361
31	GO:0010494	cytoplasmic stress granule	5	1	0.15	0.1372
32	GO:0009897	external side of plasma membrane	5	1	0.15	0.1372
33	GO:0043231	intracellular membrane-bounded organelle	1552	57	45.1	0.1381
34	GO:0032045	guanyl-nucleotide exchange factor complex	6	1	0.17	0.1623
35	GO:0005793	endoplasmic reticulum-Golgi intermediate compartment	6	1	0.17	0.1623
36	GO:0031901	early endosome membrane	6	1	0.17	0.1623
37	GO:0045211	postsynaptic membrane	26	2	0.76	0.1736
38	GO:0000407	phagophore assembly site	7	1	0.2	0.1866
39	GO:0005669	transcription factor TFIID complex	7	1	0.2	0.1866
40	GO:0030134	COPII-coated ER to Golgi transport vesicle	8	1	0.23	0.2103
41	GO:0043296	apical junction complex	8	1	0.23	0.2103
42	GO:0005739	mitochondrion	170	7	4.94	0.2227
43	GO:0000786	nucleosome	9	1	0.26	0.2333
44	GO:0005811	lipid droplet	10	1	0.29	0.2557
45	GO:0005925	focal adhesion	11	1	0.32	0.2773
46	GO:1990904	ribonucleoprotein complex	144	5	4.18	0.2928
47	GO:0030136	clathrin-coated vesicle	12	1	0.35	0.2984
48	GO:0016604	nuclear body	12	1	0.35	0.2984
49	GO:0005794	Golgi apparatus	128	6	3.72	0.3096
50	GO:0016324	apical plasma membrane	13	1	0.38	0.3189
51	GO:0005770	late endosome	13	1	0.38	0.3189
52	GO:0030864	cortical actin cytoskeleton	14	1	0.41	0.3387
53	GO:0030686	90S preribosome	14	1	0.41	0.3387
54	GO:0014069	postsynaptic density	14	1	0.41	0.3387
55	GO:0030425	dendrite	15	1	0.44	0.3580
56	GO:0005829	cytosol	273	10	7.93	0.3688
57	GO:0022627	cytosolic small ribosomal subunit	16	1	0.46	0.3768
58	GO:0016459	myosin complex	19	1	0.55	0.4298
59	GO:0022625	cytosolic large ribosomal subunit	21	1	0.61	0.4626
60	GO:0062129	chitin-based extracellular matrix	25	1	0.73	0.5228
