GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0004142	diacylglycerol cholinephosphotransferase activity	2	2	0.06	0.00078
2	GO:0004307	ethanolaminephosphotransferase activity	3	2	0.08	0.00228
3	GO:0004749	ribose phosphate diphosphokinase activity	3	2	0.08	0.00228
4	GO:0017056	structural constituent of nuclear pore	6	2	0.17	0.01081
5	GO:0008768	UDP-sugar diphosphatase activity	1	1	0.03	0.02796
6	GO:0004325	ferrochelatase activity	1	1	0.03	0.02796
7	GO:0019869	chloride channel inhibitor activity	1	1	0.03	0.02796
8	GO:0008720	D-lactate dehydrogenase (NAD+) activity	1	1	0.03	0.02796
9	GO:0019870	potassium channel inhibitor activity	1	1	0.03	0.02796
10	GO:0106073	dolichyl pyrophosphate Glc2Man9GlcNAc2 alpha-1,2-glucosyltransferase activity	1	1	0.03	0.02796
11	GO:0004045	peptidyl-tRNA hydrolase activity	1	1	0.03	0.02796
12	GO:0004751	ribose-5-phosphate isomerase activity	1	1	0.03	0.02796
13	GO:0061599	molybdopterin molybdotransferase activity	1	1	0.03	0.02796
14	GO:0070840	dynein complex binding	1	1	0.03	0.02796
15	GO:0008073	ornithine decarboxylase inhibitor activity	1	1	0.03	0.02796
16	GO:0002953	5'-deoxynucleotidase activity	1	1	0.03	0.02796
17	GO:0004458	D-lactate dehydrogenase (cytochrome) activity	1	1	0.03	0.02796
18	GO:0004807	triose-phosphate isomerase activity	1	1	0.03	0.02796
19	GO:0004197	cysteine-type endopeptidase activity	24	3	0.67	0.02814
20	GO:0005544	calcium-dependent phospholipid binding	13	2	0.36	0.04947
21	GO:0008253	5'-nucleotidase activity	2	1	0.06	0.05515
22	GO:0008453	alanine-glyoxylate transaminase activity	2	1	0.06	0.05515
23	GO:0016624	oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor	2	1	0.06	0.05515
24	GO:0004169	dolichyl-phosphate-mannose-protein mannosyltransferase activity	2	1	0.06	0.05515
25	GO:0004814	arginine-tRNA ligase activity	2	1	0.06	0.05515
26	GO:0015616	DNA translocase activity	2	1	0.06	0.05515
27	GO:0003689	DNA clamp loader activity	2	1	0.06	0.05515
28	GO:0001164	RNA polymerase I core promoter sequence-specific DNA binding	2	1	0.06	0.05515
29	GO:0070403	NAD+ binding	3	1	0.08	0.08159
30	GO:0004032	aldose reductase (NADPH) activity	3	1	0.08	0.08159
31	GO:0004768	stearoyl-CoA 9-desaturase activity	3	1	0.08	0.08159
32	GO:0008330	protein tyrosine/threonine phosphatase activity	3	1	0.08	0.08159
33	GO:0097602	cullin family protein binding	3	1	0.08	0.08159
34	GO:0017025	TBP-class protein binding	3	1	0.08	0.08159
35	GO:0017017	MAP kinase tyrosine/serine/threonine phosphatase activity	3	1	0.08	0.08159
36	GO:0005337	nucleoside transmembrane transporter activity	3	1	0.08	0.08159
37	GO:0046872	metal ion binding	513	17	14.35	0.09299
