Description	Count	p	Ontology
phosphatidylethanolamine biosynthetic process	2	0.0072	bp
ubiquitin-dependent protein catabolic process	6	0.0268	bp
ribose phosphate metabolic process	4	0.0273	bp
monoatomic ion homeostasis	2	0.0279	bp
endoplasmic reticulum	13	0.0053	cc
vesicle	8	0.0152	cc
postsynaptic specialization	2	0.0289	cc
endoplasmic reticulum membrane	6	0.0339	cc
cytoplasm	61	0.0358	cc
structural constituent of nuclear pore	2	0.01081	mf
cysteine-type endopeptidase activity	3	0.02814	mf
calcium-dependent phospholipid binding	2	0.04947	mf
