GO.ID	Description	p.Val
GO:0006082	organic acid metabolic process	6.6e-07
GO:0006805	xenobiotic metabolic process	7.2e-07
GO:0006015	5-phosphoribose 1-diphosphate biosynthetic process	0.00088
GO:0006646	phosphatidylethanolamine biosynthetic process	0.00088
GO:0019693	ribose phosphate metabolic process	0.02878
GO:0050801	monoatomic ion homeostasis	0.02980
GO:0001654	eye development	0.02981
GO:0032781	positive regulation of ATP-dependent activity	0.02981
GO:1903457	lactate catabolic process	0.02981
GO:1903288	positive regulation of potassium ion import across plasma membrane	0.02981
GO:2000651	positive regulation of sodium ion transmembrane transporter activity	0.02981
GO:0019563	glycerol catabolic process	0.02981
GO:0043103	hypoxanthine salvage	0.02981
GO:0071586	CAAX-box protein processing	0.02981
GO:0006269	DNA replication, synthesis of primer	0.02981
GO:0060169	negative regulation of adenosine receptor signaling pathway	0.02981
GO:0006488	dolichol-linked oligosaccharide biosynthetic process	0.02981
GO:0009880	embryonic pattern specification	0.02981
GO:0006420	arginyl-tRNA aminoacylation	0.02981
GO:0046166	glyceraldehyde-3-phosphate biosynthetic process	0.02981
GO:0051443	positive regulation of ubiquitin-protein transferase activity	0.02981
GO:0006753	nucleoside phosphate metabolic process	0.05722
GO:0070836	caveola assembly	0.05874
GO:0009156	ribonucleoside monophosphate biosynthetic process	0.05874
GO:0034497	protein localization to phagophore assembly site	0.05874
GO:0006154	adenosine catabolic process	0.05874
GO:0046103	inosine biosynthetic process	0.05874
GO:0048026	positive regulation of mRNA splicing, via spliceosome	0.05874
GO:0010766	negative regulation of sodium ion transport	0.05874
GO:0090263	positive regulation of canonical Wnt signaling pathway	0.05874
GO:0051123	RNA polymerase II preinitiation complex assembly	0.05874
GO:0070989	oxidative demethylation	0.05874
GO:0045116	protein neddylation	0.05874
GO:0007172	signal complex assembly	0.05874
GO:0032237	activation of store-operated calcium channel activity	0.05874
GO:0097037	heme export	0.05874
GO:0000423	mitophagy	0.05874
GO:0006164	purine nucleotide biosynthetic process	0.08031
GO:0016311	dephosphorylation	0.08039
GO:0042176	regulation of protein catabolic process	0.08574
GO:0006636	unsaturated fatty acid biosynthetic process	0.08681
GO:0006094	gluconeogenesis	0.08681
GO:0042790	nucleolar large rRNA transcription by RNA polymerase I	0.08681
GO:0001188	RNA polymerase I preinitiation complex assembly	0.08681
GO:0030050	vesicle transport along actin filament	0.08681
GO:0034727	piecemeal microautophagy of the nucleus	0.08681
GO:0002115	store-operated calcium entry	0.08681
GO:0006139	nucleobase-containing compound metabolic process	0.09316
GO:0006886	intracellular protein transport	0.10549
GO:0006457	protein folding	0.10815
GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	0.10819
GO:0007420	brain development	0.11407
GO:0032543	mitochondrial translation	0.11407
GO:0045732	positive regulation of protein catabolic process	0.11407
GO:0006334	nucleosome assembly	0.14052
GO:0006096	glycolytic process	0.14052
GO:0045184	establishment of protein localization	0.16139
GO:0008284	positive regulation of cell population proliferation	0.16619
GO:0007052	mitotic spindle organization	0.16619
GO:0030036	actin cytoskeleton organization	0.18718
GO:0016197	endosomal transport	0.21091
GO:0006606	protein import into nucleus	0.21529
GO:0090630	activation of GTPase activity	0.21529
GO:0016192	vesicle-mediated transport	0.22297
GO:0003333	amino acid transmembrane transport	0.23876
GO:0032456	endocytic recycling	0.23876
GO:0046854	phosphatidylinositol phosphate biosynthetic process	0.23876
GO:0042147	retrograde transport, endosome to Golgi	0.23876
GO:0009887	animal organ morphogenesis	0.23876
GO:0042981	regulation of apoptotic process	0.23876
GO:0006405	RNA export from nucleus	0.23876
GO:0006468	protein phosphorylation	0.26153
GO:0007015	actin filament organization	0.28037
GO:0072659	protein localization to plasma membrane	0.28364
GO:0006511	ubiquitin-dependent protein catabolic process	0.29812
GO:0006397	mRNA processing	0.30482
GO:0018105	peptidyl-serine phosphorylation	0.30510
GO:0006508	proteolysis	0.30709
GO:0035556	intracellular signal transduction	0.30795
GO:0051056	regulation of small GTPase mediated signal transduction	0.34612
GO:0006874	intracellular calcium ion homeostasis	0.34612
GO:0035269	protein O-linked mannosylation	0.36573
GO:0016485	protein processing	0.39881
GO:0016579	protein deubiquitination	0.40322
GO:0006261	DNA-templated DNA replication	0.48275
GO:0006897	endocytosis	0.54664
GO:0006470	protein dephosphorylation	0.65597
GO:0045944	positive regulation of transcription by RNA polymerase II	0.65597
GO:0016567	protein ubiquitination	0.67172
GO:0000226	microtubule cytoskeleton organization	0.73605
GO:0044782	cilium organization	0.76229
GO:0006281	DNA repair	0.84596
GO:0006355	regulation of DNA-templated transcription	0.89502
GO:0007399	nervous system development	0.91554
GO:0055085	transmembrane transport	0.97449
GO:0008152	metabolic process	1.00000
GO:0006631	fatty acid metabolic process	1.00000
GO:0006396	RNA processing	1.00000
GO:0006633	fatty acid biosynthetic process	1.00000
GO:0046128	purine ribonucleoside metabolic process	1.00000
