GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0016358	dendrite development	5	2	0.17	0.011
2	GO:0007409	axonogenesis	38	3	1.3	0.016
3	GO:0000122	negative regulation of transcription by RNA polymerase II	31	4	1.06	0.020
4	GO:0031114	regulation of microtubule depolymerization	7	2	0.24	0.022
5	GO:0051480	regulation of cytosolic calcium ion concentration	8	2	0.27	0.029
6	GO:0098656	monoatomic anion transmembrane transport	20	3	0.69	0.034
7	GO:0000495	box H/ACA sno(s)RNA 3'-end processing	1	1	0.03	0.034
8	GO:0007173	epidermal growth factor receptor signaling pathway	1	1	0.03	0.034
9	GO:0070935	3'-UTR-mediated mRNA stabilization	1	1	0.03	0.034
10	GO:1990116	ribosome-associated ubiquitin-dependent protein catabolic process	1	1	0.03	0.034
11	GO:0043419	urea catabolic process	1	1	0.03	0.034
12	GO:0036085	GDP-fucose import into Golgi lumen	1	1	0.03	0.034
13	GO:0006111	regulation of gluconeogenesis	1	1	0.03	0.034
14	GO:0071932	replication fork reversal	1	1	0.03	0.034
15	GO:2000234	positive regulation of rRNA processing	1	1	0.03	0.034
16	GO:0072344	rescue of stalled cytosolic ribosome	1	1	0.03	0.034
17	GO:0042732	D-xylose metabolic process	1	1	0.03	0.034
18	GO:0045948	positive regulation of translational initiation	1	1	0.03	0.034
19	GO:0003356	regulation of cilium beat frequency	1	1	0.03	0.034
20	GO:0031120	snRNA pseudouridine synthesis	1	1	0.03	0.034
21	GO:1900407	regulation of cellular response to oxidative stress	1	1	0.03	0.034
22	GO:0044341	sodium-dependent phosphate transport	1	1	0.03	0.034
23	GO:1904812	rRNA acetylation involved in maturation of SSU-rRNA	1	1	0.03	0.034
24	GO:1990481	mRNA pseudouridine synthesis	1	1	0.03	0.034
25	GO:0003254	regulation of membrane depolarization	1	1	0.03	0.034
26	GO:0046498	S-adenosylhomocysteine metabolic process	1	1	0.03	0.034
27	GO:0006695	cholesterol biosynthetic process	1	1	0.03	0.034
28	GO:0051252	regulation of RNA metabolic process	518	15	17.77	0.035
29	GO:0007062	sister chromatid cohesion	9	2	0.31	0.036
30	GO:0071277	cellular response to calcium ion	10	2	0.34	0.044
31	GO:0014059	regulation of dopamine secretion	10	2	0.34	0.044
32	GO:0006511	ubiquitin-dependent protein catabolic process	84	6	2.88	0.046
