GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0000049	tRNA binding	12	3	0.41	0.007
2	GO:0009039	urease activity	1	1	0.03	0.034
3	GO:0008384	IkappaB kinase activity	1	1	0.03	0.034
4	GO:0005154	epidermal growth factor receptor binding	1	1	0.03	0.034
5	GO:1990883	18S rRNA cytidine N-acetyltransferase activity	1	1	0.03	0.034
6	GO:0016971	flavin-dependent sulfhydryl oxidase activity	1	1	0.03	0.034
7	GO:1904047	S-adenosyl-L-methionine binding	1	1	0.03	0.034
8	GO:0033842	N-acetyl-beta-glucosaminyl-derivative 4-beta-N-acetylgalactosaminyltransferase activity	1	1	0.03	0.034
9	GO:0002020	protease binding	1	1	0.03	0.034
10	GO:0017174	glycine N-methyltransferase activity	1	1	0.03	0.034
11	GO:0004496	mevalonate kinase activity	1	1	0.03	0.034
12	GO:0005457	GDP-fucose transmembrane transporter activity	1	1	0.03	0.034
13	GO:0030627	pre-mRNA 5'-splice site binding	1	1	0.03	0.034
14	GO:0004856	D-xylulokinase activity	1	1	0.03	0.034
15	GO:0043023	ribosomal large subunit binding	1	1	0.03	0.034
16	GO:0004360	glutamine-fructose-6-phosphate transaminase (isomerizing) activity	1	1	0.03	0.034
17	GO:0001222	transcription corepressor binding	1	1	0.03	0.034
18	GO:0005436	sodium:phosphate symporter activity	1	1	0.03	0.034
19	GO:0120053	ribitol beta-1,4-xylosyltransferase activity	1	1	0.03	0.034
20	GO:0001965	G-protein alpha-subunit binding	1	1	0.03	0.034
21	GO:0003730	mRNA 3'-UTR binding	10	2	0.34	0.044
22	GO:0001786	phosphatidylserine binding	10	2	0.34	0.044
23	GO:0003779	actin binding	76	7	2.61	0.046
24	GO:0008028	monocarboxylic acid transmembrane transporter activity	29	4	1	0.052
25	GO:0015108	chloride transmembrane transporter activity	40	5	1.37	0.066
26	GO:0016594	glycine binding	2	1	0.07	0.068
27	GO:0019003	GDP binding	2	1	0.07	0.068
28	GO:0005332	gamma-aminobutyric acid:sodium:chloride symporter activity	2	1	0.07	0.068
29	GO:0036424	L-phosphoserine phosphatase activity	2	1	0.07	0.068
30	GO:0004142	diacylglycerol cholinephosphotransferase activity	2	1	0.07	0.068
31	GO:0051424	corticotropin-releasing hormone binding	2	1	0.07	0.068
32	GO:0030619	U1 snRNA binding	2	1	0.07	0.068
33	GO:0008301	DNA binding, bending	2	1	0.07	0.068
34	GO:0019531	oxalate transmembrane transporter activity	2	1	0.07	0.068
35	GO:0008613	diuretic hormone activity	2	1	0.07	0.068
36	GO:0008494	translation activator activity	2	1	0.07	0.068
