Description	Count	p	Ontology
dendrite development	2	0.011	bp
axonogenesis	3	0.016	bp
negative regulation of transcription by RNA polymerase II	4	0.020	bp
regulation of microtubule depolymerization	2	0.022	bp
regulation of cytosolic calcium ion concentration	2	0.029	bp
monoatomic anion transmembrane transport	3	0.034	bp
regulation of RNA metabolic process	15	0.035	bp
sister chromatid cohesion	2	0.036	bp
cellular response to calcium ion	2	0.044	bp
regulation of dopamine secretion	2	0.044	bp
ubiquitin-dependent protein catabolic process	6	0.046	bp
exocytic vesicle	4	0.0069	cc
U1 snRNP	2	0.0131	cc
mitochondrial outer membrane	2	0.0340	cc
neuron projection	9	0.0400	cc
U2-type prespliceosome	2	0.0426	cc
tRNA binding	3	0.007	mf
mRNA 3'-UTR binding	2	0.044	mf
phosphatidylserine binding	2	0.044	mf
actin binding	7	0.046	mf
