GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0016012	sarcoglycan complex	3	2	0.11	0.0042
2	GO:0070382	exocytic vesicle	28	4	1.07	0.0071
3	GO:0008278	cohesin complex	4	2	0.15	0.0083
4	GO:0005685	U1 snRNP	5	2	0.19	0.0134
5	GO:0005741	mitochondrial outer membrane	8	2	0.31	0.0349
6	GO:0034993	meiotic nuclear membrane microtubule tethering complex	1	1	0.04	0.0382
7	GO:0002144	cytosolic tRNA wobble base thiouridylase complex	1	1	0.04	0.0382
8	GO:0005640	nuclear outer membrane	1	1	0.04	0.0382
9	GO:0098855	HCN channel complex	1	1	0.04	0.0382
10	GO:0035550	urease complex	1	1	0.04	0.0382
11	GO:0008290	F-actin capping protein complex	1	1	0.04	0.0382
12	GO:0031429	box H/ACA snoRNP complex	1	1	0.04	0.0382
13	GO:1990923	PET complex	1	1	0.04	0.0382
14	GO:0008385	IkappaB kinase complex	1	1	0.04	0.0382
15	GO:0032797	SMN complex	1	1	0.04	0.0382
16	GO:0043005	neuron projection	117	9	4.47	0.0425
17	GO:0071004	U2-type prespliceosome	9	2	0.34	0.0438
18	GO:0005882	intermediate filament	2	1	0.08	0.0750
19	GO:1990112	RQC complex	2	1	0.08	0.0750
20	GO:1902711	GABA-A receptor complex	2	1	0.08	0.0750
21	GO:0030056	hemidesmosome	2	1	0.08	0.0750
22	GO:0005875	microtubule associated complex	23	3	0.88	0.1091
23	GO:0043025	neuronal cell body	15	2	0.57	0.1100
24	GO:0000243	commitment complex	3	1	0.11	0.1103
25	GO:0005964	phosphorylase kinase complex	3	1	0.11	0.1103
26	GO:0032300	mismatch repair complex	3	1	0.11	0.1103
27	GO:0002189	ribose phosphate diphosphokinase complex	3	1	0.11	0.1103
28	GO:0005868	cytoplasmic dynein complex	3	1	0.11	0.1103
29	GO:0045202	synapse	97	6	3.71	0.1120
30	GO:0030425	dendrite	17	2	0.65	0.1358
31	GO:0030479	actin cortical patch	4	1	0.15	0.1443
32	GO:0031011	Ino80 complex	4	1	0.15	0.1443
33	GO:0005581	collagen trimer	4	1	0.15	0.1443
34	GO:0030667	secretory granule membrane	4	1	0.15	0.1443
35	GO:0030687	preribosome, large subunit precursor	4	1	0.15	0.1443
36	GO:0005874	microtubule	38	3	1.45	0.1757
37	GO:0070822	Sin3-type complex	5	1	0.19	0.1771
38	GO:0005847	mRNA cleavage and polyadenylation specificity factor complex	5	1	0.19	0.1771
39	GO:0017119	Golgi transport complex	5	1	0.19	0.1771
40	GO:0016020	membrane	1229	53	46.96	0.1796
41	GO:0032982	myosin filament	6	1	0.23	0.2086
