GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0043130	ubiquitin binding	18	2	0.13	0.0071
2	GO:0001965	G-protein alpha-subunit binding	1	1	0.01	0.0072
3	GO:0016971	flavin-dependent sulfhydryl oxidase activity	1	1	0.01	0.0072
4	GO:0030627	pre-mRNA 5'-splice site binding	1	1	0.01	0.0072
5	GO:0017174	glycine N-methyltransferase activity	1	1	0.01	0.0072
6	GO:1904047	S-adenosyl-L-methionine binding	1	1	0.01	0.0072
7	GO:0004360	glutamine-fructose-6-phosphate transaminase (isomerizing) activity	1	1	0.01	0.0072
8	GO:0016402	pristanoyl-CoA oxidase activity	2	1	0.01	0.0143
9	GO:0016594	glycine binding	2	1	0.01	0.0143
10	GO:0003785	actin monomer binding	3	1	0.02	0.0214
11	GO:0004749	ribose phosphate diphosphokinase activity	3	1	0.02	0.0214
12	GO:0004430	1-phosphatidylinositol 4-kinase activity	3	1	0.02	0.0214
13	GO:0009982	pseudouridine synthase activity	3	1	0.02	0.0214
14	GO:0032549	ribonucleoside binding	4	1	0.03	0.0284
15	GO:0005504	fatty acid binding	5	1	0.04	0.0354
16	GO:0061631	ubiquitin conjugating enzyme activity	6	1	0.04	0.0424
17	GO:0008308	voltage-gated monoatomic anion channel activity	6	1	0.04	0.0424
18	GO:0030527	structural constituent of chromatin	7	1	0.05	0.0493
19	GO:0061630	ubiquitin protein ligase activity	50	2	0.36	0.0495
20	GO:0004559	alpha-mannosidase activity	8	1	0.06	0.0561
21	GO:0042802	identical protein binding	10	1	0.07	0.0696
22	GO:0003730	mRNA 3'-UTR binding	10	1	0.07	0.0696
23	GO:0046982	protein heterodimerization activity	12	1	0.09	0.0830
24	GO:0003676	nucleic acid binding	810	8	5.82	0.0852
25	GO:0071949	FAD binding	14	1	0.1	0.0962
26	GO:0003724	RNA helicase activity	17	1	0.12	0.1156
27	GO:0008408	3'-5' exonuclease activity	21	1	0.15	0.1408
28	GO:0031625	ubiquitin protein ligase binding	23	1	0.17	0.1532
29	GO:0003714	transcription corepressor activity	25	1	0.18	0.1654
30	GO:0000287	magnesium ion binding	27	1	0.19	0.1774
31	GO:0008028	monocarboxylic acid transmembrane transporter activity	29	1	0.21	0.1892
32	GO:0030246	carbohydrate binding	36	1	0.26	0.2294
33	GO:0050660	flavin adenine dinucleotide binding	56	2	0.4	0.2559
34	GO:0051015	actin filament binding	49	1	0.35	0.2990
35	GO:0005515	protein binding	1415	15	10.17	0.3110
36	GO:0005085	guanyl-nucleotide exchange factor activity	57	1	0.41	0.3387
