GO.ID	Description	p.Val
GO:0016358	dendrite development	0.011
GO:0007409	axonogenesis	0.017
GO:0000122	negative regulation of transcription by RNA polymerase II	0.021
GO:0031114	regulation of microtubule depolymerization	0.023
GO:0051480	regulation of cytosolic calcium ion concentration	0.029
GO:0098656	monoatomic anion transmembrane transport	0.035
GO:0042732	D-xylose metabolic process	0.035
GO:0003254	regulation of membrane depolarization	0.035
GO:1990481	mRNA pseudouridine synthesis	0.035
GO:0070935	3'-UTR-mediated mRNA stabilization	0.035
GO:0071932	replication fork reversal	0.035
GO:0003356	regulation of cilium beat frequency	0.035
GO:0010737	protein kinase A signaling	0.035
GO:1904812	rRNA acetylation involved in maturation of SSU-rRNA	0.035
GO:0007173	epidermal growth factor receptor signaling pathway	0.035
GO:1990116	ribosome-associated ubiquitin-dependent protein catabolic process	0.035
GO:0044341	sodium-dependent phosphate transport	0.035
GO:0046498	S-adenosylhomocysteine metabolic process	0.035
GO:0006111	regulation of gluconeogenesis	0.035
GO:0045948	positive regulation of translational initiation	0.035
GO:0000012	single strand break repair	0.035
GO:1900407	regulation of cellular response to oxidative stress	0.035
GO:0000495	box H/ACA sno(s)RNA 3'-end processing	0.035
GO:0036085	GDP-fucose import into Golgi lumen	0.035
GO:0031120	snRNA pseudouridine synthesis	0.035
GO:2000234	positive regulation of rRNA processing	0.035
GO:0006695	cholesterol biosynthetic process	0.035
GO:0072344	rescue of stalled ribosome	0.035
GO:0043419	urea catabolic process	0.035
GO:0051252	regulation of RNA metabolic process	0.036
GO:0014059	regulation of dopamine secretion	0.045
GO:0007062	sister chromatid cohesion	0.045
GO:0071277	cellular response to calcium ion	0.045
GO:0006511	ubiquitin-dependent protein catabolic process	0.048
GO:0017158	regulation of calcium ion-dependent exocytosis	0.054
GO:0051460	negative regulation of corticotropin secretion	0.069
GO:0033209	tumor necrosis factor-mediated signaling pathway	0.069
GO:0019287	isopentenyl diphosphate biosynthetic process, mevalonate pathway	0.069
GO:0006688	glycosphingolipid biosynthetic process	0.069
GO:0030513	positive regulation of BMP signaling pathway	0.069
GO:0006047	UDP-N-acetylglucosamine metabolic process	0.069
GO:0045104	intermediate filament cytoskeleton organization	0.069
GO:0006420	arginyl-tRNA aminoacylation	0.069
GO:1901052	sarcosine metabolic process	0.069
GO:1900011	negative regulation of corticotropin-releasing hormone receptor activity	0.069
GO:0000395	mRNA 5'-splice site recognition	0.069
GO:0001655	urogenital system development	0.069
GO:0007589	body fluid secretion	0.069
GO:0034587	piRNA processing	0.069
GO:0051289	protein homotetramerization	0.069
GO:0051092	positive regulation of NF-kappaB transcription factor activity	0.069
GO:0051966	regulation of synaptic transmission, glutamatergic	0.069
GO:0007216	G protein-coupled glutamate receptor signaling pathway	0.069
GO:0033540	fatty acid beta-oxidation using acyl-CoA oxidase	0.069
GO:0000447	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	0.069
GO:0031118	rRNA pseudouridine synthesis	0.069
GO:0035269	protein O-linked mannosylation	0.084
GO:0006811	monoatomic ion transport	0.092
GO:0055085	transmembrane transport	0.099
GO:0005997	xylulose metabolic process	0.101
GO:0002143	tRNA wobble position uridine thiolation	0.101
GO:0006015	5-phosphoribose 1-diphosphate biosynthetic process	0.101
GO:0070936	protein K48-linked ubiquitination	0.101
GO:0071076	RNA 3' uridylation	0.101
GO:0006002	fructose 6-phosphate metabolic process	0.101
GO:0000387	spliceosomal snRNP assembly	0.101
GO:0045053	protein retention in Golgi apparatus	0.101
GO:0045943	positive regulation of transcription by RNA polymerase I	0.101
GO:0097037	heme export	0.101
GO:0036066	protein O-linked fucosylation	0.101
GO:0015749	monosaccharide transmembrane transport	0.101
GO:0051016	barbed-end actin filament capping	0.101
GO:0035336	long-chain fatty-acyl-CoA metabolic process	0.101
GO:0006384	transcription initiation at RNA polymerase III promoter	0.101
GO:0035025	positive regulation of Rho protein signal transduction	0.101
GO:0042073	intraciliary transport	0.129
GO:0008283	cell population proliferation	0.132
GO:0042420	dopamine catabolic process	0.133
GO:0042421	norepinephrine biosynthetic process	0.133
GO:0032922	circadian regulation of gene expression	0.133
GO:0043153	entrainment of circadian clock by photoperiod	0.133
GO:1990414	replication-born double-strand break repair via sister chromatid exchange	0.133
GO:0055064	chloride ion homeostasis	0.133
GO:0006884	cell volume homeostasis	0.133
GO:0006564	L-serine biosynthetic process	0.133
GO:0006589	octopamine biosynthetic process	0.133
GO:0007097	nuclear migration	0.133
GO:0042060	wound healing	0.133
GO:1902476	chloride transmembrane transport	0.141
GO:0007052	mitotic spindle organization	0.153
GO:0030001	metal ion transport	0.162
GO:0006646	phosphatidylethanolamine biosynthetic process	0.163
GO:0046500	S-adenosylmethionine metabolic process	0.163
GO:0006891	intra-Golgi vesicle-mediated transport	0.163
GO:0045214	sarcomere organization	0.163
GO:0010821	regulation of mitochondrion organization	0.163
GO:0008285	negative regulation of cell population proliferation	0.163
GO:0007528	neuromuscular junction development	0.163
GO:0006629	lipid metabolic process	0.190
GO:0006013	mannose metabolic process	0.192
