GO.ID	Description	p.Val
GO:0006511	ubiquitin-dependent protein catabolic process	0.0006
GO:0000495	box H/ACA sno(s)RNA 3'-end processing	0.0073
GO:0006111	regulation of gluconeogenesis	0.0073
GO:1990481	mRNA pseudouridine synthesis	0.0073
GO:0046498	S-adenosylhomocysteine metabolic process	0.0073
GO:0031120	snRNA pseudouridine synthesis	0.0073
GO:2000234	positive regulation of rRNA processing	0.0073
GO:0051289	protein homotetramerization	0.0145
GO:1901052	sarcosine metabolic process	0.0145
GO:0034587	piRNA processing	0.0145
GO:0000395	mRNA 5'-splice site recognition	0.0145
GO:0000447	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	0.0145
GO:0006047	UDP-N-acetylglucosamine metabolic process	0.0145
GO:0033540	fatty acid beta-oxidation using acyl-CoA oxidase	0.0145
GO:0031118	rRNA pseudouridine synthesis	0.0145
GO:0070936	protein K48-linked ubiquitination	0.0217
GO:0000387	spliceosomal snRNP assembly	0.0217
GO:0006015	5-phosphoribose 1-diphosphate biosynthetic process	0.0217
GO:0045943	positive regulation of transcription by RNA polymerase I	0.0217
GO:0051016	barbed-end actin filament capping	0.0217
GO:0006002	fructose 6-phosphate metabolic process	0.0217
GO:0008285	negative regulation of cell population proliferation	0.0360
GO:0006891	intra-Golgi vesicle-mediated transport	0.0360
GO:0046500	S-adenosylmethionine metabolic process	0.0360
GO:0055088	lipid homeostasis	0.0430
GO:0030968	endoplasmic reticulum unfolded protein response	0.0430
GO:0006013	mannose metabolic process	0.0430
GO:0006491	N-glycan processing	0.0500
GO:0006730	one-carbon metabolic process	0.0569
GO:0006517	protein deglycosylation	0.0569
GO:0006487	protein N-linked glycosylation	0.0775
GO:0048015	phosphatidylinositol-mediated signaling	0.0775
GO:0007030	Golgi organization	0.0842
GO:0046854	phosphatidylinositol phosphate biosynthetic process	0.0842
GO:0009156	ribonucleoside monophosphate biosynthetic process	0.0842
GO:0045930	negative regulation of mitotic cell cycle	0.0976
GO:0042273	ribosomal large subunit biogenesis	0.1107
GO:0007052	mitotic spindle organization	0.1365
GO:0098656	monoatomic anion transmembrane transport	0.1365
GO:0007015	actin filament organization	0.1451
GO:0006351	DNA-templated transcription	0.1535
GO:0000122	negative regulation of transcription by RNA polymerase II	0.2037
GO:0006164	purine nucleotide biosynthetic process	0.2269
GO:0006486	protein glycosylation	0.3146
GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	0.3577
GO:0007186	G protein-coupled receptor signaling pathway	0.5272
GO:0015031	protein transport	0.5778
GO:0006468	protein phosphorylation	0.7910
GO:0055085	transmembrane transport	0.8182
GO:0006357	regulation of transcription by RNA polymerase II	0.9219
GO:0008610	lipid biosynthetic process	1.0000
GO:0019941	modification-dependent protein catabolic process	1.0000
GO:0007051	spindle organization	1.0000
GO:0034654	nucleobase-containing compound biosynthetic process	1.0000
GO:1902679	negative regulation of RNA biosynthetic process	1.0000
GO:0051252	regulation of RNA metabolic process	1.0000
GO:0030832	regulation of actin filament length	1.0000
GO:0051253	negative regulation of RNA metabolic process	1.0000
GO:0030833	regulation of actin filament polymerization	1.0000
GO:0051254	positive regulation of RNA metabolic process	1.0000
GO:0030834	regulation of actin filament depolymerization	1.0000
GO:1901135	carbohydrate derivative metabolic process	1.0000
GO:0030835	negative regulation of actin filament depolymerization	1.0000
GO:0050896	response to stimulus	1.0000
GO:0006996	organelle organization	1.0000
GO:0009116	nucleoside metabolic process	1.0000
GO:0007346	regulation of mitotic cell cycle	1.0000
GO:0009117	nucleotide metabolic process	1.0000
GO:1901137	carbohydrate derivative biosynthetic process	1.0000
GO:0030837	negative regulation of actin filament polymerization	1.0000
GO:0051258	protein polymerization	1.0000
GO:1902850	microtubule cytoskeleton organization involved in mitosis	1.0000
GO:0006360	transcription by RNA polymerase I	1.0000
GO:0009119	ribonucleoside metabolic process	1.0000
GO:0051259	protein complex oligomerization	1.0000
GO:0043242	negative regulation of protein-containing complex disassembly	1.0000
GO:0031333	negative regulation of protein-containing complex assembly	1.0000
GO:0043244	regulation of protein-containing complex disassembly	1.0000
GO:0006364	rRNA processing	1.0000
GO:0097435	supramolecular fiber organization	1.0000
GO:0006366	transcription by RNA polymerase II	1.0000
GO:0032787	monocarboxylic acid metabolic process	1.0000
GO:0016070	RNA metabolic process	1.0000
GO:0016071	mRNA metabolic process	1.0000
GO:0016072	rRNA metabolic process	1.0000
GO:0016073	snRNA metabolic process	1.0000
GO:0016074	sno(s)RNA metabolic process	1.0000
GO:0055086	nucleobase-containing small molecule metabolic process	1.0000
GO:0032774	RNA biosynthetic process	1.0000
GO:0050794	regulation of cellular process	1.0000
GO:0070085	glycosylation	1.0000
GO:0006355	regulation of DNA-templated transcription	1.0000
GO:0051726	regulation of cell cycle	1.0000
GO:0006356	regulation of transcription by RNA polymerase I	1.0000
GO:0006508	proteolysis	1.0000
GO:1902903	regulation of supramolecular fiber organization	1.0000
GO:0045184	establishment of protein localization	1.0000
GO:0042254	ribosome biogenesis	1.0000
GO:0006094	gluconeogenesis	1.0000
GO:0043144	sno(s)RNA processing	1.0000
