GO.ID	Description	p.Val
GO:0016358	dendrite development	0.011
GO:0007409	axonogenesis	0.016
GO:0000122	negative regulation of transcription by RNA polymerase II	0.020
GO:0031114	regulation of microtubule depolymerization	0.022
GO:0051480	regulation of cytosolic calcium ion concentration	0.029
GO:0098656	monoatomic anion transmembrane transport	0.034
GO:0051252	regulation of RNA metabolic process	0.035
GO:0007062	sister chromatid cohesion	0.036
GO:0071277	cellular response to calcium ion	0.044
GO:0014059	regulation of dopamine secretion	0.044
GO:0006511	ubiquitin-dependent protein catabolic process	0.046
