GO.ID	Description	p.Val
GO:0002189	ribose phosphate diphosphokinase complex	0.00097
GO:0005737	cytoplasm	0.00101
GO:0005783	endoplasmic reticulum	0.00814
GO:0031982	vesicle	0.01279
GO:0043231	intracellular membrane-bounded organelle	0.01608
GO:0005789	endoplasmic reticulum membrane	0.02704
GO:0030906	retromer, cargo-selective complex	0.03135
GO:0070860	RNA polymerase I core factor complex	0.03135
GO:0005663	DNA replication factor C complex	0.03135
GO:0097541	axonemal basal plate	0.03135
GO:0005668	RNA polymerase transcription factor SL1 complex	0.03135
GO:0009897	external side of plasma membrane	0.03135
GO:0005802	trans-Golgi network	0.06047
GO:0030117	membrane coat	0.06110
GO:0035145	exon-exon junction complex	0.06173
GO:0005901	caveola	0.06173
GO:0005902	microvillus	0.06173
GO:0046695	SLIK (SAGA-like) complex	0.06173
GO:0005658	alpha DNA polymerase:primase complex	0.06173
GO:0005869	dynactin complex	0.06173
GO:0034515	proteasome storage granule	0.06173
GO:0070776	MOZ/MORF histone acetyltransferase complex	0.06173
GO:1990316	Atg1/ULK1 kinase complex	0.06173
GO:0008540	proteasome regulatory particle, base subcomplex	0.06173
GO:0005838	proteasome regulatory particle	0.08998
GO:0030131	clathrin adaptor complex	0.09117
GO:0000124	SAGA complex	0.09117
GO:0031901	early endosome membrane	0.11969
GO:0032045	guanyl-nucleotide exchange factor complex	0.11969
GO:0005811	lipid droplet	0.11969
GO:0000407	phagophore assembly site	0.14734
GO:0005669	transcription factor TFIID complex	0.14734
GO:0043296	apical junction complex	0.14734
GO:0000786	nucleosome	0.14734
GO:0005925	focal adhesion	0.17413
GO:0005770	late endosome	0.17413
GO:0030864	cortical actin cytoskeleton	0.20009
GO:0030136	clathrin-coated vesicle	0.22524
GO:0005643	nuclear pore	0.24962
GO:0016459	myosin complex	0.24962
GO:0016324	apical plasma membrane	0.27324
GO:0005912	adherens junction	0.29612
GO:0005829	cytosol	0.36925
GO:0005794	Golgi apparatus	0.37554
GO:0019898	extrinsic component of membrane	0.40031
GO:0005739	mitochondrion	0.43737
GO:0005681	spliceosomal complex	0.43759
GO:0000139	Golgi membrane	0.47258
GO:0005768	endosome	0.51380
GO:0005856	cytoskeleton	0.57865
GO:0062129	chitin-based extracellular matrix	0.57898
GO:0005634	nucleus	0.63886
GO:0000151	ubiquitin ligase complex	0.65312
GO:0005886	plasma membrane	0.94422
GO:0005576	extracellular region	0.96862
GO:0016020	membrane	0.99707
GO:0030904	retromer complex	1.00000
GO:0032991	protein-containing complex	1.00000
GO:0140513	nuclear protein-containing complex	1.00000
GO:0032993	protein-DNA complex	1.00000
GO:0010008	endosome membrane	1.00000
GO:0005635	nuclear envelope	1.00000
GO:0031981	nuclear lumen	1.00000
GO:0043596	nuclear replication fork	1.00000
GO:1902493	acetyltransferase complex	1.00000
GO:1902494	catalytic complex	1.00000
GO:0031984	organelle subcompartment	1.00000
GO:0022624	proteasome accessory complex	1.00000
GO:0030054	cell junction	1.00000
GO:0030055	cell-substrate junction	1.00000
GO:1902554	serine/threonine protein kinase complex	1.00000
GO:0042995	cell projection	1.00000
GO:0030118	clathrin coat	1.00000
GO:0030119	AP-type membrane coat adaptor complex	1.00000
GO:0043226	organelle	1.00000
GO:0044853	plasma membrane raft	1.00000
GO:0043227	membrane-bounded organelle	1.00000
GO:0043228	membraneless organelle	1.00000
GO:0098552	side of membrane	1.00000
GO:0043229	intracellular organelle	1.00000
GO:0031974	membrane-enclosed lumen	1.00000
GO:0042575	DNA polymerase complex	1.00000
GO:1902911	protein kinase complex	1.00000
GO:0015629	actin cytoskeleton	1.00000
GO:0031248	protein acetyltransferase complex	1.00000
GO:0031410	cytoplasmic vesicle	1.00000
GO:0005667	transcription regulator complex	1.00000
GO:0030659	cytoplasmic vesicle membrane	1.00000
GO:0030863	cortical cytoskeleton	1.00000
GO:0140535	intracellular protein-containing complex	1.00000
GO:0005730	nucleolus	1.00000
GO:0030312	external encapsulating structure	1.00000
GO:1990904	ribonucleoprotein complex	1.00000
GO:0098857	membrane microdomain	1.00000
GO:0000228	nuclear chromosome	1.00000
GO:0098858	actin-based cell projection	1.00000
GO:0005654	nucleoplasm	1.00000
GO:0098588	bounding membrane of organelle	1.00000
GO:0000120	RNA polymerase I transcription regulator complex	1.00000
GO:0005657	replication fork	1.00000
