GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0004861	cyclin-dependent protein serine/threonine kinase inhibitor activity	4	3	0.2	0.00047
2	GO:0016712	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen	10	4	0.5	0.00099
3	GO:0030267	glyoxylate reductase (NADPH) activity	2	2	0.1	0.00247
4	GO:0030151	molybdenum ion binding	2	2	0.1	0.00247
5	GO:0097322	7SK snRNA binding	2	2	0.1	0.00247
6	GO:0008465	hydroxypyruvate reductase (NADH) activity	2	2	0.1	0.00247
7	GO:0005506	iron ion binding	50	7	2.49	0.01110
8	GO:0004089	carbonate dehydratase activity	4	2	0.2	0.01389
9	GO:0003785	actin monomer binding	4	2	0.2	0.01389
10	GO:0004867	serine-type endopeptidase inhibitor activity	11	3	0.55	0.01497
11	GO:0020037	heme binding	45	6	2.24	0.02287
12	GO:0004712	protein serine/threonine/tyrosine kinase activity	6	2	0.3	0.03249
13	GO:0043565	sequence-specific DNA binding	226	19	11.27	0.03482
14	GO:0016787	hydrolase activity	634	29	31.61	0.04531
15	GO:0003743	translation initiation factor activity	28	4	1.4	0.04806
16	GO:0004729	oxygen-dependent protoporphyrinogen oxidase activity	1	1	0.05	0.04986
17	GO:0106140	P-TEFb complex binding	1	1	0.05	0.04986
18	GO:0003968	RNA-dependent RNA polymerase activity	1	1	0.05	0.04986
19	GO:0003987	acetate-CoA ligase activity	1	1	0.05	0.04986
20	GO:0019166	trans-2-enoyl-CoA reductase (NADPH) activity	1	1	0.05	0.04986
21	GO:0052629	phosphatidylinositol-3,5-bisphosphate 3-phosphatase activity	1	1	0.05	0.04986
22	GO:0016208	AMP binding	1	1	0.05	0.04986
23	GO:0004565	beta-galactosidase activity	1	1	0.05	0.04986
24	GO:0042392	sphingosine-1-phosphate phosphatase activity	1	1	0.05	0.04986
25	GO:0004985	G protein-coupled opioid receptor activity	1	1	0.05	0.04986
26	GO:0004516	nicotinate phosphoribosyltransferase activity	1	1	0.05	0.04986
27	GO:0019135	deoxyhypusine monooxygenase activity	1	1	0.05	0.04986
28	GO:0005042	netrin receptor activity	1	1	0.05	0.04986
29	GO:0004824	lysine-tRNA ligase activity	1	1	0.05	0.04986
30	GO:0000285	1-phosphatidylinositol-3-phosphate 5-kinase activity	1	1	0.05	0.04986
31	GO:1990275	preribosome binding	1	1	0.05	0.04986
32	GO:0004383	guanylate cyclase activity	1	1	0.05	0.04986
33	GO:0005007	fibroblast growth factor receptor activity	1	1	0.05	0.04986
34	GO:0004694	eukaryotic translation initiation factor 2alpha kinase activity	1	1	0.05	0.04986
35	GO:0015616	DNA translocase activity	1	1	0.05	0.04986
36	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	145	12	7.23	0.05614
37	GO:0003713	transcription coactivator activity	31	4	1.55	0.06586
