GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0036261	7-methylguanosine cap hypermethylation	2	2	0.11	0.0029
2	GO:0071542	dopaminergic neuron differentiation	2	2	0.11	0.0029
3	GO:0009452	7-methylguanosine RNA capping	7	3	0.38	0.0083
4	GO:0031124	mRNA 3'-end processing	10	3	0.54	0.0141
5	GO:0045739	positive regulation of DNA repair	4	2	0.22	0.0162
6	GO:0006904	vesicle docking involved in exocytosis	4	2	0.22	0.0162
7	GO:0002224	toll-like receptor signaling pathway	5	2	0.27	0.0261
8	GO:0031175	neuron projection development	25	3	1.35	0.0261
9	GO:0042594	response to starvation	13	3	0.7	0.0536
10	GO:0001678	intracellular glucose homeostasis	2	2	0.11	0.0538
11	GO:0043419	urea catabolic process	1	1	0.05	0.0541
12	GO:0046579	positive regulation of Ras protein signal transduction	1	1	0.05	0.0541
13	GO:2001240	negative regulation of extrinsic apoptotic signaling pathway in absence of ligand	1	1	0.05	0.0541
14	GO:0036444	calcium import into the mitochondrion	1	1	0.05	0.0541
15	GO:0007213	G protein-coupled acetylcholine receptor signaling pathway	1	1	0.05	0.0541
16	GO:0006207	'de novo' pyrimidine nucleobase biosynthetic process	1	1	0.05	0.0541
17	GO:0070901	mitochondrial tRNA methylation	1	1	0.05	0.0541
18	GO:0043113	receptor clustering	1	1	0.05	0.0541
19	GO:0034462	small-subunit processome assembly	1	1	0.05	0.0541
20	GO:0099578	regulation of translation at postsynapse, modulating synaptic transmission	1	1	0.05	0.0541
21	GO:0071333	cellular response to glucose stimulus	1	1	0.05	0.0541
22	GO:0051560	mitochondrial calcium ion homeostasis	1	1	0.05	0.0541
23	GO:0072334	UDP-galactose transmembrane transport	1	1	0.05	0.0541
24	GO:0018364	peptidyl-glutamine methylation	1	1	0.05	0.0541
25	GO:0106300	protein-DNA covalent cross-linking repair	1	1	0.05	0.0541
26	GO:0046327	glycerol biosynthetic process from pyruvate	1	1	0.05	0.0541
27	GO:0070365	hepatocyte differentiation	1	1	0.05	0.0541
28	GO:0060287	epithelial cilium movement involved in determination of left/right asymmetry	1	1	0.05	0.0541
29	GO:0044205	'de novo' UMP biosynthetic process	1	1	0.05	0.0541
30	GO:0097500	receptor localization to non-motile cilium	1	1	0.05	0.0541
31	GO:0045879	negative regulation of smoothened signaling pathway	1	1	0.05	0.0541
32	GO:0019543	propionate catabolic process	1	1	0.05	0.0541
33	GO:0051793	medium-chain fatty acid catabolic process	1	1	0.05	0.0541
34	GO:0006116	NADH oxidation	1	1	0.05	0.0541
35	GO:0071549	cellular response to dexamethasone stimulus	1	1	0.05	0.0541
36	GO:0006538	glutamate catabolic process	1	1	0.05	0.0541
37	GO:0001113	transcription open complex formation at RNA polymerase II promoter	1	1	0.05	0.0541
38	GO:0046168	glycerol-3-phosphate catabolic process	1	1	0.05	0.0541
39	GO:0006887	exocytosis	22	4	1.19	0.0648
40	GO:0009306	protein secretion	8	2	0.43	0.0657
