GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0042796	snRNA transcription by RNA polymerase III	4	3	0.17	0.00028
2	GO:0042795	snRNA transcription by RNA polymerase II	5	3	0.21	0.00068
3	GO:2000304	positive regulation of ceramide biosynthetic process	2	2	0.08	0.00175
4	GO:0045736	negative regulation of cyclin-dependent protein serine/threonine kinase activity	3	2	0.13	0.00511
5	GO:0034727	piecemeal microautophagy of the nucleus	4	2	0.17	0.00993
6	GO:0000423	mitophagy	4	2	0.17	0.00993
7	GO:1902742	apoptotic process involved in development	5	2	0.21	0.01610
8	GO:0043652	engulfment of apoptotic cell	5	2	0.21	0.01610
9	GO:0070782	phosphatidylserine exposure on apoptotic cell surface	5	2	0.21	0.01610
10	GO:0006357	regulation of transcription by RNA polymerase II	217	17	9.11	0.02180
11	GO:0006820	monoatomic anion transport	15	3	0.63	0.02273
12	GO:0007160	cell-matrix adhesion	6	2	0.25	0.02350
13	GO:0034497	protein localization to phagophore assembly site	7	2	0.29	0.03200
14	GO:0016973	poly(A)+ mRNA export from nucleus	7	2	0.29	0.03200
15	GO:0019216	regulation of lipid metabolic process	6	3	0.25	0.04140
16	GO:0043266	regulation of potassium ion transport	8	2	0.34	0.04176
17	GO:0043407	negative regulation of MAP kinase activity	1	1	0.04	0.04200
18	GO:0006430	lysyl-tRNA aminoacylation	1	1	0.04	0.04200
19	GO:1901190	regulation of formation of translation initiation ternary complex	1	1	0.04	0.04200
20	GO:0048168	regulation of neuronal synaptic plasticity	1	1	0.04	0.04200
21	GO:0040037	negative regulation of fibroblast growth factor receptor signaling pathway	1	1	0.04	0.04200
22	GO:0006532	aspartate biosynthetic process	1	1	0.04	0.04200
23	GO:0035332	positive regulation of hippo signaling	1	1	0.04	0.04200
24	GO:0071171	site-specific DNA replication termination at RTS1 barrier	1	1	0.04	0.04200
25	GO:0006624	vacuolar protein processing	1	1	0.04	0.04200
26	GO:0008612	peptidyl-lysine modification to peptidyl-hypusine	1	1	0.04	0.04200
27	GO:0042264	peptidyl-aspartic acid hydroxylation	1	1	0.04	0.04200
