GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0043231	intracellular membrane-bounded organelle	949	291	273.37	0.018
2	GO:0005657	replication fork	10	7	2.88	0.026
3	GO:0005737	cytoplasm	871	276	250.9	0.054
4	GO:0005829	cytosol	130	44	37.45	0.057
5	GO:0005838	proteasome regulatory particle	5	5	1.44	0.082
6	GO:0008540	proteasome regulatory particle, base subcomplex	2	2	0.58	0.083
7	GO:0031380	nuclear RNA-directed RNA polymerase complex	2	2	0.58	0.083
8	GO:0002189	ribose phosphate diphosphokinase complex	2	2	0.58	0.083
9	GO:0005682	U5 snRNP	2	2	0.58	0.083
10	GO:0034515	proteasome storage granule	2	2	0.58	0.083
11	GO:0140268	endoplasmic reticulum-plasma membrane contact site	2	2	0.58	0.083
12	GO:0070971	endoplasmic reticulum exit site	2	2	0.58	0.083
13	GO:0035267	NuA4 histone acetyltransferase complex	2	2	0.58	0.083
14	GO:0070449	elongin complex	2	2	0.58	0.083
15	GO:0005902	microvillus	2	2	0.58	0.083
16	GO:0030127	COPII vesicle coat	2	2	0.58	0.083
17	GO:0005847	mRNA cleavage and polyadenylation specificity factor complex	2	2	0.58	0.083
18	GO:0031390	Ctf18 RFC-like complex	2	2	0.58	0.083
19	GO:0080008	Cul4-RING E3 ubiquitin ligase complex	7	4	2.02	0.111
20	GO:0005681	spliceosomal complex	26	7	7.49	0.112
21	GO:0005789	endoplasmic reticulum membrane	60	23	17.28	0.113
22	GO:0005643	nuclear pore	6	4	1.73	0.147
23	GO:0005811	lipid droplet	5	3	1.44	0.147
24	GO:0031982	vesicle	82	22	23.62	0.149
25	GO:0005921	gap junction	8	4	2.3	0.173
26	GO:0005768	endosome	35	12	10.08	0.192
27	GO:0033063	Rad51B-Rad51C-Rad51D-XRCC2 complex	3	2	0.86	0.201
28	GO:0071797	LUBAC complex	3	2	0.86	0.201
29	GO:0071782	endoplasmic reticulum tubular network	3	2	0.86	0.201
30	GO:0005840	ribosome	24	5	6.91	0.203
31	GO:0000407	phagophore assembly site	6	3	1.73	0.234
32	GO:0005739	mitochondrion	110	31	31.69	0.236
33	GO:0031261	DNA replication preinitiation complex	4	2	1.15	0.288
34	GO:0044753	amphisome	1	1	0.29	0.288
35	GO:0008541	proteasome regulatory particle, lid subcomplex	1	1	0.29	0.288
36	GO:0030877	beta-catenin destruction complex	1	1	0.29	0.288
37	GO:0033065	Rad51C-XRCC3 complex	1	1	0.29	0.288
38	GO:0005663	DNA replication factor C complex	1	1	0.29	0.288
39	GO:0005745	m-AAA complex	1	1	0.29	0.288
40	GO:0005668	RNA polymerase transcription factor SL1 complex	1	1	0.29	0.288
41	GO:0051286	cell tip	1	1	0.29	0.288
42	GO:0000172	ribonuclease MRP complex	1	1	0.29	0.288
43	GO:0008024	cyclin/CDK positive transcription elongation factor complex	1	1	0.29	0.288
44	GO:0072669	tRNA-splicing ligase complex	1	1	0.29	0.288
45	GO:0000124	SAGA complex	1	1	0.29	0.288
46	GO:0031298	replication fork protection complex	1	1	0.29	0.288
47	GO:0030906	retromer, cargo-selective complex	1	1	0.29	0.288
48	GO:0046695	SLIK (SAGA-like) complex	1	1	0.29	0.288
49	GO:1990529	glycosylphosphatidylinositol-mannosyltransferase I complex	1	1	0.29	0.288
50	GO:0034974	Swi5-Swi2 complex	1	1	0.29	0.288
51	GO:0042555	MCM complex	1	1	0.29	0.288
52	GO:0140007	KICSTOR complex	1	1	0.29	0.288
53	GO:0032783	super elongation complex	1	1	0.29	0.288
54	GO:0009328	phenylalanine-tRNA ligase complex	1	1	0.29	0.288
55	GO:0000795	synaptonemal complex	1	1	0.29	0.288
56	GO:0005968	Rab-protein geranylgeranyltransferase complex	1	1	0.29	0.288
57	GO:0097541	axonemal basal plate	1	1	0.29	0.288
58	GO:0032777	piccolo histone acetyltransferase complex	1	1	0.29	0.288
59	GO:0016460	myosin II complex	1	1	0.29	0.288
60	GO:0098574	cytoplasmic side of lysosomal membrane	1	1	0.29	0.288
61	GO:0000421	autophagosome membrane	1	1	0.29	0.288
62	GO:0005958	DNA-dependent protein kinase-DNA ligase 4 complex	1	1	0.29	0.288
63	GO:0005637	nuclear inner membrane	1	1	0.29	0.288
64	GO:0016605	PML body	1	1	0.29	0.288
65	GO:0070985	transcription factor TFIIK complex	1	1	0.29	0.288
66	GO:0070062	extracellular exosome	1	1	0.29	0.288
67	GO:0071144	heteromeric SMAD protein complex	1	1	0.29	0.288
68	GO:0071541	eukaryotic translation initiation factor 3 complex, eIF3m	1	1	0.29	0.288
69	GO:0044611	nuclear pore inner ring	1	1	0.29	0.288
70	GO:0016471	vacuolar proton-transporting V-type ATPase complex	1	1	0.29	0.288
71	GO:0070860	RNA polymerase I core factor complex	1	1	0.29	0.288
72	GO:0097361	cytosolic [4Fe-4S] assembly targeting complex	1	1	0.29	0.288
73	GO:0008250	oligosaccharyltransferase complex	1	1	0.29	0.288
74	GO:0032281	AMPA glutamate receptor complex	1	1	0.29	0.288
75	GO:0005869	dynactin complex	1	1	0.29	0.288
76	GO:0001726	ruffle	1	1	0.29	0.288
77	GO:0031499	TRAMP complex	1	1	0.29	0.288
78	GO:1990316	Atg1/ULK1 kinase complex	1	1	0.29	0.288
