GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0043130	ubiquitin binding	11	8	3.26	0.0039
2	GO:0016712	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen	4	4	1.18	0.0077
3	GO:0046872	metal ion binding	252	73	74.65	0.0199
4	GO:0004142	diacylglycerol cholinephosphotransferase activity	3	3	0.89	0.0259
5	GO:0004307	ethanolaminephosphotransferase activity	3	3	0.89	0.0259
6	GO:0016791	phosphatase activity	53	26	15.7	0.0280
7	GO:0031418	L-ascorbic acid binding	5	4	1.48	0.0292
8	GO:0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	19	11	5.63	0.0678
9	GO:0004842	ubiquitin-protein transferase activity	41	15	12.15	0.0735
10	GO:0030234	enzyme regulator activity	98	32	29.03	0.0803
11	GO:0008408	3'-5' exonuclease activity	10	5	2.96	0.0806
12	GO:0045499	chemorepellent activity	4	3	1.18	0.0807
13	GO:0046961	proton-transporting ATPase activity, rotational mechanism	4	3	1.18	0.0807
14	GO:0000400	four-way junction DNA binding	4	3	1.18	0.0807
15	GO:0017056	structural constituent of nuclear pore	4	3	1.18	0.0807
16	GO:0030215	semaphorin receptor binding	4	3	1.18	0.0807
17	GO:0016757	glycosyltransferase activity	45	17	13.33	0.0871
18	GO:0120015	sterol transfer activity	2	2	0.59	0.0877
19	GO:0004749	ribose phosphate diphosphokinase activity	2	2	0.59	0.0877
20	GO:0015086	cadmium ion transmembrane transporter activity	2	2	0.59	0.0877
21	GO:0001222	transcription corepressor binding	2	2	0.59	0.0877
22	GO:0030620	U2 snRNA binding	2	2	0.59	0.0877
23	GO:0004113	2',3'-cyclic-nucleotide 3'-phosphodiesterase activity	2	2	0.59	0.0877
24	GO:0019786	protein-phosphatidylethanolamide deconjugating activity	2	2	0.59	0.0877
25	GO:0008201	heparin binding	2	2	0.59	0.0877
26	GO:0003906	DNA-(apurinic or apyrimidinic site) endonuclease activity	2	2	0.59	0.0877
27	GO:0004032	aldose reductase (NADPH) activity	2	2	0.59	0.0877
28	GO:0002161	aminoacyl-tRNA editing activity	2	2	0.59	0.0877
29	GO:0005068	transmembrane receptor protein tyrosine kinase adaptor activity	2	2	0.59	0.0877
30	GO:0004000	adenosine deaminase activity	2	2	0.59	0.0877
31	GO:0004550	nucleoside diphosphate kinase activity	2	2	0.59	0.0877
32	GO:0005381	iron ion transmembrane transporter activity	2	2	0.59	0.0877
33	GO:0005384	manganese ion transmembrane transporter activity	2	2	0.59	0.0877
34	GO:0004423	iduronate-2-sulfatase activity	2	2	0.59	0.0877
35	GO:0120053	ribitol beta-1,4-xylosyltransferase activity	2	2	0.59	0.0877
36	GO:0004439	phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity	2	2	0.59	0.0877
37	GO:0140110	transcription regulator activity	193	43	57.17	0.0920
38	GO:0071949	FAD binding	7	4	2.07	0.1209
39	GO:0004843	cysteine-type deubiquitinase activity	10	5	2.96	0.1434
40	GO:0008047	enzyme activator activity	31	12	9.18	0.1572
41	GO:0051087	protein-folding chaperone binding	6	4	1.78	0.1575
42	GO:0019903	protein phosphatase binding	5	3	1.48	0.1579
43	GO:0022857	transmembrane transporter activity	192	53	56.88	0.1592
44	GO:0016787	hydrolase activity	371	129	109.9	0.1714
45	GO:0031419	cobalamin binding	8	4	2.37	0.1870
