Description	Count	p	Ontology
maturation of SSU-rRNA	6	0.00033	bp
protein ubiquitination	11	0.00659	bp
negative regulation of translation	3	0.02029	bp
ribosome biogenesis	14	0.04762	bp
cellular lipid metabolic process	17	0.04913	bp
actin filament polymerization	5	0.04994	bp
cytosolic large ribosomal subunit	5	0.0092	cc
nucleolus	10	0.0189	cc
apical part of cell	5	0.0472	cc
RNA binding	34	0.0047	mf
structural constituent of ribosome	8	0.0053	mf
ubiquitin protein ligase activity	8	0.0120	mf
ubiquitin protein ligase binding	4	0.0189	mf
mRNA binding	11	0.0276	mf
actin binding	8	0.0420	mf
syntaxin binding	3	0.0477	mf
