GO.ID	Description	p.Val
GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	0.0047
GO:0051603	proteolysis involved in protein catabolic process	0.0176
GO:0061709	reticulophagy	0.0180
GO:0000727	double-strand break repair via break-induced replication	0.0180
GO:0043153	entrainment of circadian clock by photoperiod	0.0180
GO:0030036	actin cytoskeleton organization	0.0186
GO:0016579	protein deubiquitination	0.0328
GO:0006457	protein folding	0.0417
GO:0032922	circadian regulation of gene expression	0.0579
GO:0006368	transcription elongation by RNA polymerase II	0.0685
GO:0006402	mRNA catabolic process	0.0685
GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	0.0688
GO:0000423	mitophagy	0.0688
GO:0001755	neural crest cell migration	0.0688
GO:0090110	COPII-coated vesicle cargo loading	0.0688
GO:0048843	negative regulation of axon extension involved in axon guidance	0.0688
GO:0030335	positive regulation of cell migration	0.0688
GO:0006015	5-phosphoribose 1-diphosphate biosynthetic process	0.0688
GO:0006183	GTP biosynthetic process	0.0688
GO:0010992	ubiquitin recycling	0.0688
GO:0055071	manganese ion homeostasis	0.0688
GO:0034727	piecemeal microautophagy of the nucleus	0.0688
GO:0071526	semaphorin-plexin signaling pathway	0.0688
GO:0006228	UTP biosynthetic process	0.0688
GO:0006241	CTP biosynthetic process	0.0688
GO:0009214	cyclic nucleotide catabolic process	0.0688
GO:0010042	response to manganese ion	0.0688
GO:1902600	proton transmembrane transport	0.0822
GO:0000045	autophagosome assembly	0.1167
GO:0030488	tRNA methylation	0.1168
GO:0015889	cobalamin transport	0.1168
GO:0051726	regulation of cell cycle	0.1172
GO:0006470	protein dephosphorylation	0.1308
GO:0016485	protein processing	0.1678
GO:0016311	dephosphorylation	0.1679
GO:0006164	purine nucleotide biosynthetic process	0.1687
GO:0046034	ATP metabolic process	0.1703
GO:0016925	protein sumoylation	0.1705
