GO.ID	Description	p.Val
GO:0005838	proteasome regulatory particle	0.076
GO:0070449	elongin complex	0.077
GO:0070971	endoplasmic reticulum exit site	0.077
GO:0030127	COPII vesicle coat	0.077
GO:0005847	mRNA cleavage and polyadenylation specificity factor complex	0.077
GO:0031390	Ctf18 RFC-like complex	0.077
GO:0002189	ribose phosphate diphosphokinase complex	0.077
GO:0005682	U5 snRNP	0.077
GO:0005840	ribosome	0.077
GO:0005576	extracellular region	0.079
GO:0005829	cytosol	0.141
GO:0005737	cytoplasm	0.179
GO:0005770	late endosome	0.188
GO:0005834	heterotrimeric G-protein complex	0.188
GO:0005681	spliceosomal complex	0.188
GO:0000407	phagophore assembly site	0.214
GO:1990529	glycosylphosphatidylinositol-mannosyltransferase I complex	0.277
GO:0070985	transcription factor TFIIK complex	0.277
GO:0005869	dynactin complex	0.277
GO:0032783	super elongation complex	0.277
GO:0008250	oligosaccharyltransferase complex	0.277
GO:0000786	nucleosome	0.277
GO:0032777	piccolo histone acetyltransferase complex	0.277
GO:0008540	proteasome regulatory particle, base subcomplex	0.277
GO:0031941	filamentous actin	0.277
GO:0032281	AMPA glutamate receptor complex	0.277
GO:0008541	proteasome regulatory particle, lid subcomplex	0.277
GO:0071541	eukaryotic translation initiation factor 3 complex, eIF3m	0.277
GO:0018444	translation release factor complex	0.277
GO:0005782	peroxisomal matrix	0.277
GO:0033596	TSC1-TSC2 complex	0.277
GO:0005637	nuclear inner membrane	0.277
GO:0044753	amphisome	0.277
GO:0035145	exon-exon junction complex	0.277
GO:0034515	proteasome storage granule	0.277
GO:0000172	ribonuclease MRP complex	0.277
GO:0072669	tRNA-splicing ligase complex	0.277
GO:0005832	chaperonin-containing T-complex	0.277
GO:0005839	proteasome core complex	0.277
GO:0031499	TRAMP complex	0.277
GO:0017119	Golgi transport complex	0.277
GO:0005745	m-AAA complex	0.277
GO:0034271	phosphatidylinositol 3-kinase complex, class III, type I	0.277
GO:0034272	phosphatidylinositol 3-kinase complex, class III, type II	0.277
GO:0030896	checkpoint clamp complex	0.277
GO:0000421	autophagosome membrane	0.277
GO:0071144	heteromeric SMAD protein complex	0.277
GO:0043291	RAVE complex	0.277
GO:1990316	Atg1/ULK1 kinase complex	0.277
GO:0097541	axonemal basal plate	0.277
GO:0016605	PML body	0.277
GO:0005958	DNA-dependent protein kinase-DNA ligase 4 complex	0.277
GO:0005697	telomerase holoenzyme complex	0.277
GO:0017101	aminoacyl-tRNA synthetase multienzyme complex	0.277
GO:0097361	cytosolic [4Fe-4S] assembly targeting complex	0.277
GO:0016471	vacuolar proton-transporting V-type ATPase complex	0.277
GO:0030906	retromer, cargo-selective complex	0.277
GO:0016235	aggresome	0.277
GO:0030877	beta-catenin destruction complex	0.277
GO:0000795	synaptonemal complex	0.277
GO:0031417	NatC complex	0.277
GO:0097422	tubular endosome	0.277
GO:0042555	MCM complex	0.277
GO:0008622	epsilon DNA polymerase complex	0.277
GO:0032039	integrator complex	0.277
GO:0030054	cell junction	0.281
GO:0005765	lysosomal membrane	0.308
GO:0005643	nuclear pore	0.308
