GO.ID	Description	p.Val
GO:0016887	ATP hydrolysis activity	0.011
GO:0008061	chitin binding	0.071
GO:0046961	proton-transporting ATPase activity, rotational mechanism	0.072
GO:0019903	protein phosphatase binding	0.072
GO:0043130	ubiquitin binding	0.080
GO:0004550	nucleoside diphosphate kinase activity	0.081
GO:0005068	transmembrane receptor protein tyrosine kinase adaptor activity	0.081
GO:0004032	aldose reductase (NADPH) activity	0.081
GO:0005507	copper ion binding	0.081
GO:0004749	ribose phosphate diphosphokinase activity	0.081
GO:0004113	2',3'-cyclic-nucleotide 3'-phosphodiesterase activity	0.081
GO:0004142	diacylglycerol cholinephosphotransferase activity	0.081
GO:0005381	iron ion transmembrane transporter activity	0.081
GO:0005384	manganese ion transmembrane transporter activity	0.081
GO:0045499	chemorepellent activity	0.081
GO:0004307	ethanolaminephosphotransferase activity	0.081
GO:0030215	semaphorin receptor binding	0.081
GO:0001222	transcription corepressor binding	0.081
GO:0015086	cadmium ion transmembrane transporter activity	0.081
GO:0004423	iduronate-2-sulfatase activity	0.081
GO:0016757	glycosyltransferase activity	0.081
GO:0004843	cysteine-type deubiquitinase activity	0.106
GO:0005096	GTPase activator activity	0.124
GO:0019888	protein phosphatase regulator activity	0.142
GO:0031419	cobalamin binding	0.142
GO:0004722	protein serine/threonine phosphatase activity	0.166
GO:0003729	mRNA binding	0.179
GO:0004197	cysteine-type endopeptidase activity	0.196
GO:0051087	protein-folding chaperone binding	0.196
GO:0070976	TIR domain binding	0.196
GO:0004176	ATP-dependent peptidase activity	0.196
GO:0031625	ubiquitin protein ligase binding	0.196
GO:0031418	L-ascorbic acid binding	0.196
GO:0003755	peptidyl-prolyl cis-trans isomerase activity	0.227
GO:0101005	deubiquitinase activity	0.282
GO:0019208	phosphatase regulator activity	0.283
GO:0030159	signaling receptor complex adaptor activity	0.283
GO:0016639	oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor	0.284
GO:0140658	ATP-dependent chromatin remodeler activity	0.284
GO:0019789	SUMO transferase activity	0.284
GO:0030527	structural constituent of chromatin	0.284
GO:0004438	phosphatidylinositol-3-phosphate phosphatase activity	0.284
GO:0004439	phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity	0.284
GO:0032549	ribonucleoside binding	0.284
GO:0030544	Hsp70 protein binding	0.284
GO:0003796	lysozyme activity	0.284
GO:0140492	metal-dependent deubiquitinase activity	0.284
GO:0004069	L-aspartate:2-oxoglutarate aminotransferase activity	0.284
GO:0140849	ATP-dependent H2AZ histone chaperone activity	0.284
GO:0017150	tRNA dihydrouridine synthase activity	0.284
GO:0019158	mannokinase activity	0.284
GO:0004407	histone deacetylase activity	0.284
GO:0004056	argininosuccinate lyase activity	0.284
GO:0030165	PDZ domain binding	0.284
GO:0008519	ammonium channel activity	0.284
GO:0070411	I-SMAD binding	0.284
GO:0008190	eukaryotic initiation factor 4E binding	0.284
GO:0004756	selenide, water dikinase activity	0.284
GO:0004029	aldehyde dehydrogenase (NAD+) activity	0.284
GO:0005536	D-glucose binding	0.284
GO:0017116	single-stranded DNA helicase activity	0.284
GO:0008720	D-lactate dehydrogenase activity	0.284
GO:0004720	protein-lysine 6-oxidase activity	0.284
GO:0051059	NF-kappaB binding	0.284
GO:0003726	double-stranded RNA adenosine deaminase activity	0.284
GO:0061578	K63-linked deubiquitinase activity	0.284
GO:0016651	oxidoreductase activity, acting on NAD(P)H	0.284
GO:0051765	inositol tetrakisphosphate kinase activity	0.284
GO:0051750	delta(3,5)-delta(2,4)-dienoyl-CoA isomerase activity	0.284
GO:0051751	alpha-1,4-mannosyltransferase activity	0.284
GO:0031386	protein tag activity	0.284
GO:0097153	cysteine-type endopeptidase activity involved in apoptotic process	0.284
GO:0008184	glycogen phosphorylase activity	0.284
GO:1990174	phosphodiesterase decapping endonuclease activity	0.284
GO:0035325	Toll-like receptor binding	0.284
GO:0000179	rRNA (adenine-N6,N6-)-dimethyltransferase activity	0.284
GO:0004363	glutathione synthase activity	0.284
GO:0070530	K63-linked polyubiquitin modification-dependent protein binding	0.284
GO:0004352	glutamate dehydrogenase (NAD+) activity	0.284
GO:0070773	protein-N-terminal glutamine amidohydrolase activity	0.284
GO:0050152	omega-amidase activity	0.284
GO:0070042	rRNA (uridine-N3-)-methyltransferase activity	0.284
GO:0061507	2',3'-cyclic GMP-AMP binding	0.284
GO:0070034	telomerase RNA binding	0.284
GO:0016992	lipoate synthase activity	0.284
GO:0004658	propionyl-CoA carboxylase activity	0.284
