GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0045177	apical part of cell	7	4	0.61	0.0073
2	GO:0030175	filopodium	2	2	0.17	0.0075
3	GO:0030688	preribosome, small subunit precursor	2	2	0.17	0.0075
4	GO:0005736	RNA polymerase I complex	3	2	0.26	0.0213
5	GO:0005921	gap junction	4	2	0.35	0.0401
6	GO:0005912	adherens junction	4	2	0.35	0.0401
7	GO:0016324	apical plasma membrane	5	2	0.44	0.0631
8	GO:0055038	recycling endosome membrane	1	1	0.09	0.0871
9	GO:0016513	core-binding factor complex	1	1	0.09	0.0871
10	GO:0031213	RSF complex	1	1	0.09	0.0871
11	GO:0071339	MLL1 complex	1	1	0.09	0.0871
12	GO:0030427	site of polarized growth	1	1	0.09	0.0871
13	GO:0016012	sarcoglycan complex	1	1	0.09	0.0871
14	GO:0035550	urease complex	1	1	0.09	0.0871
15	GO:0034663	endoplasmic reticulum chaperone complex	1	1	0.09	0.0871
16	GO:0000159	protein phosphatase type 2A complex	1	1	0.09	0.0871
17	GO:0045211	postsynaptic membrane	1	1	0.09	0.0871
18	GO:0000176	nuclear exosome (RNase complex)	1	1	0.09	0.0871
19	GO:0000177	cytoplasmic exosome (RNase complex)	1	1	0.09	0.0871
20	GO:0032154	cleavage furrow	1	1	0.09	0.0871
21	GO:0030496	midbody	1	1	0.09	0.0871
22	GO:0005785	signal recognition particle receptor complex	1	1	0.09	0.0871
23	GO:0070776	MOZ/MORF histone acetyltransferase complex	1	1	0.09	0.0871
24	GO:0016607	nuclear speck	1	1	0.09	0.0871
25	GO:0030027	lamellipodium	1	1	0.09	0.0871
26	GO:0005868	cytoplasmic dynein complex	1	1	0.09	0.0871
27	GO:0000785	chromatin	30	8	2.61	0.0892
28	GO:0005930	axoneme	6	2	0.52	0.0894
29	GO:0000118	histone deacetylase complex	6	2	0.52	0.0894
30	GO:0005856	cytoskeleton	64	7	5.57	0.0894
31	GO:0072487	MSL complex	2	1	0.17	0.1666
32	GO:0030425	dendrite	2	1	0.17	0.1666
33	GO:0044545	NSL complex	2	1	0.17	0.1666
34	GO:0032040	small-subunit processome	2	1	0.17	0.1666
35	GO:0031932	TORC2 complex	2	1	0.17	0.1666
36	GO:0014069	postsynaptic density	2	1	0.17	0.1666
37	GO:0005788	endoplasmic reticulum lumen	2	1	0.17	0.1666
38	GO:0035861	site of double-strand break	2	1	0.17	0.1666
39	GO:0090537	CERF complex	2	1	0.17	0.1666
40	GO:0030686	90S preribosome	2	1	0.17	0.1666
41	GO:0062129	chitin-based extracellular matrix	9	2	0.78	0.1810
42	GO:0005739	mitochondrion	88	10	7.66	0.1864
43	GO:0036064	ciliary basal body	10	2	0.87	0.2140
44	GO:0005730	nucleolus	22	5	1.92	0.2182
45	GO:0010008	endosome membrane	4	2	0.35	0.2375
46	GO:0043240	Fanconi anaemia nuclear complex	3	1	0.26	0.2393
47	GO:0005811	lipid droplet	3	1	0.26	0.2393
48	GO:0030139	endocytic vesicle	3	1	0.26	0.2393
49	GO:0005774	vacuolar membrane	8	2	0.7	0.3041
50	GO:0036464	cytoplasmic ribonucleoprotein granule	13	2	1.13	0.3051
51	GO:0005884	actin filament	4	1	0.35	0.3057
52	GO:0030864	cortical actin cytoskeleton	4	1	0.35	0.3057
