GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0016972	thiol oxidase activity	3	2	0.05	0.015
2	GO:0019135	deoxyhypusine monooxygenase activity	1	1	0.02	0.015
3	GO:0140818	mRNA 5'-triphosphate monophosphatase activity	1	1	0.02	0.015
4	GO:0004418	hydroxymethylbilane synthase activity	1	1	0.02	0.015
5	GO:0047938	glucose-6-phosphate 1-epimerase activity	1	1	0.02	0.015
6	GO:0003983	UTP:glucose-1-phosphate uridylyltransferase activity	1	1	0.02	0.015
7	GO:0033787	cyanocobalamin reductase (cyanide-eliminating) (NADP+) activity	1	1	0.02	0.015
8	GO:0035299	inositol-1,3,4,5,6-pentakisphosphate 2-kinase activity	1	1	0.02	0.015
9	GO:0061685	diphthine methylesterase activity	1	1	0.02	0.015
10	GO:0008455	alpha-1,6-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity	1	1	0.02	0.015
11	GO:0052906	tRNA (guanine(37)-N1)-methyltransferase activity	1	1	0.02	0.015
12	GO:0004515	nicotinate-nucleotide adenylyltransferase activity	1	1	0.02	0.015
13	GO:0000309	nicotinamide-nucleotide adenylyltransferase activity	1	1	0.02	0.015
14	GO:0106370	protein-L-histidine N-pros-methyltransferase activity	1	1	0.02	0.015
15	GO:0051750	delta(3,5)-delta(2,4)-dienoyl-CoA isomerase activity	1	1	0.02	0.015
16	GO:0002151	G-quadruplex RNA binding	1	1	0.02	0.015
17	GO:0004484	mRNA guanylyltransferase activity	1	1	0.02	0.015
18	GO:0016779	nucleotidyltransferase activity	53	7	0.81	0.020
19	GO:0003725	double-stranded RNA binding	16	2	0.25	0.024
20	GO:1990404	NAD+-protein mono-ADP-ribosyltransferase activity	2	1	0.03	0.030
21	GO:0016971	flavin-dependent sulfhydryl oxidase activity	2	1	0.03	0.030
22	GO:0004084	branched-chain-amino-acid transaminase activity	2	1	0.03	0.030
23	GO:0051424	corticotropin-releasing hormone binding	2	1	0.03	0.030
24	GO:0008176	tRNA (guanine(46)-N7)-methyltransferase activity	2	1	0.03	0.030
25	GO:0061928	glutathione specific gamma-glutamylcyclotransferase activity	2	1	0.03	0.030
26	GO:0031489	myosin V binding	2	1	0.03	0.030
27	GO:0071949	FAD binding	20	2	0.31	0.037
28	GO:0003839	gamma-glutamylcyclotransferase activity	3	1	0.05	0.045
29	GO:0003950	NAD+ poly-ADP-ribosyltransferase activity	3	1	0.05	0.045
30	GO:0008988	rRNA (adenine-N6-)-methyltransferase activity	3	1	0.05	0.045
31	GO:0030619	U1 snRNA binding	3	1	0.05	0.045
32	GO:0070840	dynein complex binding	3	1	0.05	0.045
33	GO:0016435	rRNA (guanine) methyltransferase activity	3	1	0.05	0.045
34	GO:0008199	ferric iron binding	4	1	0.06	0.060
35	GO:0004791	thioredoxin-disulfide reductase (NADPH) activity	4	1	0.06	0.060
36	GO:0003755	peptidyl-prolyl cis-trans isomerase activity	28	2	0.43	0.068
37	GO:0051087	protein-folding chaperone binding	29	2	0.44	0.072
38	GO:0016818	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	313	7	4.8	0.073
39	GO:0001099	basal RNA polymerase II transcription machinery binding	18	2	0.28	0.074
40	GO:0004865	protein serine/threonine phosphatase inhibitor activity	5	1	0.08	0.074
41	GO:0033550	MAP kinase tyrosine phosphatase activity	5	1	0.08	0.074
42	GO:0051920	peroxiredoxin activity	5	1	0.08	0.074
43	GO:0008330	protein tyrosine/threonine phosphatase activity	5	1	0.08	0.074
44	GO:0003747	translation release factor activity	5	1	0.08	0.074
45	GO:0017017	MAP kinase tyrosine/serine/threonine phosphatase activity	5	1	0.08	0.074
46	GO:0000049	tRNA binding	32	2	0.49	0.086
47	GO:0046935	1-phosphatidylinositol-3-kinase regulator activity	6	1	0.09	0.089
48	GO:0035250	UDP-galactosyltransferase activity	6	1	0.09	0.089
49	GO:0015035	protein-disulfide reductase activity	14	3	0.21	0.101
50	GO:0008175	tRNA methyltransferase activity	12	3	0.18	0.114
51	GO:0051010	microtubule plus-end binding	8	1	0.12	0.116
52	GO:0097602	cullin family protein binding	8	1	0.12	0.116
53	GO:0045504	dynein heavy chain binding	8	1	0.12	0.116
54	GO:0003676	nucleic acid binding	1333	28	20.43	0.118
55	GO:1990817	poly(A) RNA polymerase activity	9	1	0.14	0.130
56	GO:0008198	ferrous iron binding	10	1	0.15	0.143
57	GO:0004860	protein kinase inhibitor activity	11	1	0.17	0.156
58	GO:0051537	2 iron, 2 sulfur cluster binding	11	1	0.17	0.156
59	GO:0051082	unfolded protein binding	49	2	0.75	0.173
60	GO:0003924	GTPase activity	143	4	2.19	0.176
61	GO:0003887	DNA-directed DNA polymerase activity	13	1	0.2	0.182
62	GO:0000993	RNA polymerase II complex binding	13	1	0.2	0.182
63	GO:0008173	RNA methyltransferase activity	40	6	0.61	0.187
64	GO:0070006	metalloaminopeptidase activity	14	1	0.21	0.195
65	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	14	1	0.21	0.195
66	GO:0008171	O-methyltransferase activity	14	1	0.21	0.195
67	GO:0032451	demethylase activity	15	1	0.23	0.207
68	GO:0031491	nucleosome binding	16	1	0.25	0.219
69	GO:0030515	snoRNA binding	16	1	0.25	0.219
70	GO:0008138	protein tyrosine/serine/threonine phosphatase activity	22	2	0.34	0.229
71	GO:0000175	3'-5'-RNA exonuclease activity	18	1	0.28	0.243
72	GO:0016409	palmitoyltransferase activity	20	1	0.31	0.266
73	GO:0042802	identical protein binding	20	1	0.31	0.266
74	GO:0016279	protein-lysine N-methyltransferase activity	21	1	0.32	0.277
75	GO:0003684	damaged DNA binding	21	1	0.32	0.277
76	GO:0016891	RNA endonuclease activity producing 5'-phosphomonoesters, hydrolytic mechanism	22	1	0.34	0.288
77	GO:0005085	guanyl-nucleotide exchange factor activity	71	2	1.09	0.297
78	GO:0008270	zinc ion binding	303	6	4.64	0.320
79	GO:0005484	SNAP receptor activity	27	1	0.41	0.341
80	GO:0005267	potassium channel activity	28	1	0.43	0.352
81	GO:0051287	NAD binding	29	1	0.44	0.362
82	GO:0003729	mRNA binding	140	3	2.15	0.363
83	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	259	5	3.97	0.365
84	GO:1901981	phosphatidylinositol phosphate binding	30	1	0.46	0.371
85	GO:0046982	protein heterodimerization activity	30	1	0.46	0.371
86	GO:0019843	rRNA binding	30	1	0.46	0.371
