GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0061025	membrane fusion	34	4	0.53	0.015
2	GO:0031468	nuclear membrane reassembly	1	1	0.02	0.015
3	GO:0035523	protein K29-linked deubiquitination	1	1	0.02	0.015
4	GO:1990168	protein K33-linked deubiquitination	1	1	0.02	0.015
5	GO:0070126	mitochondrial translational termination	1	1	0.02	0.015
6	GO:1902983	DNA strand elongation involved in mitotic DNA replication	1	1	0.02	0.015
7	GO:1903599	positive regulation of autophagy of mitochondrion	1	1	0.02	0.015
8	GO:0007584	response to nutrient	1	1	0.02	0.015
9	GO:0055129	L-proline biosynthetic process	1	1	0.02	0.015
10	GO:1903292	protein localization to Golgi membrane	1	1	0.02	0.015
11	GO:0031509	subtelomeric heterochromatin formation	1	1	0.02	0.015
12	GO:0007030	Golgi organization	36	3	0.56	0.018
13	GO:0051260	protein homooligomerization	16	2	0.25	0.025
14	GO:0010387	COP9 signalosome assembly	2	1	0.03	0.031
15	GO:0034473	U1 snRNA 3'-end processing	2	1	0.03	0.031
16	GO:0034476	U5 snRNA 3'-end processing	2	1	0.03	0.031
17	GO:0042796	snRNA transcription by RNA polymerase III	2	1	0.03	0.031
18	GO:0009051	pentose-phosphate shunt, oxidative branch	2	1	0.03	0.031
19	GO:0120009	intermembrane lipid transfer	2	1	0.03	0.031
20	GO:0006424	glutamyl-tRNA aminoacylation	2	1	0.03	0.031
21	GO:0071947	protein deubiquitination involved in ubiquitin-dependent protein catabolic process	2	1	0.03	0.031
22	GO:0071042	nuclear polyadenylation-dependent mRNA catabolic process	2	1	0.03	0.031
23	GO:0034058	endosomal vesicle fusion	3	1	0.05	0.046
24	GO:0042795	snRNA transcription by RNA polymerase II	3	1	0.05	0.046
25	GO:1901642	nucleoside transmembrane transport	3	1	0.05	0.046
26	GO:0035627	ceramide transport	3	1	0.05	0.046
27	GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	24	2	0.37	0.052
28	GO:0006914	autophagy	70	4	1.08	0.059
29	GO:0035025	positive regulation of Rho protein signal transduction	4	1	0.06	0.061
30	GO:0000338	protein deneddylation	4	1	0.06	0.061
31	GO:0030177	positive regulation of Wnt signaling pathway	4	1	0.06	0.061
32	GO:0007601	visual perception	4	1	0.06	0.061
33	GO:0016082	synaptic vesicle priming	4	1	0.06	0.061
34	GO:0035434	copper ion transmembrane transport	4	1	0.06	0.061
35	GO:0034587	piRNA processing	4	1	0.06	0.061
36	GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	26	2	0.4	0.061
37	GO:0006888	endoplasmic reticulum to Golgi vesicle-mediated transport	59	3	0.91	0.063
38	GO:0006271	DNA strand elongation involved in DNA replication	11	3	0.17	0.073
39	GO:0030422	siRNA processing	5	1	0.08	0.075
40	GO:0046512	sphingosine biosynthetic process	5	1	0.08	0.075
41	GO:0034063	stress granule assembly	5	1	0.08	0.075
42	GO:0031629	synaptic vesicle fusion to presynaptic active zone membrane	5	1	0.08	0.075
43	GO:0015886	heme transport	5	1	0.08	0.075
44	GO:1902975	mitotic DNA replication initiation	5	1	0.08	0.075
45	GO:0070936	protein K48-linked ubiquitination	5	1	0.08	0.075
46	GO:0043405	regulation of MAP kinase activity	5	1	0.08	0.075
47	GO:0006272	leading strand elongation	5	1	0.08	0.075
48	GO:0071028	nuclear mRNA surveillance	5	1	0.08	0.075
49	GO:0071035	nuclear polyadenylation-dependent rRNA catabolic process	5	1	0.08	0.075
50	GO:0071038	TRAMP-dependent tRNA surveillance pathway	5	1	0.08	0.075
51	GO:0098887	neurotransmitter receptor transport, endosome to postsynaptic membrane	6	1	0.09	0.089
52	GO:0043248	proteasome assembly	6	1	0.09	0.089
53	GO:0000467	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	6	1	0.09	0.089
54	GO:0007266	Rho protein signal transduction	18	2	0.28	0.103
55	GO:0007218	neuropeptide signaling pathway	7	1	0.11	0.103
56	GO:0034475	U4 snRNA 3'-end processing	7	1	0.11	0.103
57	GO:0019985	translesion synthesis	7	1	0.11	0.103
58	GO:0009083	branched-chain amino acid catabolic process	7	1	0.11	0.103
59	GO:0006275	regulation of DNA replication	7	1	0.11	0.103
60	GO:0034975	protein folding in endoplasmic reticulum	8	1	0.12	0.117
61	GO:0000727	double-strand break repair via break-induced replication	8	1	0.12	0.117
62	GO:0030100	regulation of endocytosis	8	1	0.12	0.117
63	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	122	6	1.89	0.129
64	GO:0030150	protein import into mitochondrial matrix	9	1	0.14	0.131
65	GO:0007602	phototransduction	9	1	0.14	0.131
66	GO:0006446	regulation of translational initiation	9	1	0.14	0.131
67	GO:0045454	cell redox homeostasis	9	1	0.14	0.131
68	GO:0006298	mismatch repair	10	1	0.15	0.145
69	GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	10	1	0.15	0.145
70	GO:0009887	animal organ morphogenesis	11	1	0.17	0.158
71	GO:0045089	positive regulation of innate immune response	11	1	0.17	0.158
72	GO:0032981	mitochondrial respiratory chain complex I assembly	12	1	0.19	0.171
