GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0030008	TRAPP complex	10	2	0.16	0.011
2	GO:0035517	PR-DUB complex	1	1	0.02	0.016
3	GO:0043626	PCNA complex	1	1	0.02	0.016
4	GO:0019185	snRNA-activating protein complex	2	1	0.03	0.033
5	GO:0001405	PAM complex, Tim23 associated import motor	2	1	0.03	0.033
6	GO:0031463	Cul3-RING ubiquitin ligase complex	2	1	0.03	0.033
7	GO:0070545	PeBoW complex	2	1	0.03	0.033
8	GO:0005793	endoplasmic reticulum-Golgi intermediate compartment	18	2	0.29	0.034
9	GO:0005634	nucleus	1718	36	28.15	0.044
10	GO:0000811	GINS complex	3	1	0.05	0.048
11	GO:0070822	Sin3-type complex	3	1	0.05	0.048
12	GO:0031526	brush border membrane	3	1	0.05	0.048
13	GO:0070652	HAUS complex	4	1	0.07	0.064
14	GO:0005664	nuclear origin of replication recognition complex	4	1	0.07	0.064
15	GO:0005869	dynactin complex	4	1	0.07	0.064
16	GO:0019005	SCF ubiquitin ligase complex	26	2	0.43	0.067
17	GO:0005762	mitochondrial large ribosomal subunit	28	2	0.46	0.076
18	GO:0005801	cis-Golgi network	5	1	0.08	0.079
19	GO:0030686	90S preribosome	31	3	0.51	0.080
20	GO:0031201	SNARE complex	34	2	0.56	0.106
21	GO:0005783	endoplasmic reticulum	336	6	5.51	0.108
22	GO:0072546	EMC complex	7	1	0.11	0.109
23	GO:0042555	MCM complex	7	1	0.11	0.109
24	GO:0008180	COP9 signalosome	8	1	0.13	0.124
25	GO:0000176	nuclear exosome (RNase complex)	9	1	0.15	0.138
26	GO:0000177	cytoplasmic exosome (RNase complex)	9	1	0.15	0.138
27	GO:0035102	PRC1 complex	9	1	0.15	0.138
28	GO:0005802	trans-Golgi network	42	2	0.69	0.150
29	GO:0005834	heterotrimeric G-protein complex	10	1	0.16	0.152
30	GO:0005921	gap junction	10	1	0.16	0.152
31	GO:0035861	site of double-strand break	10	1	0.16	0.152
32	GO:0010494	cytoplasmic stress granule	11	1	0.18	0.166
33	GO:0005689	U12-type spliceosomal complex	12	1	0.2	0.180
34	GO:0005852	eukaryotic translation initiation factor 3 complex	12	1	0.2	0.180
35	GO:0035267	NuA4 histone acetyltransferase complex	13	1	0.21	0.193
36	GO:0005763	mitochondrial small ribosomal subunit	16	1	0.26	0.233
37	GO:0005811	lipid droplet	19	1	0.31	0.270
38	GO:0000407	phagophore assembly site	20	1	0.33	0.282
39	GO:0043231	intracellular membrane-bounded organelle	2967	55	48.61	0.319
40	GO:0005765	lysosomal membrane	24	1	0.39	0.328
41	GO:0016020	membrane	1692	23	27.72	0.343
42	GO:0030134	COPII-coated ER to Golgi transport vesicle	29	1	0.48	0.381
43	GO:0000151	ubiquitin ligase complex	99	5	1.62	0.411
44	GO:0032040	small-subunit processome	34	1	0.56	0.431
45	GO:0005829	cytosol	439	8	7.19	0.431
46	GO:0012505	endomembrane system	732	11	11.99	0.530
47	GO:0005694	chromosome	217	7	3.56	0.623
48	GO:0005886	plasma membrane	552	7	9.04	0.630
49	GO:1990904	ribonucleoprotein complex	341	9	5.59	0.651
50	GO:0000785	chromatin	108	3	1.77	0.702
51	GO:0005739	mitochondrion	449	7	7.36	0.793
52	GO:0005681	spliceosomal complex	109	2	1.79	0.799
53	GO:0005730	nucleolus	140	3	2.29	0.819
54	GO:0005737	cytoplasm	2687	43	44.03	0.840
55	GO:0005768	endosome	129	1	2.11	0.884
56	GO:0005794	Golgi apparatus	238	3	3.9	0.947
57	GO:0005576	extracellular region	260	1	4.26	0.988
58	GO:0000152	nuclear ubiquitin ligase complex	17	1	0.28	1.000
59	GO:0032991	protein-containing complex	1656	34	27.13	1.000
60	GO:0140513	nuclear protein-containing complex	556	12	9.11	1.000
61	GO:0032993	protein-DNA complex	30	1	0.49	1.000
62	GO:0043189	H4/H2A histone acetyltransferase complex	13	1	0.21	1.000
63	GO:0031981	nuclear lumen	377	7	6.18	1.000
64	GO:0098562	cytoplasmic side of membrane	28	1	0.46	1.000
65	GO:0031982	vesicle	241	2	3.95	1.000
66	GO:1902493	acetyltransferase complex	41	1	0.67	1.000
67	GO:0005840	ribosome	121	3	1.98	1.000
68	GO:1902494	catalytic complex	616	9	10.09	1.000
69	GO:0031984	organelle subcompartment	235	3	3.85	1.000
70	GO:0030054	cell junction	183	1	3	1.000
71	GO:0150005	enzyme activator complex	2	1	0.03	1.000
72	GO:0099080	supramolecular complex	163	1	2.67	1.000
73	GO:0042995	cell projection	222	1	3.64	1.000
74	GO:0044391	ribosomal subunit	99	3	1.62	1.000
75	GO:0005903	brush border	3	1	0.05	1.000
76	GO:0098862	cluster of actin-based cell projections	7	1	0.11	1.000
77	GO:0043226	organelle	3444	60	56.43	1.000
78	GO:0005740	mitochondrial envelope	113	1	1.85	1.000
79	GO:0043227	membrane-bounded organelle	3045	55	49.89	1.000
80	GO:0043228	membraneless organelle	873	17	14.3	1.000
81	GO:0098552	side of membrane	38	1	0.62	1.000
82	GO:0043229	intracellular organelle	3399	60	55.69	1.000
83	GO:0005743	mitochondrial inner membrane	67	1	1.1	1.000
84	GO:0031974	membrane-enclosed lumen	475	11	7.78	1.000
85	GO:0005744	TIM23 mitochondrial import inner membrane translocase complex	6	1	0.1	1.000
86	GO:0015629	actin cytoskeleton	88	1	1.44	1.000
87	GO:0031248	protein acetyltransferase complex	39	1	0.64	1.000
88	GO:0031410	cytoplasmic vesicle	233	2	3.82	1.000
89	GO:0005667	transcription regulator complex	111	1	1.82	1.000
90	GO:0015934	large ribosomal subunit	59	2	0.97	1.000
91	GO:0015935	small ribosomal subunit	40	1	0.66	1.000
92	GO:0019897	extrinsic component of plasma membrane	26	1	0.43	1.000
93	GO:0098852	lytic vacuole membrane	24	1	0.39	1.000
94	GO:0140534	endoplasmic reticulum protein-containing complex	45	1	0.74	1.000
95	GO:0019898	extrinsic component of membrane	58	1	0.95	1.000
96	GO:0140535	intracellular protein-containing complex	374	8	6.13	1.000
97	GO:0000178	exosome (RNase complex)	12	1	0.2	1.000
98	GO:0031234	extrinsic component of cytoplasmic side of plasma membrane	16	1	0.26	1.000
99	GO:0000228	nuclear chromosome	60	3	0.98	1.000
100	GO:0030684	preribosome	71	3	1.16	1.000
