GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0030337	DNA polymerase processivity factor activity	1	1	0.01	0.015
2	GO:0031434	mitogen-activated protein kinase kinase binding	1	1	0.01	0.015
3	GO:0005118	sevenless binding	1	1	0.01	0.015
4	GO:0004735	pyrroline-5-carboxylate reductase activity	1	1	0.01	0.015
5	GO:0004838	L-tyrosine-2-oxoglutarate transaminase activity	1	1	0.01	0.015
6	GO:0004616	phosphogluconate dehydrogenase (decarboxylating) activity	1	1	0.01	0.015
7	GO:0008254	3'-nucleotidase activity	1	1	0.01	0.015
8	GO:0003681	bent DNA binding	1	1	0.01	0.015
9	GO:0043130	ubiquitin binding	38	3	0.56	0.018
10	GO:0003924	GTPase activity	152	6	2.24	0.024
11	GO:0001006	RNA polymerase III type 3 promoter sequence-specific DNA binding	2	1	0.03	0.029
12	GO:0010485	histone H4 acetyltransferase activity	2	1	0.03	0.029
13	GO:0008465	hydroxypyruvate reductase (NADH) activity	2	1	0.03	0.029
14	GO:0004818	glutamate-tRNA ligase activity	2	1	0.03	0.029
15	GO:1902387	ceramide 1-phosphate binding	2	1	0.03	0.029
16	GO:1902388	ceramide 1-phosphate transfer activity	2	1	0.03	0.029
17	GO:0030267	glyoxylate reductase (NADPH) activity	2	1	0.03	0.029
18	GO:0031752	D5 dopamine receptor binding	2	1	0.03	0.029
19	GO:0005337	nucleoside transmembrane transporter activity	3	1	0.04	0.044
20	GO:0003950	NAD+ poly-ADP-ribosyltransferase activity	3	1	0.04	0.044
21	GO:0004362	glutathione-disulfide reductase (NADPH) activity	3	1	0.04	0.044
22	GO:0004791	thioredoxin-disulfide reductase (NADPH) activity	3	1	0.04	0.044
23	GO:0050661	NADP binding	23	2	0.34	0.045
24	GO:0005484	SNAP receptor activity	26	2	0.38	0.056
25	GO:0004865	protein serine/threonine phosphatase inhibitor activity	4	1	0.06	0.058
26	GO:0000774	adenyl-nucleotide exchange factor activity	4	1	0.06	0.058
27	GO:0003747	translation release factor activity	4	1	0.06	0.058
28	GO:0019001	guanyl nucleotide binding	169	6	2.49	0.070
29	GO:0043035	chromatin insulator sequence binding	5	1	0.07	0.072
30	GO:0051018	protein kinase A binding	5	1	0.07	0.072
31	GO:0008013	beta-catenin binding	5	1	0.07	0.072
32	GO:0015232	heme transmembrane transporter activity	5	1	0.07	0.072
33	GO:0004535	poly(A)-specific ribonuclease activity	5	1	0.07	0.072
34	GO:0005375	copper ion transmembrane transporter activity	5	1	0.07	0.072
35	GO:0001640	adenylate cyclase inhibiting G protein-coupled glutamate receptor activity	5	1	0.07	0.072
36	GO:0001046	core promoter sequence-specific DNA binding	5	1	0.07	0.072
37	GO:0015250	water channel activity	5	1	0.07	0.072
38	GO:0042393	histone binding	32	2	0.47	0.080
39	GO:0030729	acetoacetate-CoA ligase activity	6	1	0.09	0.085
40	GO:0008157	protein phosphatase 1 binding	6	1	0.09	0.085
41	GO:0070530	K63-linked polyubiquitin modification-dependent protein binding	6	1	0.09	0.085
42	GO:0003743	translation initiation factor activity	34	2	0.5	0.089
43	GO:0005525	GTP binding	162	5	2.39	0.090
44	GO:0003697	single-stranded DNA binding	35	2	0.52	0.094
45	GO:0031683	G-protein beta/gamma-subunit complex binding	7	1	0.1	0.099
46	GO:0017116	single-stranded DNA helicase activity	8	1	0.12	0.112
47	GO:0042826	histone deacetylase binding	9	1	0.13	0.125
48	GO:0051011	microtubule minus-end binding	9	1	0.13	0.125
49	GO:0097602	cullin family protein binding	9	1	0.13	0.125
50	GO:0003688	DNA replication origin binding	9	1	0.13	0.125
51	GO:0005243	gap junction channel activity	10	1	0.15	0.138
52	GO:0031593	polyubiquitin modification-dependent protein binding	17	2	0.25	0.150
53	GO:0004499	N,N-dimethylaniline monooxygenase activity	12	1	0.18	0.163
54	GO:0042803	protein homodimerization activity	12	1	0.18	0.163
55	GO:0008171	O-methyltransferase activity	13	1	0.19	0.176
56	GO:0003730	mRNA 3'-UTR binding	14	1	0.21	0.188
