GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0003735	structural constituent of ribosome	120	22	13.31	0.012
2	GO:0008440	inositol-1,4,5-trisphosphate 3-kinase activity	2	2	0.22	0.012
3	GO:0036424	L-phosphoserine phosphatase activity	2	2	0.22	0.012
4	GO:0003987	acetate-CoA ligase activity	2	2	0.22	0.012
5	GO:0003978	UDP-glucose 4-epimerase activity	2	2	0.22	0.012
6	GO:0005104	fibroblast growth factor receptor binding	6	3	0.67	0.021
7	GO:0031491	nucleosome binding	16	5	1.78	0.026
8	GO:0015035	protein-disulfide reductase activity	14	5	1.55	0.034
9	GO:0016208	AMP binding	7	3	0.78	0.034
10	GO:0003691	double-stranded telomeric DNA binding	3	2	0.33	0.034
11	GO:0050262	ribosylnicotinamide kinase activity	3	2	0.33	0.034
12	GO:0043495	protein-membrane adaptor activity	3	2	0.33	0.034
13	GO:0051765	inositol tetrakisphosphate kinase activity	3	2	0.33	0.034
14	GO:0008083	growth factor activity	29	7	3.22	0.036
15	GO:0005200	structural constituent of cytoskeleton	13	4	1.44	0.047
16	GO:0031418	L-ascorbic acid binding	8	3	0.89	0.050
17	GO:0051010	microtubule plus-end binding	8	3	0.89	0.050
18	GO:0000049	tRNA binding	32	7	3.55	0.057
19	GO:0070006	metalloaminopeptidase activity	14	4	1.55	0.061
20	GO:0030295	protein kinase activator activity	13	3	1.44	0.063
21	GO:0004366	glycerol-3-phosphate O-acyltransferase activity	4	2	0.44	0.063
22	GO:0005347	ATP transmembrane transporter activity	4	2	0.44	0.063
23	GO:0008821	crossover junction DNA endonuclease activity	4	2	0.44	0.063
24	GO:0004814	arginine-tRNA ligase activity	4	2	0.44	0.063
25	GO:0008168	methyltransferase activity	105	21	11.65	0.067
26	GO:0042393	histone binding	40	8	4.44	0.069
27	GO:0003755	peptidyl-prolyl cis-trans isomerase activity	28	6	3.11	0.082
28	GO:0000993	RNA polymerase II complex binding	13	4	1.44	0.090
29	GO:0005068	transmembrane receptor protein tyrosine kinase adaptor activity	5	2	0.55	0.098
30	GO:0030628	pre-mRNA 3'-splice site binding	5	2	0.55	0.098
31	GO:0004865	protein serine/threonine phosphatase inhibitor activity	5	2	0.55	0.098
32	GO:0015020	glucuronosyltransferase activity	5	2	0.55	0.098
33	GO:0008312	7S RNA binding	5	2	0.55	0.098
34	GO:0000774	adenyl-nucleotide exchange factor activity	5	2	0.55	0.098
35	GO:0008494	translation activator activity	5	2	0.55	0.098
36	GO:0070851	growth factor receptor binding	11	5	1.22	0.111
37	GO:0016653	oxidoreductase activity, acting on NAD(P)H, heme protein as acceptor	2	2	0.22	0.111
38	GO:0016972	thiol oxidase activity	3	2	0.33	0.111
39	GO:0051920	peroxiredoxin activity	5	2	0.55	0.111
40	GO:0008138	protein tyrosine/serine/threonine phosphatase activity	22	5	2.44	0.111
41	GO:0032542	sulfiredoxin activity	1	1	0.11	0.111
42	GO:0004363	glutathione synthase activity	1	1	0.11	0.111
43	GO:0004502	kynurenine 3-monooxygenase activity	1	1	0.11	0.111
44	GO:0005366	myo-inositol:proton symporter activity	1	1	0.11	0.111
45	GO:0070976	TIR domain binding	1	1	0.11	0.111
46	GO:0008897	holo-[acyl-carrier-protein] synthase activity	1	1	0.11	0.111
47	GO:0032216	glucosaminyl-phosphatidylinositol O-acyltransferase activity	1	1	0.11	0.111
48	GO:0010309	acireductone dioxygenase [iron(II)-requiring] activity	1	1	0.11	0.111
49	GO:0003999	adenine phosphoribosyltransferase activity	1	1	0.11	0.111
50	GO:0015187	glycine transmembrane transporter activity	1	1	0.11	0.111
51	GO:0004333	fumarate hydratase activity	1	1	0.11	0.111
52	GO:0004335	galactokinase activity	1	1	0.11	0.111
53	GO:0033787	cyanocobalamin reductase (cyanide-eliminating) (NADP+) activity	1	1	0.11	0.111
54	GO:0004671	protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferase activity	1	1	0.11	0.111
55	GO:1990444	F-box domain binding	1	1	0.11	0.111
56	GO:0004309	exopolyphosphatase activity	1	1	0.11	0.111
57	GO:0003958	NADPH-hemoprotein reductase activity	1	1	0.11	0.111
58	GO:0004610	phosphoacetylglucosamine mutase activity	1	1	0.11	0.111
59	GO:0004493	methylmalonyl-CoA epimerase activity	1	1	0.11	0.111
60	GO:0033735	L-aspartate dehydrogenase [NAD(P)+] activity	1	1	0.11	0.111
61	GO:0004496	mevalonate kinase activity	1	1	0.11	0.111
62	GO:0003923	GPI-anchor transamidase activity	1	1	0.11	0.111
63	GO:0016250	N-sulfoglucosamine sulfohydrolase activity	1	1	0.11	0.111
64	GO:0008120	ceramide glucosyltransferase activity	1	1	0.11	0.111
65	GO:0080122	AMP transmembrane transporter activity	1	1	0.11	0.111
66	GO:0008113	peptide-methionine (S)-S-oxide reductase activity	1	1	0.11	0.111
67	GO:0047938	glucose-6-phosphate 1-epimerase activity	1	1	0.11	0.111
68	GO:0106370	protein-L-histidine N-pros-methyltransferase activity	1	1	0.11	0.111
69	GO:1990883	18S rRNA cytidine N-acetyltransferase activity	1	1	0.11	0.111
70	GO:0004747	ribokinase activity	1	1	0.11	0.111
71	GO:0004482	mRNA 5'-cap (guanine-N7-)-methyltransferase activity	1	1	0.11	0.111
72	GO:0004484	mRNA guanylyltransferase activity	1	1	0.11	0.111
73	GO:0019778	Atg12 activating enzyme activity	1	1	0.11	0.111
74	GO:0019779	Atg8 activating enzyme activity	1	1	0.11	0.111
75	GO:0030621	U4 snRNA binding	1	1	0.11	0.111
76	GO:0004479	methionyl-tRNA formyltransferase activity	1	1	0.11	0.111
77	GO:0106050	tRNA 2'-O-methyltransferase activity	1	1	0.11	0.111
78	GO:0046975	histone H3K36 methyltransferase activity	1	1	0.11	0.111
79	GO:0000994	RNA polymerase III core binding	1	1	0.11	0.111
80	GO:0000224	peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity	1	1	0.11	0.111
81	GO:0004418	hydroxymethylbilane synthase activity	1	1	0.11	0.111
82	GO:0043295	glutathione binding	1	1	0.11	0.111
83	GO:0002055	adenine binding	1	1	0.11	0.111
84	GO:0000215	tRNA 2'-phosphotransferase activity	1	1	0.11	0.111
85	GO:0098621	O-phosphoseryl-tRNA(Sec) selenium transferase activity	1	1	0.11	0.111
86	GO:0042132	fructose 1,6-bisphosphate 1-phosphatase activity	1	1	0.11	0.111
87	GO:0050104	L-gulonate 3-dehydrogenase activity	1	1	0.11	0.111
88	GO:0047453	ATP-dependent NAD(P)H-hydrate dehydratase activity	1	1	0.11	0.111
89	GO:0141039	phosphatidylinositol 3-kinase inhibitor activity	1	1	0.11	0.111
90	GO:0061657	UFM1 conjugating enzyme activity	1	1	0.11	0.111
91	GO:0061685	diphthine methylesterase activity	1	1	0.11	0.111
92	GO:0015095	magnesium ion transmembrane transporter activity	1	1	0.11	0.111
93	GO:0016768	spermine synthase activity	1	1	0.11	0.111
94	GO:0071164	RNA cap trimethylguanosine synthase activity	1	1	0.11	0.111
95	GO:0000309	nicotinamide-nucleotide adenylyltransferase activity	1	1	0.11	0.111
96	GO:0015086	cadmium ion transmembrane transporter activity	1	1	0.11	0.111
97	GO:0044610	FMN transmembrane transporter activity	1	1	0.11	0.111
98	GO:0035299	inositol-1,3,4,5,6-pentakisphosphate 2-kinase activity	1	1	0.11	0.111
99	GO:0003854	3-beta-hydroxy-Delta5-steroid dehydrogenase (NAD+) activity	1	1	0.11	0.111
100	GO:0004126	cytidine deaminase activity	1	1	0.11	0.111
