GO.ID	Description	p.Val
GO:0030431	sleep	0.00021
GO:1903818	positive regulation of voltage-gated potassium channel activity	0.00021
GO:0032222	regulation of synaptic transmission, cholinergic	0.00035
GO:0001708	cell fate specification	0.00135
GO:0032543	mitochondrial translation	0.00632
GO:0032259	methylation	0.01373
GO:0008543	fibroblast growth factor receptor signaling pathway	0.01387
GO:0032958	inositol phosphate biosynthetic process	0.01390
GO:0042325	regulation of phosphorylation	0.01393
GO:0019427	acetyl-CoA biosynthetic process from acetate	0.01411
GO:0006302	double-strand break repair	0.01807
GO:0072659	protein localization to plasma membrane	0.01902
GO:0030150	protein import into mitochondrial matrix	0.02308
GO:0060236	regulation of mitotic spindle organization	0.03899
GO:0006450	regulation of translational fidelity	0.03899
GO:0061099	negative regulation of protein tyrosine kinase activity	0.03899
GO:1990180	mitochondrial tRNA 3'-end processing	0.03899
GO:0031119	tRNA pseudouridine synthesis	0.03899
GO:0045948	positive regulation of translational initiation	0.03899
GO:0009249	protein lipoylation	0.03899
GO:0009235	cobalamin metabolic process	0.03899
GO:0036297	interstrand cross-link repair	0.04486
GO:0015031	protein transport	0.04726
GO:0031122	cytoplasmic microtubule organization	0.06598
GO:2000779	regulation of double-strand break repair	0.07174
GO:1905475	regulation of protein localization to membrane	0.07176
GO:0033499	galactose catabolic process via UDP-galactose, Leloir pathway	0.07188
GO:0006370	7-methylguanosine mRNA capping	0.07188
GO:0006564	L-serine biosynthetic process	0.07188
GO:0006420	arginyl-tRNA aminoacylation	0.07188
GO:0042797	tRNA transcription by RNA polymerase III	0.07188
GO:0001514	selenocysteine incorporation	0.07188
GO:0045893	positive regulation of DNA-templated transcription	0.07666
GO:0006506	GPI anchor biosynthetic process	0.07973
GO:0045454	cell redox homeostasis	0.08121
GO:0008284	positive regulation of cell population proliferation	0.08121
GO:0051301	cell division	0.08172
GO:0000278	mitotic cell cycle	0.09104
GO:0032509	endosome transport via multivesicular body sorting pathway	0.11044
GO:0000302	response to reactive oxygen species	0.11045
GO:0018095	protein polyglutamylation	0.11053
GO:0007190	activation of adenylate cyclase activity	0.11053
GO:0006695	cholesterol biosynthetic process	0.11053
GO:0032147	activation of protein kinase activity	0.11053
GO:0007023	post-chaperonin tubulin folding pathway	0.11053
GO:0016255	attachment of GPI anchor to protein	0.11053
GO:0034394	protein localization to cell surface	0.11053
GO:0006996	organelle organization	0.11166
GO:0043066	negative regulation of apoptotic process	0.11297
GO:0001933	negative regulation of protein phosphorylation	0.11854
GO:0006012	galactose metabolic process	0.11861
GO:0009725	response to hormone	0.11871
GO:0070920	regulation of regulatory ncRNA processing	0.11872
GO:0071569	protein ufmylation	0.11874
GO:0043122	regulation of canonical NF-kappaB signal transduction	0.11876
GO:0060537	muscle tissue development	0.11878
GO:0031023	microtubule organizing center organization	0.11878
GO:0016125	sterol metabolic process	0.11879
GO:0098969	neurotransmitter receptor transport to postsynaptic membrane	0.11882
GO:0019878	L-lysine biosynthetic process via aminoadipic acid	0.11886
GO:1904983	glycine import into mitochondrion	0.11886
GO:0008344	adult locomotory behavior	0.11886
GO:0042371	vitamin K biosynthetic process	0.11886
GO:0031954	positive regulation of protein autophosphorylation	0.11886
GO:0060158	phospholipase C-activating dopamine receptor signaling pathway	0.11886
GO:0034164	negative regulation of toll-like receptor 9 signaling pathway	0.11886
GO:0018160	peptidyl-pyrromethane cofactor linkage	0.11886
GO:0019805	quinolinate biosynthetic process	0.11886
GO:0071539	protein localization to centrosome	0.11886
GO:0140570	extraction of mislocalized protein from mitochondrial outer membrane	0.11886
GO:0034142	toll-like receptor 4 signaling pathway	0.11886
GO:0048741	skeletal muscle fiber development	0.11886
GO:1904812	rRNA acetylation involved in maturation of SSU-rRNA	0.11886
GO:2000632	negative regulation of pre-miRNA processing	0.11886
GO:0045666	positive regulation of neuron differentiation	0.11886
GO:0045669	positive regulation of osteoblast differentiation	0.11886
GO:0140469	GCN2-mediated signaling	0.11886
GO:0097484	dendrite extension	0.11886
GO:0034088	maintenance of mitotic sister chromatid cohesion	0.11886
GO:0044209	AMP salvage	0.11886
GO:0010571	positive regulation of nuclear cell cycle DNA replication	0.11886
GO:0002755	MyD88-dependent toll-like receptor signaling pathway	0.11886
GO:1990810	microtubule anchoring at mitotic spindle pole body	0.11886
GO:0046295	glycolate biosynthetic process	0.11886
GO:0048854	brain morphogenesis	0.11886
GO:0005986	sucrose biosynthetic process	0.11886
GO:0016480	negative regulation of transcription by RNA polymerase III	0.11886
GO:0006363	termination of RNA polymerase I transcription	0.11886
GO:0071171	site-specific DNA replication termination at RTS1 barrier	0.11886
GO:0006386	termination of RNA polymerase III transcription	0.11886
GO:0008090	retrograde axonal transport	0.11886
GO:0006569	L-tryptophan catabolic process	0.11886
GO:0062026	negative regulation of SCF-dependent proteasomal ubiquitin-dependent catabolic process	0.11886
GO:1902979	mitotic DNA replication termination	0.11886
