GO.ID	Description	p.Val
GO:0006099	tricarboxylic acid cycle	0.00054
GO:0007589	body fluid secretion	0.00158
GO:1990180	mitochondrial tRNA 3'-end processing	0.00463
GO:0006102	isocitrate metabolic process	0.00463
GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	0.01614
GO:0000290	deadenylation-dependent decapping of nuclear-transcribed mRNA	0.02915
GO:0006995	cellular response to nitrogen starvation	0.02915
GO:0099518	vesicle cytoskeletal trafficking	0.03761
GO:0031167	rRNA methylation	0.03765
GO:0006012	galactose metabolic process	0.03975
GO:0044878	mitotic cytokinesis checkpoint signaling	0.03989
GO:0006227	dUDP biosynthetic process	0.03989
GO:0097712	vesicle targeting, trans-Golgi to periciliary membrane compartment	0.03989
GO:1900407	regulation of cellular response to oxidative stress	0.03989
GO:0070183	mitochondrial tryptophanyl-tRNA aminoacylation	0.03989
GO:0006617	SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition	0.03989
GO:0048172	regulation of short-term neuronal synaptic plasticity	0.03989
GO:0006233	dTDP biosynthetic process	0.03989
GO:0006235	dTTP biosynthetic process	0.03989
GO:0001680	tRNA 3'-terminal CCA addition	0.03989
GO:0070682	proteasome regulatory particle assembly	0.03989
GO:0009838	abscission	0.03989
GO:0001717	conversion of seryl-tRNAsec to selenocys-tRNAsec	0.03989
GO:0030888	regulation of B cell proliferation	0.03989
GO:0140570	extraction of mislocalized protein from mitochondrial outer membrane	0.03989
GO:0006843	mitochondrial citrate transmembrane transport	0.03989
GO:0016480	negative regulation of transcription by RNA polymerase III	0.03989
GO:0000301	retrograde transport, vesicle recycling within Golgi	0.03989
GO:2000042	negative regulation of double-strand break repair via homologous recombination	0.03989
GO:2000812	regulation of barbed-end actin filament capping	0.03989
GO:0045995	regulation of embryonic development	0.03989
GO:0006106	fumarate metabolic process	0.03989
GO:0019254	carnitine metabolic process, CoA-linked	0.03989
GO:1900073	regulation of neuromuscular synaptic transmission	0.03989
GO:1990519	pyrimidine nucleotide import into mitochondrion	0.03989
GO:0006506	GPI anchor biosynthetic process	0.04329
GO:0006614	SRP-dependent cotranslational protein targeting to membrane	0.04707
GO:0035023	regulation of Rho protein signal transduction	0.05773
GO:0000422	autophagy of mitochondrion	0.06847
GO:0000045	autophagosome assembly	0.07561
GO:0045333	cellular respiration	0.07706
GO:0007091	metaphase/anaphase transition of mitotic cell cycle	0.07804
GO:0016539	intein-mediated protein splicing	0.07819
