GO.ID	Description	p.Val
GO:0060070	canonical Wnt signaling pathway	0.00065
GO:0046854	phosphatidylinositol phosphate biosynthetic process	0.00146
GO:0042148	DNA strand invasion	0.00172
GO:0030182	neuron differentiation	0.00365
GO:0061640	cytoskeleton-dependent cytokinesis	0.00949
GO:0006914	autophagy	0.00991
GO:0048015	phosphatidylinositol-mediated signaling	0.01197
GO:0098609	cell-cell adhesion	0.01493
GO:0007602	phototransduction	0.01691
GO:0007411	axon guidance	0.01732
GO:0045596	negative regulation of cell differentiation	0.01970
GO:0006954	inflammatory response	0.02215
GO:0018095	protein polyglutamylation	0.02215
GO:0000226	microtubule cytoskeleton organization	0.02813
GO:0007188	adenylate cyclase-modulating G protein-coupled receptor signaling pathway	0.03578
GO:0035567	non-canonical Wnt signaling pathway	0.03973
GO:0007218	neuropeptide signaling pathway	0.03973
GO:0051764	actin crosslink formation	0.03973
GO:0006082	organic acid metabolic process	0.03994
GO:0006805	xenobiotic metabolic process	0.04026
