Description	Count	p	Ontology
canonical Wnt signaling pathway	11	0.00065	bp
phosphatidylinositol phosphate biosynthetic process	8	0.00146	bp
DNA strand invasion	4	0.00172	bp
neuron differentiation	20	0.00365	bp
cytoskeleton-dependent cytokinesis	6	0.00949	bp
autophagy	11	0.00991	bp
phosphatidylinositol-mediated signaling	5	0.01197	bp
cell-cell adhesion	15	0.01493	bp
phototransduction	4	0.01691	bp
axon guidance	10	0.01732	bp
negative regulation of cell differentiation	3	0.01970	bp
inflammatory response	3	0.02215	bp
protein polyglutamylation	3	0.02215	bp
microtubule cytoskeleton organization	18	0.02813	bp
adenylate cyclase-modulating G protein-coupled receptor signaling pathway	9	0.03578	bp
non-canonical Wnt signaling pathway	3	0.03973	bp
neuropeptide signaling pathway	3	0.03973	bp
actin crosslink formation	3	0.03973	bp
organic acid metabolic process	25	0.03994	bp
xenobiotic metabolic process	4	0.04026	bp
plasma membrane	82	0.0084	cc
nuclear envelope	8	0.0206	cc
COP9 signalosome	4	0.0248	cc
gap junction	4	0.0370	cc
septin ring	3	0.0371	cc
septin complex	3	0.0371	cc
extracellular region	37	0.0428	cc
microtubule cytoskeleton	26	0.0431	cc
diuretic hormone receptor activity	4	0.0015	mf
small GTPase binding	10	0.0076	mf
peptide hormone binding	4	0.0149	mf
four-way junction DNA binding	3	0.0200	mf
tau-protein kinase activity	3	0.0200	mf
G protein-coupled peptide receptor activity	6	0.0226	mf
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen	4	0.0357	mf
gap junction channel activity	4	0.0357	mf
1-phosphatidylinositol-3-kinase regulator activity	3	0.0361	mf
phosphatidylinositol-4,5-bisphosphate phospholipase C activity	3	0.0361	mf
iron ion binding	14	0.0431	mf
signaling receptor activity	29	0.0490	mf
P-type transmembrane transporter activity	3	0.0499	mf
