GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0060070	canonical Wnt signaling pathway	27	11	3.79	0.00064
2	GO:0046854	phosphatidylinositol phosphate biosynthetic process	18	8	2.52	0.00144
3	GO:0042148	DNA strand invasion	5	4	0.7	0.00170
4	GO:0010387	COP9 signalosome assembly	3	3	0.42	0.00275
5	GO:0030182	neuron differentiation	82	20	11.5	0.00360
6	GO:0061640	cytoskeleton-dependent cytokinesis	20	6	2.8	0.00942
7	GO:0006272	leading strand elongation	4	3	0.56	0.00983
8	GO:0006914	autophagy	64	11	8.97	0.00985
9	GO:0048015	phosphatidylinositol-mediated signaling	11	5	1.54	0.01187
10	GO:0098609	cell-cell adhesion	49	15	6.87	0.01477
11	GO:0007602	phototransduction	8	4	1.12	0.01678
12	GO:0007411	axon guidance	36	10	5.05	0.01712
13	GO:0048167	regulation of synaptic plasticity	3	3	0.42	0.01958
14	GO:0045596	negative regulation of cell differentiation	7	3	0.98	0.01961
15	GO:0006780	uroporphyrinogen III biosynthetic process	2	2	0.28	0.01963
16	GO:0070059	intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress	2	2	0.28	0.01963
17	GO:0010835	regulation of protein ADP-ribosylation	2	2	0.28	0.01963
18	GO:0034058	endosomal vesicle fusion	2	2	0.28	0.01963
19	GO:0035434	copper ion transmembrane transport	2	2	0.28	0.01963
20	GO:0007601	visual perception	2	2	0.28	0.01963
21	GO:0070863	positive regulation of protein exit from endoplasmic reticulum	2	2	0.28	0.01963
22	GO:0010634	positive regulation of epithelial cell migration	2	2	0.28	0.01963
23	GO:0003400	regulation of COPII vesicle coating	2	2	0.28	0.01963
24	GO:0007204	positive regulation of cytosolic calcium ion concentration	2	2	0.28	0.01963
25	GO:0006954	inflammatory response	5	3	0.7	0.02202
26	GO:0018095	protein polyglutamylation	5	3	0.7	0.02202
27	GO:0000226	microtubule cytoskeleton organization	101	18	14.16	0.02778
28	GO:0007188	adenylate cyclase-modulating G protein-coupled receptor signaling pathway	29	9	4.07	0.03549
29	GO:0035567	non-canonical Wnt signaling pathway	6	3	0.84	0.03950
30	GO:0007218	neuropeptide signaling pathway	6	3	0.84	0.03950
31	GO:0051764	actin crosslink formation	6	3	0.84	0.03950
32	GO:0006082	organic acid metabolic process	157	26	22.01	0.03968
33	GO:0006805	xenobiotic metabolic process	10	4	1.4	0.03998
34	GO:0031145	anaphase-promoting complex-dependent catabolic process	5	3	0.7	0.05329
35	GO:0045047	protein targeting to ER	15	4	2.1	0.05335
36	GO:0018401	peptidyl-proline hydroxylation to 4-hydroxy-L-proline	3	2	0.42	0.05340
37	GO:0001649	osteoblast differentiation	3	2	0.42	0.05340
38	GO:1902047	polyamine transmembrane transport	3	2	0.42	0.05340
39	GO:0070979	protein K11-linked ubiquitination	3	2	0.42	0.05340
40	GO:0071076	RNA 3' uridylation	3	2	0.42	0.05340
41	GO:0051092	positive regulation of NF-kappaB transcription factor activity	3	2	0.42	0.05340
42	GO:0050708	regulation of protein secretion	3	2	0.42	0.05340
43	GO:0032012	regulation of ARF protein signal transduction	3	2	0.42	0.05340
44	GO:0035735	intraciliary transport involved in cilium assembly	3	2	0.42	0.05340
45	GO:0030838	positive regulation of actin filament polymerization	3	2	0.42	0.05340
46	GO:0048013	ephrin receptor signaling pathway	3	2	0.42	0.05340
47	GO:0048856	anatomical structure development	269	47	37.71	0.05944
48	GO:0006606	protein import into nucleus	26	7	3.65	0.06137
49	GO:0043652	engulfment of apoptotic cell	7	3	0.98	0.06206
50	GO:0070782	phosphatidylserine exposure on apoptotic cell surface	7	3	0.98	0.06206
51	GO:1902742	apoptotic process involved in development	7	3	0.98	0.06206
52	GO:0045944	positive regulation of transcription by RNA polymerase II	60	13	8.41	0.07485
53	GO:0045892	negative regulation of DNA-templated transcription	68	16	9.53	0.07623
54	GO:0007189	adenylate cyclase-activating G protein-coupled receptor signaling pathway	15	4	2.1	0.08921
55	GO:0045292	mRNA cis splicing, via spliceosome	8	3	1.12	0.08922
56	GO:0015074	DNA integration	8	3	1.12	0.08922
57	GO:0043087	regulation of GTPase activity	35	5	4.91	0.08982
58	GO:0006874	intracellular calcium ion homeostasis	18	6	2.52	0.09627
59	GO:0000466	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	14	4	1.96	0.09681
60	GO:0016559	peroxisome fission	4	2	0.56	0.09698
61	GO:0034063	stress granule assembly	4	2	0.56	0.09698
62	GO:0034244	negative regulation of transcription elongation by RNA polymerase II	4	2	0.56	0.09698
63	GO:0097104	postsynaptic membrane assembly	4	2	0.56	0.09698
64	GO:0097105	presynaptic membrane assembly	4	2	0.56	0.09698
65	GO:0008286	insulin receptor signaling pathway	4	2	0.56	0.09698
66	GO:0007158	neuron cell-cell adhesion	4	2	0.56	0.09698
67	GO:0031629	synaptic vesicle fusion to presynaptic active zone membrane	4	2	0.56	0.09698
68	GO:0016082	synaptic vesicle priming	4	2	0.56	0.09698
69	GO:0046856	phosphatidylinositol dephosphorylation	4	2	0.56	0.09698
70	GO:0034587	piRNA processing	4	2	0.56	0.09698
71	GO:0007160	cell-matrix adhesion	9	3	1.26	0.12038
72	GO:0023052	signaling	689	121	96.6	0.13423
73	GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	20	5	2.8	0.13766
74	GO:0048869	cellular developmental process	194	33	27.2	0.13909
75	GO:0050953	sensory perception of light stimulus	3	3	0.42	0.13983
76	GO:0019511	peptidyl-proline hydroxylation	4	3	0.56	0.13986
77	GO:0061025	membrane fusion	26	6	3.65	0.13988
78	GO:0032878	regulation of establishment or maintenance of cell polarity	2	2	0.28	0.14002
79	GO:0006672	ceramide metabolic process	18	4	2.52	0.14007
80	GO:0040001	establishment of mitotic spindle localization	5	2	0.7	0.14011
81	GO:0051294	establishment of spindle orientation	5	2	0.7	0.14011
82	GO:0071025	RNA surveillance	8	2	1.12	0.14020
83	GO:0046651	lymphocyte proliferation	1	1	0.14	0.14020
84	GO:0036498	IRE1-mediated unfolded protein response	1	1	0.14	0.14020
85	GO:0050428	3'-phosphoadenosine 5'-phosphosulfate biosynthetic process	1	1	0.14	0.14020
86	GO:0048790	maintenance of presynaptic active zone structure	1	1	0.14	0.14020
87	GO:0009913	epidermal cell differentiation	1	1	0.14	0.14020
88	GO:0010845	positive regulation of reciprocal meiotic recombination	1	1	0.14	0.14020
89	GO:0009948	anterior/posterior axis specification	1	1	0.14	0.14020
90	GO:1902073	positive regulation of hypoxia-inducible factor-1alpha signaling pathway	1	1	0.14	0.14020
91	GO:0000730	DNA recombinase assembly	1	1	0.14	0.14020
92	GO:0046177	D-gluconate catabolic process	1	1	0.14	0.14020
93	GO:0035523	protein K29-linked deubiquitination	1	1	0.14	0.14020
94	GO:0007584	response to nutrient	1	1	0.14	0.14020
95	GO:0043137	DNA replication, removal of RNA primer	1	1	0.14	0.14020
96	GO:0044205	'de novo' UMP biosynthetic process	1	1	0.14	0.14020
97	GO:0032467	positive regulation of cytokinesis	1	1	0.14	0.14020
98	GO:0015808	L-alanine transport	1	1	0.14	0.14020
99	GO:0019427	acetyl-CoA biosynthetic process from acetate	1	1	0.14	0.14020
100	GO:0030174	regulation of DNA-templated DNA replication initiation	1	1	0.14	0.14020
101	GO:0070966	nuclear-transcribed mRNA catabolic process, no-go decay	1	1	0.14	0.14020
102	GO:0055129	L-proline biosynthetic process	1	1	0.14	0.14020
103	GO:0051694	pointed-end actin filament capping	1	1	0.14	0.14020
104	GO:1902983	DNA strand elongation involved in mitotic DNA replication	1	1	0.14	0.14020
105	GO:0036071	N-glycan fucosylation	1	1	0.14	0.14020
106	GO:0006585	dopamine biosynthetic process from tyrosine	1	1	0.14	0.14020
107	GO:0051660	establishment of centrosome localization	1	1	0.14	0.14020
108	GO:1990575	mitochondrial L-ornithine transmembrane transport	1	1	0.14	0.14020
109	GO:0006528	asparagine metabolic process	1	1	0.14	0.14020
110	GO:0070898	RNA polymerase III preinitiation complex assembly	1	1	0.14	0.14020
111	GO:0001764	neuron migration	1	1	0.14	0.14020
112	GO:1903599	positive regulation of autophagy of mitochondrion	1	1	0.14	0.14020
113	GO:0061172	regulation of establishment of bipolar cell polarity	1	1	0.14	0.14020
114	GO:0045053	protein retention in Golgi apparatus	1	1	0.14	0.14020
115	GO:0031508	pericentric heterochromatin formation	1	1	0.14	0.14020
116	GO:0031509	subtelomeric heterochromatin formation	1	1	0.14	0.14020
117	GO:0007605	sensory perception of sound	1	1	0.14	0.14020
118	GO:0031468	nuclear membrane reassembly	1	1	0.14	0.14020
119	GO:0033235	positive regulation of protein sumoylation	1	1	0.14	0.14020
120	GO:0007112	male meiosis cytokinesis	1	1	0.14	0.14020
121	GO:1990426	mitotic recombination-dependent replication fork processing	1	1	0.14	0.14020
122	GO:0006654	phosphatidic acid biosynthetic process	1	1	0.14	0.14020
123	GO:0015671	oxygen transport	1	1	0.14	0.14020
124	GO:0000481	maturation of 5S rRNA	1	1	0.14	0.14020
125	GO:0035020	regulation of Rac protein signal transduction	1	1	0.14	0.14020
126	GO:0090156	intracellular sphingolipid homeostasis	1	1	0.14	0.14020
127	GO:0016267	O-glycan processing, core 1	1	1	0.14	0.14020
128	GO:0044375	regulation of peroxisome size	1	1	0.14	0.14020
129	GO:0001887	selenium compound metabolic process	1	1	0.14	0.14020
130	GO:1990168	protein K33-linked deubiquitination	1	1	0.14	0.14020
131	GO:0070301	cellular response to hydrogen peroxide	1	1	0.14	0.14020
132	GO:0048194	Golgi vesicle budding	1	1	0.14	0.14020
133	GO:0051045	negative regulation of membrane protein ectodomain proteolysis	1	1	0.14	0.14020
134	GO:0060386	synapse assembly involved in innervation	1	1	0.14	0.14020
135	GO:0034354	'de novo' NAD biosynthetic process from tryptophan	1	1	0.14	0.14020
136	GO:0048168	regulation of neuronal synaptic plasticity	1	1	0.14	0.14020
137	GO:0009107	lipoate biosynthetic process	1	1	0.14	0.14020
138	GO:0071947	protein deubiquitination involved in ubiquitin-dependent protein catabolic process	1	1	0.14	0.14020
139	GO:0006107	oxaloacetate metabolic process	1	1	0.14	0.14020
140	GO:0018343	protein farnesylation	1	1	0.14	0.14020
141	GO:0070481	nuclear-transcribed mRNA catabolic process, non-stop decay	1	1	0.14	0.14020
142	GO:0001561	fatty acid alpha-oxidation	1	1	0.14	0.14020
143	GO:0035720	intraciliary anterograde transport	1	1	0.14	0.14020
144	GO:0110104	mRNA alternative polyadenylation	1	1	0.14	0.14020
145	GO:0070651	nonfunctional rRNA decay	1	1	0.14	0.14020
146	GO:2001235	positive regulation of apoptotic signaling pathway	1	1	0.14	0.14020
147	GO:0072334	UDP-galactose transmembrane transport	1	1	0.14	0.14020
148	GO:0000103	sulfate assimilation	1	1	0.14	0.14020
149	GO:0006043	glucosamine catabolic process	1	1	0.14	0.14020
150	GO:0006046	N-acetylglucosamine catabolic process	1	1	0.14	0.14020
151	GO:0033396	beta-alanine biosynthetic process via 3-ureidopropionate	1	1	0.14	0.14020
152	GO:1903292	protein localization to Golgi membrane	1	1	0.14	0.14020
153	GO:1900060	negative regulation of ceramide biosynthetic process	1	1	0.14	0.14020
154	GO:0002188	translation reinitiation	1	1	0.14	0.14020
155	GO:0070126	mitochondrial translational termination	1	1	0.14	0.14020
156	GO:0040008	regulation of growth	17	2	2.38	0.14047
157	GO:0030178	negative regulation of Wnt signaling pathway	12	4	1.68	0.14655
158	GO:0009953	dorsal/ventral pattern formation	5	2	0.7	0.14694
159	GO:0006883	intracellular sodium ion homeostasis	5	2	0.7	0.14694
160	GO:0030007	intracellular potassium ion homeostasis	5	2	0.7	0.14694
161	GO:0042795	snRNA transcription by RNA polymerase II	5	2	0.7	0.14694
162	GO:0007283	spermatogenesis	5	2	0.7	0.14694
163	GO:0007274	neuromuscular synaptic transmission	5	2	0.7	0.14694
164	GO:0036376	sodium ion export across plasma membrane	5	2	0.7	0.14694
165	GO:0030041	actin filament polymerization	27	5	3.79	0.14698
166	GO:0006520	amino acid metabolic process	92	13	12.9	0.14741
167	GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	10	3	1.4	0.15483
168	GO:0070593	dendrite self-avoidance	11	3	1.54	0.19188
169	GO:0006366	transcription by RNA polymerase II	421	69	59.03	0.19586
170	GO:0034472	snRNA 3'-end processing	13	3	1.82	0.20066
171	GO:0009311	oligosaccharide metabolic process	6	2	0.84	0.20067
172	GO:0048488	synaptic vesicle endocytosis	6	2	0.84	0.20067
173	GO:0007098	centrosome cycle	15	3	2.1	0.20080
174	GO:0006139	nucleobase-containing compound metabolic process	1305	179	182.97	0.20418
175	GO:0000122	negative regulation of transcription by RNA polymerase II	47	9	6.59	0.20461
176	GO:0006974	DNA damage response	154	17	21.59	0.21209
177	GO:0051260	protein homooligomerization	12	3	1.68	0.23082
178	GO:0006260	DNA replication	57	11	7.99	0.25491
179	GO:0030514	negative regulation of BMP signaling pathway	7	2	0.98	0.25611
180	GO:0016226	iron-sulfur cluster assembly	7	2	0.98	0.25611
181	GO:0090090	negative regulation of canonical Wnt signaling pathway	7	2	0.98	0.25611
182	GO:0006405	RNA export from nucleus	27	4	3.79	0.25659
183	GO:0007600	sensory perception	6	5	0.84	0.25950
184	GO:0006415	translational termination	7	3	0.98	0.26029
185	GO:0006998	nuclear envelope organization	3	2	0.42	0.26046
186	GO:0071456	cellular response to hypoxia	3	2	0.42	0.26046
187	GO:0007140	male meiotic nuclear division	3	2	0.42	0.26046
188	GO:0006275	regulation of DNA replication	7	2	0.98	0.26066
189	GO:0030336	negative regulation of cell migration	2	1	0.28	0.26078
190	GO:0071586	CAAX-box protein processing	2	1	0.28	0.26078
191	GO:0006751	glutathione catabolic process	2	1	0.28	0.26078
192	GO:0043653	mitochondrial fragmentation involved in apoptotic process	2	1	0.28	0.26078
193	GO:0048791	calcium ion-regulated exocytosis of neurotransmitter	2	1	0.28	0.26078
194	GO:0015729	oxaloacetate transport	2	1	0.28	0.26078
195	GO:0006747	FAD biosynthetic process	2	1	0.28	0.26078
196	GO:0070072	vacuolar proton-transporting V-type ATPase complex assembly	2	1	0.28	0.26078
197	GO:1901642	nucleoside transmembrane transport	2	1	0.28	0.26078
198	GO:0015709	thiosulfate transport	2	1	0.28	0.26078
199	GO:0044027	negative regulation of gene expression via chromosomal CpG island methylation	2	1	0.28	0.26078
200	GO:0071422	succinate transmembrane transport	2	1	0.28	0.26078
201	GO:0071423	malate transmembrane transport	2	1	0.28	0.26078
202	GO:0033627	cell adhesion mediated by integrin	2	1	0.28	0.26078
203	GO:0010312	detoxification of zinc ion	2	1	0.28	0.26078
204	GO:0033198	response to ATP	2	1	0.28	0.26078
205	GO:0032469	endoplasmic reticulum calcium ion homeostasis	2	1	0.28	0.26078
206	GO:0071163	DNA replication preinitiation complex assembly	2	1	0.28	0.26078
207	GO:1905786	positive regulation of anaphase-promoting complex-dependent catabolic process	2	1	0.28	0.26078
208	GO:0035627	ceramide transport	2	1	0.28	0.26078
209	GO:0006346	DNA methylation-dependent heterochromatin formation	2	1	0.28	0.26078
210	GO:1990544	mitochondrial ATP transmembrane transport	2	1	0.28	0.26078
211	GO:1904668	positive regulation of ubiquitin protein ligase activity	2	1	0.28	0.26078
212	GO:0036228	protein localization to nuclear inner membrane	2	1	0.28	0.26078
