GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0016311	dephosphorylation	42	20	13.96	0.012
2	GO:0046294	formaldehyde catabolic process	4	4	1.33	0.012
3	GO:0010992	ubiquitin recycling	4	4	1.33	0.012
4	GO:0042795	snRNA transcription by RNA polymerase II	4	4	1.33	0.012
5	GO:0031175	neuron projection development	22	9	7.31	0.012
6	GO:0032259	methylation	46	22	15.28	0.036
7	GO:0034599	cellular response to oxidative stress	7	5	2.33	0.037
8	GO:0009408	response to heat	5	4	1.66	0.037
9	GO:0009249	protein lipoylation	3	3	1	0.037
10	GO:0019433	triglyceride catabolic process	3	3	1	0.037
11	GO:0042796	snRNA transcription by RNA polymerase III	3	3	1	0.037
12	GO:0051289	protein homotetramerization	3	3	1	0.037
13	GO:0045736	negative regulation of cyclin-dependent protein serine/threonine kinase activity	3	3	1	0.037
14	GO:0006006	glucose metabolic process	8	4	2.66	0.037
15	GO:0006364	rRNA processing	84	30	27.91	0.041
16	GO:0006357	regulation of transcription by RNA polymerase II	204	81	67.78	0.043
17	GO:0006334	nucleosome assembly	5	4	1.66	0.045
18	GO:0007155	cell adhesion	29	11	9.64	0.076
19	GO:0042273	ribosomal large subunit biogenesis	26	10	8.64	0.076
20	GO:0006302	double-strand break repair	40	18	13.29	0.086
21	GO:0045165	cell fate commitment	8	5	2.66	0.110
22	GO:0008654	phospholipid biosynthetic process	42	17	13.96	0.110
23	GO:0090141	positive regulation of mitochondrial fission	4	3	1.33	0.110
24	GO:0006465	signal peptide processing	4	3	1.33	0.110
25	GO:0035999	tetrahydrofolate interconversion	4	3	1.33	0.110
26	GO:0034063	stress granule assembly	4	3	1.33	0.110
27	GO:0006869	lipid transport	26	11	8.64	0.110
28	GO:0050684	regulation of mRNA processing	10	4	3.32	0.110
29	GO:0009214	cyclic nucleotide catabolic process	2	2	0.66	0.110
30	GO:0033314	mitotic DNA replication checkpoint signaling	2	2	0.66	0.110
31	GO:0006565	L-serine catabolic process	2	2	0.66	0.110
32	GO:0032958	inositol phosphate biosynthetic process	2	2	0.66	0.110
33	GO:0032979	protein insertion into mitochondrial inner membrane from matrix	2	2	0.66	0.110
34	GO:0006513	protein monoubiquitination	2	2	0.66	0.110
35	GO:0050708	regulation of protein secretion	2	2	0.66	0.110
36	GO:0019264	glycine biosynthetic process from serine	2	2	0.66	0.110
37	GO:0008286	insulin receptor signaling pathway	2	2	0.66	0.110
38	GO:0010971	positive regulation of G2/M transition of mitotic cell cycle	2	2	0.66	0.110
39	GO:0006421	asparaginyl-tRNA aminoacylation	2	2	0.66	0.110
40	GO:0097222	mitochondrial mRNA polyadenylation	2	2	0.66	0.110
41	GO:0006408	snRNA export from nucleus	2	2	0.66	0.110
42	GO:0070158	mitochondrial seryl-tRNA aminoacylation	2	2	0.66	0.110
43	GO:0006108	malate metabolic process	2	2	0.66	0.110
