GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0006357	regulation of transcription by RNA polymerase II	204	38	23.71	0.00027
2	GO:0060395	SMAD protein signal transduction	5	3	0.58	0.01300
3	GO:0050708	regulation of protein secretion	2	2	0.23	0.01347
4	GO:0045943	positive regulation of transcription by RNA polymerase I	2	2	0.23	0.01347
5	GO:0006421	asparaginyl-tRNA aminoacylation	2	2	0.23	0.01347
6	GO:0008286	insulin receptor signaling pathway	2	2	0.23	0.01347
7	GO:0071542	dopaminergic neuron differentiation	2	2	0.23	0.01347
8	GO:0006508	proteolysis	183	25	21.27	0.01915
9	GO:0007155	cell adhesion	29	9	3.37	0.02063
10	GO:0046854	phosphatidylinositol phosphate biosynthetic process	13	5	1.51	0.02111
11	GO:0022008	neurogenesis	38	9	4.42	0.02332
12	GO:0010468	regulation of gene expression	397	62	46.13	0.02588
13	GO:0042761	very long-chain fatty acid biosynthetic process	11	4	1.28	0.03040
14	GO:0030148	sphingolipid biosynthetic process	21	5	2.44	0.03045
15	GO:0030497	fatty acid elongation	10	4	1.16	0.03703
16	GO:0019433	triglyceride catabolic process	3	2	0.35	0.03729
17	GO:0043171	peptide catabolic process	3	2	0.35	0.03729
18	GO:0043001	Golgi to plasma membrane protein transport	3	2	0.35	0.03729
19	GO:0035269	protein O-linked mannosylation	3	2	0.35	0.03729
20	GO:0007179	transforming growth factor beta receptor signaling pathway	3	2	0.35	0.03729
21	GO:0006882	intracellular zinc ion homeostasis	4	2	0.46	0.06889
22	GO:0006465	signal peptide processing	4	2	0.46	0.06889
23	GO:0045197	establishment or maintenance of epithelial cell apical/basal polarity	4	2	0.46	0.06889
24	GO:0034244	negative regulation of transcription elongation by RNA polymerase II	4	2	0.46	0.06889
25	GO:0030198	extracellular matrix organization	4	2	0.46	0.06889
26	GO:0031175	neuron projection development	22	4	2.56	0.06892
27	GO:0007346	regulation of mitotic cell cycle	29	4	3.37	0.06924
28	GO:0055088	lipid homeostasis	9	3	1.05	0.07667
29	GO:0045893	positive regulation of DNA-templated transcription	61	13	7.09	0.09932
30	GO:0008654	phospholipid biosynthetic process	42	9	4.88	0.10459
31	GO:0002224	toll-like receptor signaling pathway	5	2	0.58	0.10615
32	GO:0050821	protein stabilization	5	2	0.58	0.10615
33	GO:0006665	sphingolipid metabolic process	28	8	3.25	0.11482
34	GO:0035592	establishment of protein localization to extracellular region	8	4	0.93	0.11543
35	GO:0006829	zinc ion transport	10	4	1.16	0.11551
36	GO:0006670	sphingosine metabolic process	3	2	0.35	0.11593
37	GO:0048699	generation of neurons	29	5	3.37	0.11594
38	GO:0072384	organelle transport along microtubule	6	2	0.7	0.11606
39	GO:0000902	cell morphogenesis	18	3	2.09	0.11620
40	GO:0002011	morphogenesis of an epithelial sheet	1	1	0.12	0.11620
