GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0031234	extrinsic component of cytoplasmic side of plasma membrane	7	3	0.65	0.0084
2	GO:0045202	synapse	40	9	3.69	0.0086
3	GO:0030424	axon	15	5	1.38	0.0089
4	GO:0005886	plasma membrane	199	31	18.34	0.0209
5	GO:0071144	heteromeric SMAD protein complex	3	2	0.28	0.0238
6	GO:0001725	stress fiber	3	2	0.28	0.0238
7	GO:0009986	cell surface	12	5	1.11	0.0300
8	GO:0009897	external side of plasma membrane	4	2	0.37	0.0448
9	GO:0014069	postsynaptic density	4	2	0.37	0.0448
10	GO:0032021	NELF complex	4	2	0.37	0.0448
11	GO:0005925	focal adhesion	4	2	0.37	0.0448
12	GO:0031105	septin complex	5	2	0.46	0.0702
13	GO:0005940	septin ring	5	2	0.46	0.0702
14	GO:0005765	lysosomal membrane	11	3	1.01	0.0733
15	GO:0072380	TRC complex	1	1	0.09	0.0922
16	GO:0032777	piccolo histone acetyltransferase complex	1	1	0.09	0.0922
17	GO:0032281	AMPA glutamate receptor complex	1	1	0.09	0.0922
18	GO:0032154	cleavage furrow	1	1	0.09	0.0922
19	GO:0005879	axonemal microtubule	1	1	0.09	0.0922
20	GO:0030690	Noc1p-Noc2p complex	1	1	0.09	0.0922
21	GO:0030691	Noc2p-Noc3p complex	1	1	0.09	0.0922
22	GO:0005848	mRNA cleavage stimulating factor complex	1	1	0.09	0.0922
23	GO:0097196	Shu complex	1	1	0.09	0.0922
24	GO:0031463	Cul3-RING ubiquitin ligase complex	1	1	0.09	0.0922
25	GO:0043197	dendritic spine	1	1	0.09	0.0922
26	GO:0097539	ciliary transition fiber	1	1	0.09	0.0922
27	GO:0071598	neuronal ribonucleoprotein granule	1	1	0.09	0.0922
28	GO:0005923	bicellular tight junction	1	1	0.09	0.0922
29	GO:0008290	F-actin capping protein complex	1	1	0.09	0.0922
30	GO:0008305	integrin complex	1	1	0.09	0.0922
31	GO:0043025	neuronal cell body	6	2	0.55	0.0990
