GO.ID	Term	Annotated	Significant	Expected	P_value
1	GO:0045182	translation regulator activity	8	4	0.75	0.003
2	GO:0003777	microtubule motor activity	4	3	0.37	0.003
3	GO:0060090	molecular adaptor activity	110	19	10.25	0.018
4	GO:0008409	5'-3' exonuclease activity	3	2	0.28	0.024
5	GO:0004298	threonine-type endopeptidase activity	3	2	0.28	0.024
6	GO:0070411	I-SMAD binding	3	2	0.28	0.024
7	GO:0008270	zinc ion binding	122	18	11.36	0.031
8	GO:0003730	mRNA 3'-UTR binding	8	3	0.75	0.031
9	GO:0003713	transcription coactivator activity	21	5	1.96	0.040
10	GO:0042803	protein homodimerization activity	9	3	0.84	0.044
11	GO:0140297	DNA-binding transcription factor binding	4	2	0.37	0.046
12	GO:0003729	mRNA binding	61	12	5.68	0.051
13	GO:0071949	FAD binding	10	3	0.93	0.059
14	GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding	113	16	10.53	0.064
15	GO:0004402	histone acetyltransferase activity	5	2	0.47	0.072
16	GO:0004672	protein kinase activity	82	15	7.64	0.075
17	GO:0005254	chloride channel activity	11	3	1.02	0.075
18	GO:0005524	ATP binding	220	27	20.49	0.077
19	GO:0008017	microtubule binding	33	6	3.07	0.080
20	GO:0046983	protein dimerization activity	50	9	4.66	0.086
21	GO:0035591	signaling adaptor activity	4	3	0.37	0.093
22	GO:0030159	signaling receptor complex adaptor activity	3	2	0.28	0.093
23	GO:0004838	L-tyrosine-2-oxoglutarate transaminase activity	1	1	0.09	0.093
24	GO:0004001	adenosine kinase activity	1	1	0.09	0.093
25	GO:0051424	corticotropin-releasing hormone binding	1	1	0.09	0.093
26	GO:0004139	deoxyribose-phosphate aldolase activity	1	1	0.09	0.093
27	GO:0005178	integrin binding	1	1	0.09	0.093
28	GO:0016402	pristanoyl-CoA oxidase activity	1	1	0.09	0.093
29	GO:0070492	oligosaccharide binding	1	1	0.09	0.093
30	GO:0072345	NAADP-sensitive calcium-release channel activity	1	1	0.09	0.093
31	GO:0000150	DNA strand exchange activity	1	1	0.09	0.093
32	GO:0000309	nicotinamide-nucleotide adenylyltransferase activity	1	1	0.09	0.093
33	GO:0042834	peptidoglycan binding	1	1	0.09	0.093
34	GO:0043813	phosphatidylinositol-3,5-bisphosphate 5-phosphatase activity	1	1	0.09	0.093
35	GO:0004515	nicotinate-nucleotide adenylyltransferase activity	1	1	0.09	0.093
36	GO:0004363	glutathione synthase activity	1	1	0.09	0.093
