GO.ID	Description	p.Val
GO:0030154	cell differentiation	0.00033
GO:0032502	developmental process	0.00491
GO:0045087	innate immune response	0.00504
GO:0010468	regulation of gene expression	0.00919
GO:0042981	regulation of apoptotic process	0.01167
GO:0045944	positive regulation of transcription by RNA polymerase II	0.01764
GO:0007018	microtubule-based movement	0.01773
GO:0030497	fatty acid elongation	0.02165
GO:0007417	central nervous system development	0.04070
GO:0007165	signal transduction	0.04890
