GO.ID	Description	p.Val
GO:0045202	synapse	0.0057
GO:0030424	axon	0.0058
GO:0071144	heteromeric SMAD protein complex	0.0228
GO:0001725	stress fiber	0.0228
GO:0009897	external side of plasma membrane	0.0429
GO:0032021	NELF complex	0.0429
GO:0031105	septin complex	0.0673
GO:0005925	focal adhesion	0.0673
GO:0005940	septin ring	0.0673
GO:0005886	plasma membrane	0.0707
GO:0005765	lysosomal membrane	0.0863
GO:0072380	TRC complex	0.0900
GO:0032777	piccolo histone acetyltransferase complex	0.0900
GO:0032281	AMPA glutamate receptor complex	0.0900
GO:0032154	cleavage furrow	0.0900
GO:0005879	axonemal microtubule	0.0900
GO:0030690	Noc1p-Noc2p complex	0.0900
GO:0030691	Noc2p-Noc3p complex	0.0900
GO:0005848	mRNA cleavage stimulating factor complex	0.0900
GO:0097196	Shu complex	0.0900
GO:0031463	Cul3-RING ubiquitin ligase complex	0.0900
GO:0043197	dendritic spine	0.0900
GO:0097539	ciliary transition fiber	0.0900
GO:0071598	neuronal ribonucleoprotein granule	0.0900
GO:0005923	bicellular tight junction	0.0900
GO:0008290	F-actin capping protein complex	0.0900
GO:0008305	integrin complex	0.0900
GO:0043025	neuronal cell body	0.0951
GO:0016020	membrane	0.1003
GO:0005615	extracellular space	0.1004
GO:0005622	intracellular anatomical structure	0.1192
GO:0009986	cell surface	0.1241
GO:0005794	Golgi apparatus	0.1259
GO:0031519	PcG protein complex	0.1569
GO:0005814	centriole	0.1576
GO:0031234	extrinsic component of cytoplasmic side of plasma membrane	0.1576
GO:0005672	transcription factor TFIIA complex	0.1720
GO:0072487	MSL complex	0.1720
GO:0048179	activin receptor complex	0.1720
GO:0071541	eukaryotic translation initiation factor 3 complex, eIF3m	0.1720
GO:1902636	kinociliary basal body	0.1720
GO:0031588	nucleotide-activated protein kinase complex	0.1720
GO:0090537	CERF complex	0.1720
GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain	0.1720
GO:0055038	recycling endosome membrane	0.1720
GO:0031510	SUMO activating enzyme complex	0.1720
GO:0031499	TRAMP complex	0.1720
GO:0031390	Ctf18 RFC-like complex	0.1720
GO:1990131	Gtr1-Gtr2 GTPase complex	0.1720
GO:0005968	Rab-protein geranylgeranyltransferase complex	0.1720
GO:0000445	THO complex part of transcription export complex	0.1720
GO:0005953	CAAX-protein geranylgeranyltransferase complex	0.1720
GO:0034709	methylosome	0.1720
GO:0030496	midbody	0.1720
GO:0032153	cell division site	0.1901
GO:0008180	COP9 signalosome	0.1912
GO:0031012	extracellular matrix	0.1922
GO:0005741	mitochondrial outer membrane	0.1925
GO:0016592	mediator complex	0.1925
GO:0055037	recycling endosome	0.2244
GO:0030688	preribosome, small subunit precursor	0.2255
GO:0030140	trans-Golgi network transport vesicle	0.2466
GO:0035098	ESC/E(Z) complex	0.2466
GO:0070552	BRISC complex	0.2466
GO:0017119	Golgi transport complex	0.2466
GO:0036038	MKS complex	0.2466
GO:0016460	myosin II complex	0.2466
GO:0042709	succinate-CoA ligase complex	0.2466
GO:0070531	BRCA1-A complex	0.2466
GO:0016607	nuclear speck	0.2466
GO:0060170	ciliary membrane	0.2466
GO:0014069	postsynaptic density	0.2466
GO:0005921	gap junction	0.2466
GO:0031982	vesicle	0.2476
GO:0043231	intracellular membrane-bounded organelle	0.2517
GO:0005777	peroxisome	0.2595
GO:0005839	proteasome core complex	0.2602
GO:0005764	lysosome	0.2629
GO:0031201	SNARE complex	0.2920
GO:0030687	preribosome, large subunit precursor	0.2936
GO:0005769	early endosome	0.2950
GO:0005576	extracellular region	0.2978
GO:0031080	nuclear pore outer ring	0.3145
GO:0005851	eukaryotic translation initiation factor 2B complex	0.3145
GO:0071782	endoplasmic reticulum tubular network	0.3145
GO:0005758	mitochondrial intermembrane space	0.3145
GO:0071004	U2-type prespliceosome	0.3145
GO:0016581	NuRD complex	0.3145
GO:0000794	condensed nuclear chromosome	0.3145
GO:0008021	synaptic vesicle	0.3295
GO:0005654	nucleoplasm	0.3406
GO:0043005	neuron projection	0.3558
GO:0005840	ribosome	0.3718
GO:0005675	transcription factor TFIIH holo complex	0.3763
GO:0030992	intraciliary transport particle B	0.3763
GO:0008541	proteasome regulatory particle, lid subcomplex	0.3763
GO:0035371	microtubule plus-end	0.3763
GO:0005847	mRNA cleavage and polyadenylation specificity factor complex	0.3763
GO:0043186	P granule	0.3763
GO:0016593	Cdc73/Paf1 complex	0.3763
