Description	Count	p	Ontology
snRNA transcription by RNA polymerase II	3	0.00068	bp
apoptotic process involved in development	2	0.01610	bp
engulfment of apoptotic cell	2	0.01610	bp
phosphatidylserine exposure on apoptotic cell surface	2	0.01610	bp
regulation of transcription by RNA polymerase II	17	0.02180	bp
monoatomic anion transport	3	0.02273	bp
cell-matrix adhesion	2	0.02350	bp
protein localization to phagophore assembly site	2	0.03200	bp
poly(A)+ mRNA export from nucleus	2	0.03200	bp
regulation of lipid metabolic process	3	0.04140	bp
regulation of potassium ion transport	2	0.04176	bp
signaling	14	0.04291	bp
negative regulation of transcription by RNA polymerase II	4	0.04294	bp
cytosol	15	0.03529	cc
RNA polymerase I complex	2	0.03533	cc
NuA4 histone acetyltransferase complex	2	0.04429	cc
translation initiation factor activity	4	0.03082	mf
RNA polymerase II cis-regulatory region sequence-specific DNA binding	9	0.03812	mf
pyridoxal phosphate binding	3	0.04435	mf
