GO.ID	Description	p.Val
GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	0.0059
GO:0006082	organic acid metabolic process	0.0060
GO:0000727	double-strand break repair via break-induced replication	0.0061
GO:0006805	xenobiotic metabolic process	0.0061
GO:0032922	circadian regulation of gene expression	0.0061
GO:0043153	entrainment of circadian clock by photoperiod	0.0219
GO:0046856	phosphatidylinositol dephosphorylation	0.0219
GO:0061709	reticulophagy	0.0219
GO:0016579	protein deubiquitination	0.0337
GO:0051603	proteolysis involved in protein catabolic process	0.0537
GO:0016311	dephosphorylation	0.0538
GO:0030335	positive regulation of cell migration	0.0692
GO:0071526	semaphorin-plexin signaling pathway	0.0692
GO:0048843	negative regulation of axon extension involved in axon guidance	0.0692
GO:0001755	neural crest cell migration	0.0692
GO:0006646	phosphatidylethanolamine biosynthetic process	0.0692
GO:0006164	purine nucleotide biosynthetic process	0.0779
GO:0042176	regulation of protein catabolic process	0.0779
GO:0040011	locomotion	0.0780
GO:0006368	transcription elongation by RNA polymerase II	0.0782
GO:0006402	mRNA catabolic process	0.0783
GO:0046103	inosine biosynthetic process	0.0783
GO:0005980	glycogen catabolic process	0.0783
GO:0055071	manganese ion homeostasis	0.0783
GO:0034727	piecemeal microautophagy of the nucleus	0.0783
GO:0046777	protein autophosphorylation	0.0783
GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	0.0783
GO:0000423	mitophagy	0.0783
GO:0090110	COPII-coated vesicle cargo loading	0.0783
GO:0071786	endoplasmic reticulum tubular network organization	0.0783
GO:0006154	adenosine catabolic process	0.0783
GO:0006183	GTP biosynthetic process	0.0783
GO:0010042	response to manganese ion	0.0783
GO:0032237	activation of store-operated calcium channel activity	0.0783
GO:0042989	sequestering of actin monomers	0.0783
GO:0090263	positive regulation of canonical Wnt signaling pathway	0.0783
GO:0044458	motile cilium assembly	0.0783
GO:0006015	5-phosphoribose 1-diphosphate biosynthetic process	0.0783
GO:0010992	ubiquitin recycling	0.0783
GO:0006228	UTP biosynthetic process	0.0783
GO:0006241	CTP biosynthetic process	0.0783
GO:0030001	metal ion transport	0.0795
GO:0006457	protein folding	0.0945
GO:0006486	protein glycosylation	0.0993
GO:0000122	negative regulation of transcription by RNA polymerase II	0.1004
GO:0006281	DNA repair	0.1236
GO:0000045	autophagosome assembly	0.1373
GO:0015889	cobalamin transport	0.1590
GO:0051726	regulation of cell cycle	0.1596
GO:0006310	DNA recombination	0.1896
GO:0046839	phospholipid dephosphorylation	0.1899
GO:0046034	ATP metabolic process	0.1907
GO:0018401	peptidyl-proline hydroxylation to 4-hydroxy-L-proline	0.1912
GO:0097320	plasma membrane tubulation	0.1912
GO:0002755	MyD88-dependent toll-like receptor signaling pathway	0.1912
GO:0045116	protein neddylation	0.1912
GO:0031573	mitotic intra-S DNA damage checkpoint signaling	0.1912
GO:0042148	DNA strand invasion	0.1912
GO:0030050	vesicle transport along actin filament	0.1912
GO:0033209	tumor necrosis factor-mediated signaling pathway	0.1912
GO:0097039	protein linear polyubiquitination	0.1912
