GO.ID	Description	p.Val
GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	0.0080
GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	0.0081
GO:0008270	zinc ion binding	0.0151
GO:0038023	signaling receptor activity	0.0154
GO:0004806	triacylglycerol lipase activity	0.0154
GO:0016791	phosphatase activity	0.0162
GO:0000049	tRNA binding	0.0216
GO:0048027	mRNA 5'-UTR binding	0.0337
GO:0004301	epoxide hydrolase activity	0.0337
GO:0000298	endopolyphosphatase activity	0.0337
GO:0003688	DNA replication origin binding	0.0337
GO:0003756	protein disulfide isomerase activity	0.0337
GO:0004828	serine-tRNA ligase activity	0.0337
GO:0051903	S-(hydroxymethyl)glutathione dehydrogenase [NAD(P)+] activity	0.0337
GO:0004867	serine-type endopeptidase inhibitor activity	0.0364
GO:0003735	structural constituent of ribosome	0.0376
GO:0001671	ATPase activator activity	0.0404
GO:0004842	ubiquitin-protein transferase activity	0.0474
GO:0005096	GTPase activator activity	0.0638
GO:0070628	proteasome binding	0.0903
GO:0043130	ubiquitin binding	0.0984
GO:0004521	RNA endonuclease activity	0.1020
GO:0016279	protein-lysine N-methyltransferase activity	0.1021
GO:0004382	GDP phosphatase activity	0.1023
GO:0045134	UDP phosphatase activity	0.1023
GO:0045296	cadherin binding	0.1023
GO:0030628	pre-mRNA 3'-splice site binding	0.1023
GO:0004861	cyclin-dependent protein serine/threonine kinase inhibitor activity	0.1023
GO:0140297	DNA-binding transcription factor binding	0.1044
GO:0050480	imidazolonepropionase activity	0.1045
GO:0004362	glutathione-disulfide reductase (NADPH) activity	0.1045
GO:0005246	calcium channel regulator activity	0.1045
GO:0004372	glycine hydroxymethyltransferase activity	0.1045
GO:0004069	L-aspartate:2-oxoglutarate aminotransferase activity	0.1045
GO:0004345	glucose-6-phosphate dehydrogenase activity	0.1045
GO:0050897	cobalt ion binding	0.1045
GO:0003993	acid phosphatase activity	0.1045
GO:0070905	serine binding	0.1045
