GO.ID	Description	p.Val
GO:0008270	zinc ion binding	0.0017
GO:0048027	mRNA 5'-UTR binding	0.0095
GO:0004828	serine-tRNA ligase activity	0.0095
GO:0051903	S-(hydroxymethyl)glutathione dehydrogenase [NAD(P)+] activity	0.0095
GO:0000049	tRNA binding	0.0153
GO:0003684	damaged DNA binding	0.0154
GO:0003735	structural constituent of ribosome	0.0169
GO:0016791	phosphatase activity	0.0245
GO:0016279	protein-lysine N-methyltransferase activity	0.0318
GO:0030628	pre-mRNA 3'-splice site binding	0.0319
GO:0003725	double-stranded RNA binding	0.0411
GO:0001006	RNA polymerase III type 3 promoter sequence-specific DNA binding	0.0449
GO:0070905	serine binding	0.0449
GO:0003993	acid phosphatase activity	0.0449
GO:0071164	RNA cap trimethylguanosine synthase activity	0.0449
GO:0050480	imidazolonepropionase activity	0.0449
GO:0004113	2',3'-cyclic-nucleotide 3'-phosphodiesterase activity	0.0449
GO:0004144	diacylglycerol O-acyltransferase activity	0.0449
GO:0000995	RNA polymerase III general transcription initiation factor activity	0.0449
GO:0003919	FMN adenylyltransferase activity	0.0449
GO:0004362	glutathione-disulfide reductase (NADPH) activity	0.0449
GO:0046875	ephrin receptor binding	0.0449
GO:0004372	glycine hydroxymethyltransferase activity	0.0449
GO:0004345	glucose-6-phosphate dehydrogenase activity	0.0449
GO:0017099	very-long-chain fatty acyl-CoA dehydrogenase activity	0.0449
GO:0050897	cobalt ion binding	0.0449
GO:0097322	7SK snRNA binding	0.0449
GO:0043014	alpha-tubulin binding	0.0449
GO:0004842	ubiquitin-protein transferase activity	0.0552
GO:0070181	small ribosomal subunit rRNA binding	0.0674
GO:0001671	ATPase activator activity	0.0674
GO:0004879	nuclear receptor activity	0.0677
GO:0003714	transcription corepressor activity	0.0891
GO:0050660	flavin adenine dinucleotide binding	0.1018
GO:1990817	poly(A) RNA polymerase activity	0.1020
GO:0004806	triacylglycerol lipase activity	0.1139
GO:0000062	fatty-acyl-CoA binding	0.1139
GO:0042802	identical protein binding	0.1156
GO:0120015	sterol transfer activity	0.1156
GO:0003756	protein disulfide isomerase activity	0.1156
GO:0003688	DNA replication origin binding	0.1156
GO:0046920	alpha-(1->3)-fucosyltransferase activity	0.1156
GO:0000400	four-way junction DNA binding	0.1156
GO:0000900	mRNA regulatory element binding translation repressor activity	0.1156
GO:0016151	nickel cation binding	0.1156
GO:0000298	endopolyphosphatase activity	0.1156
GO:0004791	thioredoxin-disulfide reductase (NADPH) activity	0.1156
GO:0043565	sequence-specific DNA binding	0.1276
GO:0043130	ubiquitin binding	0.1674
GO:0009982	pseudouridine synthase activity	0.1690
GO:0031267	small GTPase binding	0.1883
GO:0031593	polyubiquitin modification-dependent protein binding	0.1883
GO:0003697	single-stranded DNA binding	0.1960
GO:0008081	phosphoric diester hydrolase activity	0.1971
GO:0004521	RNA endonuclease activity	0.1984
GO:0004861	cyclin-dependent protein serine/threonine kinase inhibitor activity	0.1994
GO:0045296	cadherin binding	0.1994
GO:0008080	N-acetyltransferase activity	0.2001
GO:0061630	ubiquitin protein ligase activity	0.2061
GO:0000987	cis-regulatory region sequence-specific DNA binding	0.2113
