"HOG","error","coef_(Intercept)_Estimate","coef_(Intercept)_StdErr","coef_(Intercept)_z.value","coef_(Intercept)_p.value","coef_orb_weavingTRUE_Estimate","coef_orb_weavingTRUE_StdErr","coef_orb_weavingTRUE_z.value","coef_orb_weavingTRUE_p.value"
"N5.HOG0000042",NA,"-1.93995425962977","1.8027013305285","-1.07613736495164","0.281865827034189","0.175859528409831","1.1863124071694","0.148240486525334","0.882152981145188"
"N5.HOG0000052",NA,"-0.919682793743824","0.88474856392913","-1.03948492401","0.298579265976533","0.54629747882646","0.554323653426453","0.985520779150626","0.324368329842954"
"N5.HOG0000147",NA,"-1.23852584048066","0.753393145538899","-1.6439303274982","0.100190594824502","0.0275745536348995","0.516438076503226","0.053393726933547","0.957418203266919"
"N5.HOG0000196",NA,"-0.247400808572584","0.58494420738324","-0.422947702447275","0.672333417888709","-1.52435203440694","0.964150936773604","-1.58103049664399","0.113871064908827"
"N5.HOG0000276",NA,"-1.85411548864396","2.44537192145019","-0.75821410738388","0.448322817133114","-0.954439003485354","1.62647890615201","-0.586813022828192","0.55732928954724"
"N5.HOG0000428","system is computationally singular: reciprocal condition number = 1.34967e-16",NA,NA,NA,NA,NA,NA,NA,NA
"N5.HOG0000526",NA,"-0.896139536554354","0.849567227608188","-1.05481886239572","0.291508176148745","0.726090730121484","0.531982049699112","1.36487825206162","0.172291318709296"
"N5.HOG0000608",NA,"0.141751000303597","0.154123245659829","0.919724988250383","0.357716491014728","0.123497222369611","0.102750227504292","1.20191677789183","0.229395773304467"
"N5.HOG0000716",NA,"-0.157906138280566","0.62418682288102","-0.25297896798226","0.800284465794634","-1.77344711468942","1.20759767651607","-1.46857446745494","0.141948244370682"
"N5.HOG0001006",NA,"-1.24499509685523","0.977498435681332","-1.27365431125979","0.202785955204482","0.344686945803218","0.687582816221668","0.501302443387554","0.616158285947213"
"N5.HOG0001041",NA,"-0.915483148539205","0.578794316476297","-1.58170721874512","0.113716424010071","-0.612175308972051","0.535015507986264","-1.14421974659428","0.252532515845179"
"N5.HOG0001043",NA,"-0.276848658210018","0.415501426505021","-0.666300138939891","0.505219276803818","-0.0425670530107111","0.291617392593652","-0.145968841680254","0.883945985666643"
"N5.HOG0001044",NA,"-1.99612323658442","2.34280574060633","-0.852022513854614","0.394201596437541","0.258911339015162","1.62222986815224","0.159602127970969","0.873194502593486"
"N5.HOG0001051",NA,"0.0546973654301743","0.260926859640247","0.209627194017467","0.833958653431732","-0.578204945056859","0.236502604292009","-2.44481428349496","0.0144926748597263"
