HOG,error,coef_.Intercept._Estimate,coef_.Intercept._StdErr,coef_.Intercept._z.value,coef_.Intercept._p.value,coef_orb_weavingTRUE_Estimate,coef_orb_weavingTRUE_StdErr,coef_orb_weavingTRUE_z.value,coef_orb_weavingTRUE_p.value,qvalue,p_adj_bh,p_adj_bonferroni
N5.HOG0068230,,0.118417586446776,0.0620176442706744,1.90941768007095,0.0562082318203767,-0.274227878743138,0.0329367523930254,-8.32589307746102,8.3695324032986e-17,1.7791742135615999e-13,2.503117903516529e-13,1.0012471614066116e-12
N5.HOG0030400,,1.1466277358135,0.302900671311682,3.78549090316683,0.0001534054461762,-1.14460544061033,0.137932302610196,-8.29831315036509,1.0560002429347e-16,1.79585507166802e-13,2.5265861812455636e-13,1.2632930906227816e-12
N5.HOG0067198,,0.252124053550423,0.106170126800659,2.37471745723543,0.017562387856552,-0.505628005930304,0.0662205273643975,-7.63551765675227,2.24914879214552e-14,2.12497071553983e-11,2.989618555604095e-11,2.690656700043686e-10
N5.HOG0066647,,0.25694066321963,0.128940032264559,1.99271443249245,0.0462927260897092,-0.650025391978578,0.0899758093874646,-7.22444617507536,5.03148094344951e-13,3.56526534548248e-10,5.015967210540541e-10,6.019160652648649e-09
N5.HOG0063878,,0.38456274575333,0.118460828875981,3.24632833825547,0.0011690392617796,-0.491653911518646,0.0731143383917815,-6.72445271793517,1.7625363964080002e-11,7.515227393013271e-09,1.0573163714413323e-08,2.1085222910228907e-07
N5.HOG0068853,,0.129263983639843,0.0990568634686191,1.30494727082484,0.191910803341644,-0.378946010053477,0.0563569668822635,-6.72403131355776,1.7676441886505597e-11,7.515227393013271e-09,1.0573163714413323e-08,2.1146327428826647e-07
N5.HOG0068321,,0.131955468515897,0.0938630769621173,1.4058293504394,0.159774804333523,-0.346863819077653,0.0522456919807157,-6.6390893856987,3.1562695939310196e-11,1.16687282893458e-08,1.641671876182469e-08,3.7758453152196785e-07
N5.HOG0067173,,0.204080428660934,0.135903972283199,1.50165168267244,0.1331870883542,-0.606754850124629,0.0916444898972135,-6.62074556588347,3.57391664947374e-11,1.21557478487684e-08,1.7101905951061738e-08,4.275476487765435e-07
N5.HOG0067189,,0.241295684673064,0.138357159168741,1.74400577550728,0.0811580827510751,-0.6240464896849,0.0945789246534774,-6.59815589965006,4.1630338329501895e-11,1.36148814512584e-08,1.915475913214735e-08,4.980237374358311e-07
N5.HOG0067767,,0.125427253578929,0.132226432300408,0.948579277205092,0.342834634744685,-0.56182738332569,0.086093365905492,-6.52579182398827,6.764321690148249e-11,2.01849358418735e-08,2.8398160170039328e-08,8.092158037924351e-07
