HOG	OG	Best_hit	Subject_id	Gene	Db_xref	Protein	Protein_id	Location	Gbkey	E_val	iden	len	Coords
N5.HOG0000042	OG0000000	gnl|BL_ORD_ID|18098 lcl|NW_026558098.1_cds_XP_054722940.1_18099 [gene=LOC129232865] [db_xref=GeneID:129232865] [protein=zinc finger protein 271-like] [protein_id=XP_054722940.1] [location=complement(5138689..5140005)] [gbkey=CDS]	gnl|BL_ORD_ID|18098 lcl|NW_026558098.1_cds_XP_054722940.1_18099	LOC129232865	GeneID:129232865	zinc finger protein 271-like	XP_054722940.1	complement(5138689..5140005)	CDS	5.78246e-80	357	672	[544, 1215]
N5.HOG0000052	OG0000000	gnl|BL_ORD_ID|18269 lcl|NW_026558313.1_cds_XP_054723131.1_18270 [gene=LOC129233094] [db_xref=GeneID:129233094] [protein=zinc finger protein 569-like] [protein_id=XP_054723131.1] [location=join(93969..94033,96257..96498,96583..96937,97590..97924,98176..98182,98856..99228)] [gbkey=CDS]	gnl|BL_ORD_ID|18269 lcl|NW_026558313.1_cds_XP_054723131.1_18270	LOC129233094	GeneID:129233094	zinc finger protein 569-like	XP_054723131.1	join(93969..94033,96257..96498,96583..96937,97590..97924,98176..98182,98856..99228)	CDS	1.96481e-37	240	504	[715, 1209]
N5.HOG0000147	OG0000000	gnl|BL_ORD_ID|15632 lcl|NC_072739.1_cds_XP_054720666.1_15633 [gene=LOC129230292] [db_xref=GeneID:129230292] [protein=zinc finger protein 782-like] [protein_id=XP_054720666.1] [location=complement(67615843..67616460)] [gbkey=CDS]	gnl|BL_ORD_ID|15632 lcl|NC_072739.1_cds_XP_054720666.1_15633	LOC129230292	GeneID:129230292	zinc finger protein 782-like	XP_054720666.1	complement(67615843..67616460)	CDS	1.1421e-51	240	480	[1, 480]
N5.HOG0000196	OG0000000	gnl|BL_ORD_ID|18471 lcl|NW_026558518.1_cds_XP_054723364.1_18472 [gene=LOC129233349] [db_xref=GeneID:129233349] [protein=zinc finger protein 679-like] [protein_id=XP_054723364.1] [location=complement(join(101922..102150,102517..102664,102769..102802))] [gbkey=CDS]	gnl|BL_ORD_ID|18471 lcl|NW_026558518.1_cds_XP_054723364.1_18472	LOC129233349	GeneID:129233349	zinc finger protein 679-like	XP_054723364.1	complement(join(101922..102150,102517..102664,102769..102802))	CDS	1.27258e-13	102	288	[94, 381]
N5.HOG0000276	OG0000000	gnl|BL_ORD_ID|8560 lcl|NC_072734.1_cds_XP_054711503.1_8561 [gene=LOC129221088] [db_xref=GeneID:129221088] [protein=zinc finger protein 26-like] [partial=3'] [protein_id=XP_054711503.1] [location=complement(join(<194802814..194804241,194804515..194805057,194900714..194900770))] [gbkey=CDS]	gnl|BL_ORD_ID|8560 lcl|NC_072734.1_cds_XP_054711503.1_8561	LOC129221088	GeneID:129221088	zinc finger protein 26-like	XP_054711503.1	complement(join(<194802814..194804241,194804515..194805057,194900714..194900770))	CDS	5.13333e-50	279	735	[430, 1155]
N5.HOG0000428	OG0000000	gnl|BL_ORD_ID|18269 lcl|NW_026558313.1_cds_XP_054723131.1_18270 [gene=LOC129233094] [db_xref=GeneID:129233094] [protein=zinc finger protein 569-like] [protein_id=XP_054723131.1] [location=join(93969..94033,96257..96498,96583..96937,97590..97924,98176..98182,98856..99228)] [gbkey=CDS]	gnl|BL_ORD_ID|18269 lcl|NW_026558313.1_cds_XP_054723131.1_18270	LOC129233094	GeneID:129233094	zinc finger protein 569-like	XP_054723131.1	join(93969..94033,96257..96498,96583..96937,97590..97924,98176..98182,98856..99228)	CDS	3.93626e-91	420	798	[202, 993]
N5.HOG0000526	OG0000000	gnl|BL_ORD_ID|18269 lcl|NW_026558313.1_cds_XP_054723131.1_18270 [gene=LOC129233094] [db_xref=GeneID:129233094] [protein=zinc finger protein 569-like] [protein_id=XP_054723131.1] [location=join(93969..94033,96257..96498,96583..96937,97590..97924,98176..98182,98856..99228)] [gbkey=CDS]	gnl|BL_ORD_ID|18269 lcl|NW_026558313.1_cds_XP_054723131.1_18270	LOC129233094	GeneID:129233094	zinc finger protein 569-like	XP_054723131.1	join(93969..94033,96257..96498,96583..96937,97590..97924,98176..98182,98856..99228)	CDS	6.45958e-54	279	669	[1, 669]
N5.HOG0000608	OG0000000	gnl|BL_ORD_ID|17613 lcl|NW_026557765.1_cds_XP_054722359.1_17614 [gene=LOC129232144] [db_xref=GeneID:129232144] [protein=zinc finger protein 596-like] [protein_id=XP_054722359.1] [location=complement(5805111..5805701)] [gbkey=CDS]	gnl|BL_ORD_ID|17613 lcl|NW_026557765.1_cds_XP_054722359.1_17614	LOC129232144	GeneID:129232144	zinc finger protein 596-like	XP_054722359.1	complement(5805111..5805701)	CDS	3.79557e-94	414	591	[1, 591]
N5.HOG0000716	OG0000000	gnl|BL_ORD_ID|14753 lcl|NC_072738.1_cds_XP_054719286.1_14754 [gene=LOC129228629] [db_xref=GeneID:129228629] [protein=histone-lysine N-methyltransferase PRDM9-like] [protein_id=XP_054719286.1] [location=complement(join(139562564..139563177,139573718..139573979,139579313..139579389,139581439..139581534,139581617..139581704))] [gbkey=CDS]	gnl|BL_ORD_ID|14753 lcl|NC_072738.1_cds_XP_054719286.1_14754	LOC129228629	GeneID:129228629	histone-lysine N-methyltransferase PRDM9-like	XP_054719286.1	complement(join(139562564..139563177,139573718..139573979,139579313..139579389,139581439..139581534,139581617..139581704))	CDS	7.97934e-17	105	243	[883, 1125]
N5.HOG0001006	OG0000000	gnl|BL_ORD_ID|18469 lcl|NW_026558516.1_cds_XP_054723361.1_18470 [gene=LOC129233347] [db_xref=GeneID:129233347] [protein=gastrula zinc finger protein XlCGF49.1-like] [protein_id=XP_054723361.1] [location=complement(join(467795..468361,468857..468868))] [gbkey=CDS]	gnl|BL_ORD_ID|18469 lcl|NW_026558516.1_cds_XP_054723361.1_18470	LOC129233347	GeneID:129233347	gastrula zinc finger protein XlCGF49.1-like	XP_054723361.1	complement(join(467795..468361,468857..468868))	CDS	2.55503e-49	222	399	[13, 411]
