HOG	udiv_genes	LOC	txpt	GO_terms	Description
N5.HOG0000608	GJZJ01044934.1	129232144	XM_054866384	GO:0000981 [Name: RNA polymerase II transcription factor activity, sequence-specific DNA binding]; GO:0000977 [Name: RNA polymerase II regulatory region sequence-specific DNA binding]; GO:0005634 [Name: nucleus]; GO:0006357 [Name: regulation of transcription from RNA polymerase II promoter]	zinc finger protein 596-like
N5.HOG0000608	jg45330.t1	129232144	XM_054866384	GO:0000981 [Name: RNA polymerase II transcription factor activity, sequence-specific DNA binding]; GO:0000977 [Name: RNA polymerase II regulatory region sequence-specific DNA binding]; GO:0005634 [Name: nucleus]; GO:0006357 [Name: regulation of transcription from RNA polymerase II promoter]	zinc finger protein 596-like
N5.HOG0001114	GJZJ01227937.1	129232144	XM_054866384	GO:0000981 [Name: RNA polymerase II transcription factor activity, sequence-specific DNA binding]; GO:0000977 [Name: RNA polymerase II regulatory region sequence-specific DNA binding]; GO:0005634 [Name: nucleus]; GO:0006357 [Name: regulation of transcription from RNA polymerase II promoter]	zinc finger protein 596-like
N5.HOG0003863	GJZJ01092202.1	129225884	XM_054860414	GO:0000978 [Name: RNA polymerase II core promoter proximal region sequence-specific DNA binding]; GO:0006357 [Name: regulation of transcription from RNA polymerase II promoter]; GO:0003700 [Name: transcription factor activity, sequence-specific DNA binding]	zinc finger protein Xfin-like
N5.HOG0003890	GJZJ01202439.1	129219841	XM_054854150	GO:0005506 [Name: iron ion binding]; GO:0020037 [Name: heme binding]; GO:0008395 [Name: steroid hydroxylase activity]; GO:0016705 [Name: oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen]	cytochrome P450 3A8-like
N5.HOG0003890	GJZJ01072858.1	129219841	XM_054854150	GO:0005506 [Name: iron ion binding]; GO:0020037 [Name: heme binding]; GO:0008395 [Name: steroid hydroxylase activity]; GO:0016705 [Name: oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen]	cytochrome P450 3A8-like
N5.HOG0004336	GJZJ01076883.1	129225190	XM_054859758	GO:0005737 [Name: cytoplasm]	SEC14-like protein 2
N5.HOG0004539	GJZJ01260674.1	129221297	XM_054855757	GO:0005615 [Name: extracellular space]; GO:0004867 [Name: serine-type endopeptidase inhibitor activity]	BPTI/Kunitz domain-containing protein-like
N5.HOG0004722	jg42443.t1	129232337	XM_054866488	GO:0005789 [Name: endoplasmic reticulum membrane]; GO:0018812 [Name: 3-hydroxyacyl-CoA dehydratase activity]; GO:0030497 [Name: fatty acid elongation]; GO:0042761 [Name: very long-chain fatty acid biosynthetic process]; GO:0030148 [Name: sphingolipid biosynthetic process]	very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase-like
N5.HOG0005131	GJZJ01265630.1	129222721	XM_054857253	GO:0005515 [Name: protein binding]	oplophorus-luciferin 2-monooxygenase non-catalytic subunit-like
N5.HOG0005560	jg21253.t1	129222322	XM_054856816	GO:0000776 [Name: kinetochore]; GO:0003676 [Name: nucleic acid binding]	G patch domain-containing protein 11-like
N5.HOG0005597	jg40320.t1	129230599	XR_008581156	-	uncharacterized LOC129230599
N5.HOG0005597	jg40331.t1	129230599	XR_008581156	-	uncharacterized LOC129230599
N5.HOG0005597	jg40327.t1	129229740	XM_054864108	GO:0006820 [Name: anion transport]; GO:0055085 [Name: transmembrane transport]; GO:0022857 [Name: transmembrane transporter activity]	putative inorganic phosphate cotransporter
N5.HOG0005597	jg40319.t1	129230719	XM_054865139	GO:0055085 [Name: transmembrane transport]; GO:0022857 [Name: transmembrane transporter activity]; GO:0006820 [Name: anion transport]	putative inorganic phosphate cotransporter
N5.HOG0005597	jg40330.t1	129229378	XM_054863671	GO:0022857 [Name: transmembrane transporter activity]; GO:0055085 [Name: transmembrane transport]; GO:0006820 [Name: anion transport]	putative inorganic phosphate cotransporter
N5.HOG0005597	GJZJ01161661.1	129229378	XM_054863671	GO:0022857 [Name: transmembrane transporter activity]; GO:0055085 [Name: transmembrane transport]; GO:0006820 [Name: anion transport]	putative inorganic phosphate cotransporter
N5.HOG0005619	GJZJ01191001.1	129230719	XM_054865139	GO:0055085 [Name: transmembrane transport]; GO:0022857 [Name: transmembrane transporter activity]; GO:0006820 [Name: anion transport]	putative inorganic phosphate cotransporter
N5.HOG0008881	jg22654.t1	129233526	XM_054867538	GO:0005515 [Name: protein binding]; GO:0042254 [Name: ribosome biogenesis]; GO:0030687 [Name: preribosome, large subunit precursor]	ribosome biogenesis protein WDR12 homolog
N5.HOG0009425	GJZJ01129397.1	129228048	XM_054862682	GO:0007165 [Name: signal transduction]; GO:0005096 [Name: GTPase activator activity]; GO:0090630 [Name: activation of GTPase activity]	rho GTPase-activating protein 45-like
N5.HOG0010498	jg9324.t1	129221388	XM_054855860	GO:0012505 [Name: endomembrane system]; GO:0016020 [Name: membrane]	putative lipid scramblase CLPTM1
N5.HOG0010647	GJZJ01090090.1	129216033	XM_054850179	GO:0038023 [Name: signaling receptor activity]	macrophage mannose receptor 1-like
N5.HOG0010659	GJZJ01029433.1	129216754	XM_054850971	GO:0038023 [Name: signaling receptor activity]	uncharacterized LOC129216754
N5.HOG0010817	GJZJ01174913.1	129228040	XM_054862670	-	uncharacterized LOC129228040
N5.HOG0010817	jg8463.t1	129228040	XM_054862670	-	uncharacterized LOC129228040
N5.HOG0010817	GJZJ01153703.1	129228040	XM_054862670	-	uncharacterized LOC129228040
N5.HOG0014651	GJZJ01121723.1	129227253	XM_054861771	GO:0005509 [Name: calcium ion binding]	neurogenic locus notch homolog protein 1-like
N5.HOG0014651	jg8189.t1	129227253	XM_054861771	GO:0005509 [Name: calcium ion binding]	neurogenic locus notch homolog protein 1-like
N5.HOG0015818	jg44352.t1	129229474	XM_054863788	GO:0004222 [Name: metalloendopeptidase activity]; GO:0005886 [Name: plasma membrane]; GO:0016485 [Name: protein processing]	neprilysin-2-like
N5.HOG0015818	GJZJ01234109.1	129229474	XM_054863788	GO:0004222 [Name: metalloendopeptidase activity]; GO:0005886 [Name: plasma membrane]; GO:0016485 [Name: protein processing]	neprilysin-2-like
N5.HOG0016909	GJZJ01249029.1	129230748	XM_054865180	GO:0003700 [Name: transcription factor activity, sequence-specific DNA binding]; GO:0000978 [Name: RNA polymerase II core promoter proximal region sequence-specific DNA binding]; GO:0006357 [Name: regulation of transcription from RNA polymerase II promoter]	gastrula zinc finger protein XlCGF57.1-like
N5.HOG0016910	GJZJ01124814.1	129230748	XM_054865179	GO:0003700 [Name: transcription factor activity, sequence-specific DNA binding]; GO:0000978 [Name: RNA polymerase II core promoter proximal region sequence-specific DNA binding]; GO:0006357 [Name: regulation of transcription from RNA polymerase II promoter]	gastrula zinc finger protein XlCGF57.1-like
N5.HOG0016911	GJZJ01156281.1	129230748	XM_054865181	GO:0003700 [Name: transcription factor activity, sequence-specific DNA binding]; GO:0000978 [Name: RNA polymerase II core promoter proximal region sequence-specific DNA binding]; GO:0006357 [Name: regulation of transcription from RNA polymerase II promoter]	gastrula zinc finger protein XlCGF57.1-like
