HOG	udiv_genes	LOC	txpt	GO_terms	Description
N5.HOG0000685	GJZJ01182379.1	129220814	XM_054855245	GO:0004252 [Name: serine-type endopeptidase activity]; GO:0005615 [Name: extracellular space]; GO:0006508 [Name: proteolysis]	uncharacterized LOC129220814
N5.HOG0004344	jg31322.t1	129224428	XM_054858882	GO:0005737 [Name: cytoplasm]	SEC14-like protein 2
N5.HOG0004612	jg1091.t1	129220666	XM_054855095	GO:0032210 [Name: regulation of telomere maintenance via telomerase]; GO:0016233 [Name: telomere capping]; GO:0000781 [Name: chromosome, telomeric region]; GO:0000783 [Name: nuclear telomere cap complex]; GO:0098505 [Name: G-rich strand telomeric DNA binding]; GO:0010521 [Name: telomerase inhibitor activity]	uncharacterized LOC129220666
N5.HOG0004619	GJZJ01038280.1	129220666	XM_054855095	GO:0032210 [Name: regulation of telomere maintenance via telomerase]; GO:0016233 [Name: telomere capping]; GO:0000781 [Name: chromosome, telomeric region]; GO:0000783 [Name: nuclear telomere cap complex]; GO:0098505 [Name: G-rich strand telomeric DNA binding]; GO:0010521 [Name: telomerase inhibitor activity]	uncharacterized LOC129220666
N5.HOG0004638	jg2094.t1	129228553	XM_054863236	GO:0006355 [Name: regulation of transcription, DNA-templated]; GO:0003676 [Name: nucleic acid binding]; GO:0031213 [Name: RSF complex]	histone-lysine N-methyltransferase SETD1B-like
N5.HOG0006044	GJZJ01076299.1	129218517	XM_054852808	-	arylsulfatase B-like
N5.HOG0006425	jg4398.t1	129225751	XM_054860249	GO:0005911 [Name: cell-cell junction]; GO:0050839 [Name: cell adhesion molecule binding]; GO:0098609 [Name: cell-cell adhesion]	synaptogenesis protein syg-1-like
N5.HOG0007453	jg34340.t1	129216356	XM_054850569	GO:0043005 [Name: neuron projection]	lachesin-like
N5.HOG0007630	jg36417.t1	129217522	XM_054851838	GO:0016491 [Name: oxidoreductase activity]	short-chain dehydrogenase/reductase family 9C member 7-like
N5.HOG0009220	jg35616.t1	129216048	XM_054850192	GO:0005737 [Name: cytoplasm]; GO:0005634 [Name: nucleus]; GO:0008017 [Name: microtubule binding]	microtubule-associated tumor suppressor candidate 2 homolog
N5.HOG0009223	jg7311.t1	129228232	XM_054862897	GO:0006508 [Name: proteolysis]; GO:0070006 [Name: metalloaminopeptidase activity]; GO:0030145 [Name: manganese ion binding]; GO:0005737 [Name: cytoplasm]	cytosol aminopeptidase-like
N5.HOG0012052	jg42656.t1	129230625	XM_054865040	GO:0005581 [Name: collagen trimer]; GO:0005201 [Name: extracellular matrix structural constituent]	collagen alpha-2(IV) chain-like
N5.HOG0012052	GJZJ01116330.1	129230625	XM_054865040	GO:0005581 [Name: collagen trimer]; GO:0005201 [Name: extracellular matrix structural constituent]	collagen alpha-2(IV) chain-like
