HOG	udiv_genes	LOC	txpt	GO_terms	Description
N5.HOG0000608	GJZJ01044934.1	129232144	XM_054866384	GO:0000981 [Name: RNA polymerase II transcription factor activity, sequence-specific DNA binding]; GO:0000977 [Name: RNA polymerase II regulatory region sequence-specific DNA binding]; GO:0005634 [Name: nucleus]; GO:0006357 [Name: regulation of transcription from RNA polymerase II promoter]	zinc finger protein 596-like
N5.HOG0000608	jg45330.t1	129232144	XM_054866384	GO:0000981 [Name: RNA polymerase II transcription factor activity, sequence-specific DNA binding]; GO:0000977 [Name: RNA polymerase II regulatory region sequence-specific DNA binding]; GO:0005634 [Name: nucleus]; GO:0006357 [Name: regulation of transcription from RNA polymerase II promoter]	zinc finger protein 596-like
N5.HOG0001114	GJZJ01227937.1	129232144	XM_054866384	GO:0000981 [Name: RNA polymerase II transcription factor activity, sequence-specific DNA binding]; GO:0000977 [Name: RNA polymerase II regulatory region sequence-specific DNA binding]; GO:0005634 [Name: nucleus]; GO:0006357 [Name: regulation of transcription from RNA polymerase II promoter]	zinc finger protein 596-like
N5.HOG0002076	GJZJ01272438.1	129217825	XM_054852169	GO:0008010 [Name: structural constituent of chitin-based larval cuticle]	cuticle protein-like
N5.HOG0002076	GJZJ01138331.1	129217825	XM_054852169	GO:0008010 [Name: structural constituent of chitin-based larval cuticle]	cuticle protein-like
N5.HOG0002076	GJZJ01112835.1	129221291	XM_054855750	GO:0008010 [Name: structural constituent of chitin-based larval cuticle]	cuticle protein 10.9-like
N5.HOG0002083	jg13801.t1	129231815	XM_054866194	GO:0008010 [Name: structural constituent of chitin-based larval cuticle]	uncharacterized LOC129231815
N5.HOG0002083	GJZJ01243390.1	129231815	XM_054866194	GO:0008010 [Name: structural constituent of chitin-based larval cuticle]	uncharacterized LOC129231815
N5.HOG0002878	jg2837.t1	129218333	XM_054852568	-	uncharacterized LOC129218333
N5.HOG0003080	GJZJ01010460.1	129233173	XM_054867242	GO:0008254 [Name: 3'-nucleotidase activity]; GO:0046854 [Name: phosphatidylinositol phosphorylation]; GO:0012505 [Name: endomembrane system]	inositol monophosphatase 3-like
N5.HOG0003863	GJZJ01092202.1	129225884	XM_054860414	GO:0000978 [Name: RNA polymerase II core promoter proximal region sequence-specific DNA binding]; GO:0006357 [Name: regulation of transcription from RNA polymerase II promoter]; GO:0003700 [Name: transcription factor activity, sequence-specific DNA binding]	zinc finger protein Xfin-like
N5.HOG0004334	GJZJ01252054.1	129218428	XM_054852686	GO:0005737 [Name: cytoplasm]	SEC14-like protein 2
N5.HOG0004742	GJZJ01132364.1	129221909	XM_054856285	GO:0004674 [Name: protein serine/threonine kinase activity]; GO:0005524 [Name: ATP binding]; GO:0005737 [Name: cytoplasm]; GO:0018105 [Name: peptidyl-serine phosphorylation]	I-kappaB kinase epsilon
N5.HOG0005390	GJZJ01190215.1	129231827	XM_054866207	GO:0016491 [Name: oxidoreductase activity]	hemocyanin C chain-like
N5.HOG0005399	GJZJ01174934.1	129219230	XM_054853553	GO:0016491 [Name: oxidoreductase activity]	hemocyanin A chain-like
N5.HOG0005399	GJZJ01102959.1	129219230	XM_054853553	GO:0016491 [Name: oxidoreductase activity]	hemocyanin A chain-like
N5.HOG0005425	jg14919.t1	129231152	XM_054865400	GO:0016491 [Name: oxidoreductase activity]	uncharacterized LOC129231152
N5.HOG0005437	GJZJ01079948.1	129231152	XM_054865400	GO:0016491 [Name: oxidoreductase activity]	uncharacterized LOC129231152
N5.HOG0005438	GJZJ01149203.1	129231152	XM_054865400	GO:0016491 [Name: oxidoreductase activity]	uncharacterized LOC129231152
N5.HOG0005440	GJZJ01137096.1	129231152	XM_054865400	GO:0016491 [Name: oxidoreductase activity]	uncharacterized LOC129231152
N5.HOG0005597	jg40320.t1	129230599	XR_008581156	-	uncharacterized LOC129230599
N5.HOG0005597	jg40331.t1	129230599	XR_008581156	-	uncharacterized LOC129230599
N5.HOG0005597	jg40327.t1	129229740	XM_054864108	GO:0006820 [Name: anion transport]; GO:0055085 [Name: transmembrane transport]; GO:0022857 [Name: transmembrane transporter activity]	putative inorganic phosphate cotransporter
N5.HOG0005597	jg40319.t1	129230719	XM_054865139	GO:0055085 [Name: transmembrane transport]; GO:0022857 [Name: transmembrane transporter activity]; GO:0006820 [Name: anion transport]	putative inorganic phosphate cotransporter
N5.HOG0005597	jg40330.t1	129229378	XM_054863671	GO:0022857 [Name: transmembrane transporter activity]; GO:0055085 [Name: transmembrane transport]; GO:0006820 [Name: anion transport]	putative inorganic phosphate cotransporter
N5.HOG0005597	GJZJ01161661.1	129229378	XM_054863671	GO:0022857 [Name: transmembrane transporter activity]; GO:0055085 [Name: transmembrane transport]; GO:0006820 [Name: anion transport]	putative inorganic phosphate cotransporter
N5.HOG0005619	GJZJ01191001.1	129230719	XM_054865139	GO:0055085 [Name: transmembrane transport]; GO:0022857 [Name: transmembrane transporter activity]; GO:0006820 [Name: anion transport]	putative inorganic phosphate cotransporter
N5.HOG0005872	jg32319.t1	129224730	XM_054859279	GO:0005524 [Name: ATP binding]; GO:0004672 [Name: protein kinase activity]; GO:0006468 [Name: protein phosphorylation]	dual specificity mitogen-activated protein kinase kinase 1-like
N5.HOG0006071	GJZJ01011137.1	129231370	XM_054865667	-	arylsulfatase B-like
N5.HOG0006607	GJZJ01085198.1	129218333	XM_054852568	-	uncharacterized LOC129218333
N5.HOG0006969	GJZJ01254896.1	129221450	XM_054855931	GO:0022857 [Name: transmembrane transporter activity]; GO:0006820 [Name: anion transport]	putative inorganic phosphate cotransporter
N5.HOG0006972	jg9939.t1	129224281	XM_054858708	-	uncharacterized LOC129224281
N5.HOG0006972	jg14425.t1	129231089	XM_054865336	GO:0022857 [Name: transmembrane transporter activity]; GO:0055085 [Name: transmembrane transport]	sialin-like
N5.HOG0007085	GJZJ01056463.1	129229398	XM_054863700	GO:0005764 [Name: lysosome]; GO:0051603 [Name: proteolysis involved in cellular protein catabolic process]; GO:0004197 [Name: cysteine-type endopeptidase activity]; GO:0005615 [Name: extracellular space]	procathepsin L-like
N5.HOG0007215	jg42848.t1	129229482	XM_054863797	GO:0044877 [Name: macromolecular complex binding]; GO:0005739 [Name: mitochondrion]; GO:1901006 [Name: ubiquinone-6 biosynthetic process]	NADH:ubiquinone oxidoreductase subunit 39
N5.HOG0007627	GJZJ01126826.1	129224441	XM_054858896	GO:0016491 [Name: oxidoreductase activity]	short-chain dehydrogenase/reductase family 9C member 7-like
N5.HOG0007627	jg30283.t1	129224441	XM_054858896	GO:0016491 [Name: oxidoreductase activity]	short-chain dehydrogenase/reductase family 9C member 7-like
N5.HOG0007812	jg22624.t1	129223377	XM_054857956	-	pantetheinase-like
N5.HOG0007812	GJZJ01230609.1	129223377	XM_054857956	-	pantetheinase-like
N5.HOG0007812	GJZJ01091730.1	129223377	XM_054857956	-	pantetheinase-like
N5.HOG0008037	jg33171.t1	129216867	XM_054851081	GO:0015889 [Name: cobalamin transport]; GO:0031419 [Name: cobalamin binding]; GO:0005515 [Name: protein binding]; GO:0005615 [Name: extracellular space]	uncharacterized protein CG3556-like
N5.HOG0008038	jg33169.t1	129216867	XM_054851081	GO:0015889 [Name: cobalamin transport]; GO:0031419 [Name: cobalamin binding]; GO:0005515 [Name: protein binding]; GO:0005615 [Name: extracellular space]	uncharacterized protein CG3556-like
