HOG	udiv_genes	LOC	txpt	GO_terms	Description
N5.HOG0000685	GJZJ01182379.1	129220814	XM_054855245	GO:0004252 [Name: serine-type endopeptidase activity]; GO:0005615 [Name: extracellular space]; GO:0006508 [Name: proteolysis]	uncharacterized LOC129220814
N5.HOG0002083	jg13801.t1	129231815	XM_054866194	GO:0008010 [Name: structural constituent of chitin-based larval cuticle]	uncharacterized LOC129231815
N5.HOG0002083	GJZJ01243390.1	129231815	XM_054866194	GO:0008010 [Name: structural constituent of chitin-based larval cuticle]	uncharacterized LOC129231815
N5.HOG0003890	GJZJ01202439.1	129219841	XM_054854150	GO:0005506 [Name: iron ion binding]; GO:0020037 [Name: heme binding]; GO:0008395 [Name: steroid hydroxylase activity]; GO:0016705 [Name: oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen]	cytochrome P450 3A8-like
N5.HOG0003890	GJZJ01072858.1	129219841	XM_054854150	GO:0005506 [Name: iron ion binding]; GO:0020037 [Name: heme binding]; GO:0008395 [Name: steroid hydroxylase activity]; GO:0016705 [Name: oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen]	cytochrome P450 3A8-like
N5.HOG0004508	GJZJ01063633.1	129220187	XM_054854548	GO:0000281 [Name: mitotic cytokinesis]; GO:0040001 [Name: establishment of mitotic spindle localization]; GO:0005874 [Name: microtubule]; GO:0007076 [Name: mitotic chromosome condensation]; GO:0072686 [Name: mitotic spindle]; GO:0005730 [Name: nucleolus]; GO:0008017 [Name: microtubule binding]	Mitotic spindle and nuclear protein
N5.HOG0004508	GJZJ01063633.1	129220188	XM_054854549	GO:0004867 [Name: serine-type endopeptidase inhibitor activity]; GO:0005615 [Name: extracellular space]	actinia tenebrosa protease inhibitors-like
N5.HOG0005150	GJZJ01054051.1	129227954	XM_054862579	GO:0005615 [Name: extracellular space]; GO:0031012 [Name: extracellular matrix]; GO:0005515 [Name: protein binding]	carboxypeptidase N subunit 2-like
N5.HOG0005597	jg40320.t1	129230599	XR_008581156	-	uncharacterized LOC129230599
N5.HOG0005597	jg40331.t1	129230599	XR_008581156	-	uncharacterized LOC129230599
N5.HOG0005597	jg40327.t1	129229740	XM_054864108	GO:0006820 [Name: anion transport]; GO:0055085 [Name: transmembrane transport]; GO:0022857 [Name: transmembrane transporter activity]	putative inorganic phosphate cotransporter
N5.HOG0005597	jg40319.t1	129230719	XM_054865139	GO:0055085 [Name: transmembrane transport]; GO:0022857 [Name: transmembrane transporter activity]; GO:0006820 [Name: anion transport]	putative inorganic phosphate cotransporter
N5.HOG0005597	jg40330.t1	129229378	XM_054863671	GO:0022857 [Name: transmembrane transporter activity]; GO:0055085 [Name: transmembrane transport]; GO:0006820 [Name: anion transport]	putative inorganic phosphate cotransporter
N5.HOG0005597	GJZJ01161661.1	129229378	XM_054863671	GO:0022857 [Name: transmembrane transporter activity]; GO:0055085 [Name: transmembrane transport]; GO:0006820 [Name: anion transport]	putative inorganic phosphate cotransporter
N5.HOG0005619	GJZJ01191001.1	129230719	XM_054865139	GO:0055085 [Name: transmembrane transport]; GO:0022857 [Name: transmembrane transporter activity]; GO:0006820 [Name: anion transport]	putative inorganic phosphate cotransporter
N5.HOG0006969	GJZJ01254896.1	129221450	XM_054855931	GO:0022857 [Name: transmembrane transporter activity]; GO:0006820 [Name: anion transport]	putative inorganic phosphate cotransporter
N5.HOG0006986	GJZJ01259596.1	129226340	XM_054860942	GO:0005524 [Name: ATP binding]; GO:0035556 [Name: intracellular signal transduction]; GO:0004672 [Name: protein kinase activity]; GO:0007168 [Name: receptor guanylyl cyclase signaling pathway]; GO:0004383 [Name: guanylate cyclase activity]; GO:0001653 [Name: peptide receptor activity]; GO:0006182 [Name: cGMP biosynthetic process]; GO:0006468 [Name: protein phosphorylation]	receptor-type guanylate cyclase Gyc76C-like
N5.HOG0007052	GJZJ01239975.1	129226340	XM_054860942	GO:0005524 [Name: ATP binding]; GO:0035556 [Name: intracellular signal transduction]; GO:0004672 [Name: protein kinase activity]; GO:0007168 [Name: receptor guanylyl cyclase signaling pathway]; GO:0004383 [Name: guanylate cyclase activity]; GO:0001653 [Name: peptide receptor activity]; GO:0006182 [Name: cGMP biosynthetic process]; GO:0006468 [Name: protein phosphorylation]	receptor-type guanylate cyclase Gyc76C-like
N5.HOG0007062	GJZJ01253605.1	129226340	XM_054860942	GO:0005524 [Name: ATP binding]; GO:0035556 [Name: intracellular signal transduction]; GO:0004672 [Name: protein kinase activity]; GO:0007168 [Name: receptor guanylyl cyclase signaling pathway]; GO:0004383 [Name: guanylate cyclase activity]; GO:0001653 [Name: peptide receptor activity]; GO:0006182 [Name: cGMP biosynthetic process]; GO:0006468 [Name: protein phosphorylation]	receptor-type guanylate cyclase Gyc76C-like
N5.HOG0007063	jg2340.t1	129226340	XM_054860942	GO:0005524 [Name: ATP binding]; GO:0035556 [Name: intracellular signal transduction]; GO:0004672 [Name: protein kinase activity]; GO:0007168 [Name: receptor guanylyl cyclase signaling pathway]; GO:0004383 [Name: guanylate cyclase activity]; GO:0001653 [Name: peptide receptor activity]; GO:0006182 [Name: cGMP biosynthetic process]; GO:0006468 [Name: protein phosphorylation]	receptor-type guanylate cyclase Gyc76C-like
N5.HOG0007063	jg2339.t1	129226340	XM_054860942	GO:0005524 [Name: ATP binding]; GO:0035556 [Name: intracellular signal transduction]; GO:0004672 [Name: protein kinase activity]; GO:0007168 [Name: receptor guanylyl cyclase signaling pathway]; GO:0004383 [Name: guanylate cyclase activity]; GO:0001653 [Name: peptide receptor activity]; GO:0006182 [Name: cGMP biosynthetic process]; GO:0006468 [Name: protein phosphorylation]	receptor-type guanylate cyclase Gyc76C-like
N5.HOG0007641	GJZJ01270532.1	129226355	XM_054860958	GO:0016491 [Name: oxidoreductase activity]	retinol dehydrogenase 16-like
N5.HOG0007656	GJZJ01246989.1	129224542	XM_054859017	GO:0016020 [Name: membrane]; GO:0022857 [Name: transmembrane transporter activity]; GO:0055085 [Name: transmembrane transport]	organic cation transporter 1-like
N5.HOG0007812	jg22624.t1	129223377	XM_054857956	-	pantetheinase-like
N5.HOG0007812	GJZJ01230609.1	129223377	XM_054857956	-	pantetheinase-like
N5.HOG0007812	GJZJ01091730.1	129223377	XM_054857956	-	pantetheinase-like
N5.HOG0008037	jg33171.t1	129216867	XM_054851081	GO:0015889 [Name: cobalamin transport]; GO:0031419 [Name: cobalamin binding]; GO:0005515 [Name: protein binding]; GO:0005615 [Name: extracellular space]	uncharacterized protein CG3556-like
N5.HOG0008038	jg33169.t1	129216867	XM_054851081	GO:0015889 [Name: cobalamin transport]; GO:0031419 [Name: cobalamin binding]; GO:0005515 [Name: protein binding]; GO:0005615 [Name: extracellular space]	uncharacterized protein CG3556-like
N5.HOG0008816	jg8185.t4	129227546	XM_054862124	GO:0005509 [Name: calcium ion binding]	neurogenic locus notch homolog protein 1-like
N5.HOG0009672	jg6820.t1	129233751	XM_054867730	GO:0004386 [Name: helicase activity]; GO:0031380 [Name: nuclear RNA-directed RNA polymerase complex]; GO:0031048 [Name: chromatin silencing by small RNA]	NFX1-type zinc finger-containing protein 1-like
N5.HOG0009695	jg6479.t1	129233751	XM_054867730	GO:0004386 [Name: helicase activity]; GO:0031380 [Name: nuclear RNA-directed RNA polymerase complex]; GO:0031048 [Name: chromatin silencing by small RNA]	NFX1-type zinc finger-containing protein 1-like
N5.HOG0009695	jg7312.t1	129233751	XM_054867730	GO:0004386 [Name: helicase activity]; GO:0031380 [Name: nuclear RNA-directed RNA polymerase complex]; GO:0031048 [Name: chromatin silencing by small RNA]	NFX1-type zinc finger-containing protein 1-like
N5.HOG0009695	GJZJ01067652.1	129233751	XM_054867730	GO:0004386 [Name: helicase activity]; GO:0031380 [Name: nuclear RNA-directed RNA polymerase complex]; GO:0031048 [Name: chromatin silencing by small RNA]	NFX1-type zinc finger-containing protein 1-like
N5.HOG0009695	jg6821.t1	129233751	XM_054867730	GO:0004386 [Name: helicase activity]; GO:0031380 [Name: nuclear RNA-directed RNA polymerase complex]; GO:0031048 [Name: chromatin silencing by small RNA]	NFX1-type zinc finger-containing protein 1-like
N5.HOG0011514	jg23236.t1	129223432	XM_054858043	GO:0005243 [Name: gap junction channel activity]; GO:0005886 [Name: plasma membrane]; GO:0005921 [Name: gap junction]; GO:0007602 [Name: phototransduction]	innexin inx2-like
N5.HOG0011514	GJZJ01146073.1	129223432	XM_054858043	GO:0005243 [Name: gap junction channel activity]; GO:0005886 [Name: plasma membrane]; GO:0005921 [Name: gap junction]; GO:0007602 [Name: phototransduction]	innexin inx2-like
N5.HOG0012725	GJZJ01211864.1	129227599	XM_054862184	GO:0016020 [Name: membrane]; GO:1902936 [Name: phosphatidylinositol bisphosphate binding]	alpha-tocopherol transfer protein-like
N5.HOG0013382	GJZJ01276487.1	129226844	XM_054861474	GO:0005615 [Name: extracellular space]	uncharacterized LOC129226844
N5.HOG0013383	GJZJ01115391.1	129226844	XM_054861474	GO:0005615 [Name: extracellular space]	uncharacterized LOC129226844
N5.HOG0013385	jg4038.t1	129226844	XM_054861474	GO:0005615 [Name: extracellular space]	uncharacterized LOC129226844
N5.HOG0014159	GJZJ01076293.1	129217691	XM_054852025	GO:0005109 [Name: frizzled binding]; GO:0005576 [Name: extracellular region]; GO:0007275 [Name: multicellular organism development]; GO:0005615 [Name: extracellular space]; GO:0005125 [Name: cytokine activity]; GO:0045165 [Name: cell fate commitment]; GO:0060070 [Name: canonical Wnt signaling pathway]; GO:0030182 [Name: neuron differentiation]	protein Wnt-16-like
N5.HOG0014159	jg37345.t1	129217691	XM_054852025	GO:0005109 [Name: frizzled binding]; GO:0005576 [Name: extracellular region]; GO:0007275 [Name: multicellular organism development]; GO:0005615 [Name: extracellular space]; GO:0005125 [Name: cytokine activity]; GO:0045165 [Name: cell fate commitment]; GO:0060070 [Name: canonical Wnt signaling pathway]; GO:0030182 [Name: neuron differentiation]	protein Wnt-16-like
N5.HOG0014159	jg37348.t1	129217691	XM_054852025	GO:0005109 [Name: frizzled binding]; GO:0005576 [Name: extracellular region]; GO:0007275 [Name: multicellular organism development]; GO:0005615 [Name: extracellular space]; GO:0005125 [Name: cytokine activity]; GO:0045165 [Name: cell fate commitment]; GO:0060070 [Name: canonical Wnt signaling pathway]; GO:0030182 [Name: neuron differentiation]	protein Wnt-16-like
N5.HOG0014160	jg37339.t1	129217691	XM_054852025	GO:0005109 [Name: frizzled binding]; GO:0005576 [Name: extracellular region]; GO:0007275 [Name: multicellular organism development]; GO:0005615 [Name: extracellular space]; GO:0005125 [Name: cytokine activity]; GO:0045165 [Name: cell fate commitment]; GO:0060070 [Name: canonical Wnt signaling pathway]; GO:0030182 [Name: neuron differentiation]	protein Wnt-16-like
N5.HOG0014285	GJZJ01272792.1	129220214	XM_054854579	GO:0003333 [Name: amino acid transmembrane transport]; GO:0015179 [Name: L-amino acid transmembrane transporter activity]; GO:0016020 [Name: membrane]	Y+L amino acid transporter 2-like
N5.HOG0015039	jg23464.t1	129223329	XM_054857896	GO:0004867 [Name: serine-type endopeptidase inhibitor activity]; GO:0005615 [Name: extracellular space]	intracellular coagulation inhibitor 1-like
N5.HOG0015039	jg23462.t1	129222854	XM_054857407	GO:0005615 [Name: extracellular space]; GO:0004867 [Name: serine-type endopeptidase inhibitor activity]	intracellular coagulation inhibitor 2-like
N5.HOG0015039	jg23463.t1	129222854	XM_054857407	GO:0005615 [Name: extracellular space]; GO:0004867 [Name: serine-type endopeptidase inhibitor activity]	intracellular coagulation inhibitor 2-like
N5.HOG0015441	jg43752.t1	129221006	XM_054855442	GO:0006511 [Name: ubiquitin-dependent protein catabolic process]; GO:0061630 [Name: ubiquitin protein ligase activity]	E3 ubiquitin-protein ligase RLIM-like
N5.HOG0015442	jg12601.t1	129221006	XM_054855442	GO:0006511 [Name: ubiquitin-dependent protein catabolic process]; GO:0061630 [Name: ubiquitin protein ligase activity]	E3 ubiquitin-protein ligase RLIM-like
N5.HOG0017104	jg27524.t1	129224371	XM_054858816	GO:0046983 [Name: protein dimerization activity]	E3 SUMO-protein ligase ZBED1-like
N5.HOG0017305	jg4561.t1	129226923	XM_054861552	-	uncharacterized LOC129226923
N5.HOG0017305	GJZJ01148134.1	129226923	XM_054861552	-	uncharacterized LOC129226923
N5.HOG0017341	jg18252.t1	129218144	XM_054852357	GO:0055085 [Name: transmembrane transport]; GO:0006814 [Name: sodium ion transport]; GO:0016020 [Name: membrane]; GO:0015293 [Name: symporter activity]	sodium-coupled monocarboxylate transporter 1-like
N5.HOG0017341	GJZJ01065156.1	129218144	XM_054852357	GO:0055085 [Name: transmembrane transport]; GO:0006814 [Name: sodium ion transport]; GO:0016020 [Name: membrane]; GO:0015293 [Name: symporter activity]	sodium-coupled monocarboxylate transporter 1-like
N5.HOG0017344	GJZJ01024726.1	129220321	XM_054854724	-	nose resistant to fluoxetine protein 6-like
N5.HOG0017344	jg28720.t1	129220321	XM_054854724	-	nose resistant to fluoxetine protein 6-like
N5.HOG0017344	GJZJ01135601.1	129220715	XM_054855145	-	uncharacterized LOC129220715
N5.HOG0017344	jg10850.t1	129220715	XM_054855145	-	uncharacterized LOC129220715
N5.HOG0017346	jg10852.t1	129220321	XM_054854724	-	nose resistant to fluoxetine protein 6-like
N5.HOG0017488	GJZJ01219050.1	129217363	XM_054851650	GO:0003987 [Name: acetate-CoA ligase activity]; GO:0016208 [Name: AMP binding]; GO:0019427 [Name: acetyl-CoA biosynthetic process from acetate]	acetyl-coenzyme A synthetase, cytoplasmic-like
N5.HOG0017501	jg35603.t1	129217363	XM_054851650	GO:0003987 [Name: acetate-CoA ligase activity]; GO:0016208 [Name: AMP binding]; GO:0019427 [Name: acetyl-CoA biosynthetic process from acetate]	acetyl-coenzyme A synthetase, cytoplasmic-like
N5.HOG0017508	GJZJ01118480.1	129217363	XM_054851650	GO:0003987 [Name: acetate-CoA ligase activity]; GO:0016208 [Name: AMP binding]; GO:0019427 [Name: acetyl-CoA biosynthetic process from acetate]	acetyl-coenzyme A synthetase, cytoplasmic-like
N5.HOG0018884	GJZJ01163137.1	129223095	XM_054857662	GO:0005737 [Name: cytoplasm]; GO:0016712 [Name: oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen]; GO:0020037 [Name: heme binding]; GO:0043231 [Name: intracellular membrane-bounded organelle]; GO:0005506 [Name: iron ion binding]; GO:0006082 [Name: organic acid metabolic process]; GO:0006805 [Name: xenobiotic metabolic process]	uncharacterized LOC129223095
N5.HOG0018884	GJZJ01134409.1	129222631	XM_054857161	GO:0043231 [Name: intracellular membrane-bounded organelle]; GO:0020037 [Name: heme binding]; GO:0016712 [Name: oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen]; GO:0005506 [Name: iron ion binding]; GO:0006082 [Name: organic acid metabolic process]; GO:0006805 [Name: xenobiotic metabolic process]; GO:0005737 [Name: cytoplasm]	cytochrome P450 2C44-like
N5.HOG0018884	GJZJ01097167.1	129232769	XM_054866871	GO:0006805 [Name: xenobiotic metabolic process]; GO:0005737 [Name: cytoplasm]; GO:0020037 [Name: heme binding]; GO:0006082 [Name: organic acid metabolic process]; GO:0005506 [Name: iron ion binding]; GO:0016712 [Name: oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen]; GO:0043231 [Name: intracellular membrane-bounded organelle]	cytochrome P450 18a1-like
N5.HOG0018884	GJZJ01124517.1	129223095	XM_054857662	GO:0005737 [Name: cytoplasm]; GO:0016712 [Name: oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen]; GO:0020037 [Name: heme binding]; GO:0043231 [Name: intracellular membrane-bounded organelle]; GO:0005506 [Name: iron ion binding]; GO:0006082 [Name: organic acid metabolic process]; GO:0006805 [Name: xenobiotic metabolic process]	uncharacterized LOC129223095
N5.HOG0018884	GJZJ01181310.1	129223096	XM_054857663	GO:0005737 [Name: cytoplasm]; GO:0006805 [Name: xenobiotic metabolic process]; GO:0020037 [Name: heme binding]; GO:0043231 [Name: intracellular membrane-bounded organelle]; GO:0016712 [Name: oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen]; GO:0005506 [Name: iron ion binding]; GO:0006082 [Name: organic acid metabolic process]	uncharacterized LOC129223096
N5.HOG0018884	GJZJ01041915.1	129223096	XM_054857663	GO:0005737 [Name: cytoplasm]; GO:0006805 [Name: xenobiotic metabolic process]; GO:0020037 [Name: heme binding]; GO:0043231 [Name: intracellular membrane-bounded organelle]; GO:0016712 [Name: oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen]; GO:0005506 [Name: iron ion binding]; GO:0006082 [Name: organic acid metabolic process]	uncharacterized LOC129223096
N5.HOG0018884	jg22074.t1	129223096	XM_054857663	GO:0005737 [Name: cytoplasm]; GO:0006805 [Name: xenobiotic metabolic process]; GO:0020037 [Name: heme binding]; GO:0043231 [Name: intracellular membrane-bounded organelle]; GO:0016712 [Name: oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen]; GO:0005506 [Name: iron ion binding]; GO:0006082 [Name: organic acid metabolic process]	uncharacterized LOC129223096
N5.HOG0018954	GJZJ01252659.1	129228237	XM_054862903	GO:0005886 [Name: plasma membrane]; GO:0006937 [Name: regulation of muscle contraction]; GO:0043266 [Name: regulation of potassium ion transport]; GO:0055120 [Name: striated muscle dense body]; GO:0015459 [Name: potassium channel regulator activity]	UNC93-like protein
N5.HOG0018955	GJZJ01152754.1	129228237	XM_054862905	GO:0005886 [Name: plasma membrane]; GO:0006937 [Name: regulation of muscle contraction]; GO:0043266 [Name: regulation of potassium ion transport]; GO:0055120 [Name: striated muscle dense body]; GO:0015459 [Name: potassium channel regulator activity]	UNC93-like protein
N5.HOG0018955	jg8015.t1	129228237	XM_054862903	GO:0005886 [Name: plasma membrane]; GO:0006937 [Name: regulation of muscle contraction]; GO:0043266 [Name: regulation of potassium ion transport]; GO:0055120 [Name: striated muscle dense body]; GO:0015459 [Name: potassium channel regulator activity]	UNC93-like protein
N5.HOG0018971	GJZJ01080351.1	129228237	XM_054862905	GO:0005886 [Name: plasma membrane]; GO:0006937 [Name: regulation of muscle contraction]; GO:0043266 [Name: regulation of potassium ion transport]; GO:0055120 [Name: striated muscle dense body]; GO:0015459 [Name: potassium channel regulator activity]	UNC93-like protein
N5.HOG0019010	GJZJ01247235.1	129219694	XM_054853979	GO:0003676 [Name: nucleic acid binding]; GO:0046872 [Name: metal ion binding]; GO:0016787 [Name: hydrolase activity]	venom phosphodiesterase-like
N5.HOG0019011	GJZJ01000167.1	129226341	XM_054860947	GO:0003676 [Name: nucleic acid binding]; GO:0046872 [Name: metal ion binding]; GO:0016787 [Name: hydrolase activity]	venom phosphodiesterase-like
N5.HOG0019011	GJZJ01153901.1	129219694	XM_054853979	GO:0003676 [Name: nucleic acid binding]; GO:0046872 [Name: metal ion binding]; GO:0016787 [Name: hydrolase activity]	venom phosphodiesterase-like
N5.HOG0019845	GJZJ01008758.1	129225179	XM_054859745	GO:0000122 [Name: negative regulation of transcription from RNA polymerase II promoter]; GO:0030274 [Name: LIM domain binding]; GO:0007399 [Name: nervous system development]; GO:0005634 [Name: nucleus]; GO:0005667 [Name: transcription factor complex]; GO:0045944 [Name: positive regulation of transcription from RNA polymerase II promoter]	LIM domain-binding protein 2-like
N5.HOG0019845	GJZJ01008758.1	129225179	XM_054859743	GO:0000122 [Name: negative regulation of transcription from RNA polymerase II promoter]; GO:0030274 [Name: LIM domain binding]; GO:0007399 [Name: nervous system development]; GO:0005634 [Name: nucleus]; GO:0005667 [Name: transcription factor complex]; GO:0045944 [Name: positive regulation of transcription from RNA polymerase II promoter]	LIM domain-binding protein 2-like
N5.HOG0019848	jg32086.t1	129225179	XM_054859743	GO:0000122 [Name: negative regulation of transcription from RNA polymerase II promoter]; GO:0030274 [Name: LIM domain binding]; GO:0007399 [Name: nervous system development]; GO:0005634 [Name: nucleus]; GO:0005667 [Name: transcription factor complex]; GO:0045944 [Name: positive regulation of transcription from RNA polymerase II promoter]	LIM domain-binding protein 2-like
N5.HOG0019848	GJZJ01168073.1	129225179	XM_054859745	GO:0000122 [Name: negative regulation of transcription from RNA polymerase II promoter]; GO:0030274 [Name: LIM domain binding]; GO:0007399 [Name: nervous system development]; GO:0005634 [Name: nucleus]; GO:0005667 [Name: transcription factor complex]; GO:0045944 [Name: positive regulation of transcription from RNA polymerase II promoter]	LIM domain-binding protein 2-like
N5.HOG0019890	GJZJ01153864.1	129218220	XM_054852442	-	protein ABHD11-like
N5.HOG0020441	GJZJ01205774.1	129227064	XM_054861708	GO:0003723 [Name: RNA binding]; GO:0004842 [Name: ubiquitin-protein transferase activity]; GO:0016567 [Name: protein ubiquitination]; GO:0030014 [Name: CCR4-NOT complex]	CCR4-NOT transcription complex subunit 4-like
N5.HOG0020751	jg21442.t1	129222742	XM_054857273	GO:0005615 [Name: extracellular space]	uncharacterized LOC129222742
N5.HOG0020751	GJZJ01026870.1	129222742	XM_054857273	GO:0005615 [Name: extracellular space]	uncharacterized LOC129222742
N5.HOG0021039	jg10399.t1	129220635	XM_054855065	GO:0030422 [Name: production of siRNA involved in RNA interference]; GO:0003968 [Name: RNA-directed 5'-3' RNA polymerase activity]; GO:0031380 [Name: nuclear RNA-directed RNA polymerase complex]	uncharacterized LOC129220635
N5.HOG0021045	jg10396.t1	129220635	XM_054855065	GO:0030422 [Name: production of siRNA involved in RNA interference]; GO:0003968 [Name: RNA-directed 5'-3' RNA polymerase activity]; GO:0031380 [Name: nuclear RNA-directed RNA polymerase complex]	uncharacterized LOC129220635
N5.HOG0021150	jg43898.t1	129230486	XM_054864887	GO:0006357 [Name: regulation of transcription from RNA polymerase II promoter]; GO:0031490 [Name: chromatin DNA binding]; GO:0005634 [Name: nucleus]	TOX high mobility group box family member 3-like
N5.HOG0022326	GJZJ01161221.1	129226572	XM_054861189	-	uncharacterized LOC129226572
N5.HOG0022330	jg27168.t1	129217545	XM_054851871	GO:0046777 [Name: protein autophosphorylation]; GO:0005634 [Name: nucleus]; GO:0004712 [Name: protein serine/threonine/tyrosine kinase activity]; GO:0005524 [Name: ATP binding]; GO:0018107 [Name: peptidyl-threonine phosphorylation]; GO:0045893 [Name: positive regulation of transcription, DNA-templated]; GO:0018105 [Name: peptidyl-serine phosphorylation]; GO:0003713 [Name: transcription coactivator activity]; GO:0004674 [Name: protein serine/threonine kinase activity]	dual specificity tyrosine-phosphorylation-regulated kinase 1B-like
N5.HOG0022345	GJZJ01041701.1	129218723	XM_054853046	GO:0003713 [Name: transcription coactivator activity]; GO:0045893 [Name: positive regulation of transcription, DNA-templated]; GO:0004712 [Name: protein serine/threonine/tyrosine kinase activity]; GO:0005524 [Name: ATP binding]; GO:0004674 [Name: protein serine/threonine kinase activity]; GO:0005634 [Name: nucleus]; GO:0046777 [Name: protein autophosphorylation]; GO:0018105 [Name: peptidyl-serine phosphorylation]; GO:0018107 [Name: peptidyl-threonine phosphorylation]	dual specificity tyrosine-phosphorylation-regulated kinase 1B-like
