query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score, % positives, query/sbjct frames,,,,,,,,,,,,,,,
XP_015917098.1,XM_054862163.1,73.74,655,166,4,1,650,330,2291,0,919,86.41,0,3,,,,,,,,,,,,,,
XP_015917098.1,XM_054862908.1,65.424,295,99,2,359,650,2,886,2.35E-124,390,80.68,0,2,,,,,,,,,,,,,,
XP_015917098.1,XM_054864518.1,37.825,616,340,10,27,607,168,1991,2.13E-110,366,56.82,0,3,,,,,,,,,,,,,,
XP_015917098.1,XM_054864519.1,37.825,616,340,10,27,607,126,1949,3.45E-110,365,56.82,0,3,,,,,,,,,,,,,,
XP_015917098.1,XM_054857043.1,45.131,421,215,4,21,429,158,1408,8.12E-95,306,63.9,0,2,,,,,,,,,,,,,,
XP_015917098.1,XM_054864953.1,41.748,412,222,5,25,426,49,1260,2.83E-88,291,62.86,0,1,,,,,,,,,,,,,,
XP_015917098.1,XM_054864953.1,40.426,94,56,0,508,601,1774,2055,1.26E-14,77.8,55.32,0,1,,,,,,,,,,,,,,
XP_015917098.1,XM_054864954.1,28.065,620,385,8,54,630,628,2433,1.78E-57,208,46.94,0,1,,,,,,,,,,,,,,
XP_015917098.1,XM_054856182.1,25.49,306,211,7,12,313,236,1114,4.04E-10,63.2,44.12,0,2,,,,,,,,,,,,,,
XP_015917098.1,XM_054854213.1,25.49,306,211,7,12,313,67,945,4.60E-10,62.8,44.12,0,1,,,,,,,,,,,,,,
XP_015917098.1,XM_054854579.1,22.264,265,188,4,34,294,1746,2498,3.86E-09,60.5,41.89,0,3,,,,,,,,,,,,,,
XP_015917409.1,XM_054856430.1,78.747,367,76,1,2,366,160,1260,0,608,88.28,0,1,,,,,,,,,,,,,,
XP_015917409.1,XM_054857858.1,79.699,133,27,0,234,366,4,402,2.28E-76,231,92.48,0,1,,,,,,,,,,,,,,
XP_015917409.1,XM_054860675.1,40.575,313,170,6,41,347,117,1025,4.68E-65,211,58.15,0,3,,,,,,,,,,,,,,
OCT73558.1,XM_054855300.1,44.444,72,38,1,15,86,1528,1737,4.15E-13,63.2,56.94,0,1,,,,,,,,,,,,,,
OCT73558.1,XM_054855300.1,50,58,27,1,29,86,1759,1926,1.50E-12,61.6,62.07,0,1,,,,,,,,,,,,,,
OCT73558.1,XM_054855300.1,48.276,58,28,1,29,86,484,651,5.13E-12,60.1,62.07,0,1,,,,,,,,,,,,,,
OCT73558.1,XM_054855300.1,48.333,60,29,1,27,86,1372,1545,3.34E-11,57.8,58.33,0,1,,,,,,,,,,,,,,
OCT73558.1,XM_054855300.1,36.145,83,44,2,4,86,43,264,1.79E-10,55.8,49.4,0,1,,,,,,,,,,,,,,
OCT73558.1,XM_054855300.1,41.27,63,35,1,24,86,274,456,3.03E-10,55.1,58.73,0,1,,,,,,,,,,,,,,
OCT73558.1,XM_054855300.1,44.444,72,38,1,15,86,1528,1737,4.15E-13,63.2,56.94,0,1,,,,,,,,,,,,,,
OCT73558.1,XM_054855300.1,50,58,27,1,29,86,1759,1926,1.50E-12,61.6,62.07,0,1,,,,,,,,,,,,,,
OCT73558.1,XM_054855300.1,48.276,58,28,1,29,86,484,651,5.13E-12,60.1,62.07,0,1,,,,,,,,,,,,,,
OCT73558.1,XM_054855300.1,48.333,60,29,1,27,86,1372,1545,3.34E-11,57.8,58.33,0,1,,,,,,,,,,,,,,
OCT73558.1,XM_054855300.1,36.145,83,44,2,4,86,43,264,1.79E-10,55.8,49.4,0,1,,,,,,,,,,,,,,
OCT73558.1,XM_054855300.1,41.27,63,35,1,24,86,274,456,3.03E-10,55.1,58.73,0,1,,,,,,,,,,,,,,
OCT73558.1,XM_054859040.1,40.506,79,44,2,14,91,545,775,2.59E-10,55.1,51.9,0,2,,,,,,,,,,,,,,
OCT73558.1,XM_054859040.1,35.593,59,32,2,28,86,395,553,0.006,34.3,45.76,0,2,,,,,,,,,,,,,,
OCT73558.1,XM_054859040.1,40.506,79,44,2,14,91,545,775,2.59E-10,55.1,51.9,0,2,,,,,,,,,,,,,,
OCT73558.1,XM_054859040.1,35.593,59,32,2,28,86,395,553,0.006,34.3,45.76,0,2,,,,,,,,,,,,,,
OCT73558.1,XM_054859041.1,40.845,71,40,1,21,91,355,561,3.41E-10,54.7,54.93,0,1,,,,,,,,,,,,,,
OCT73558.1,XM_054859041.1,40.845,71,40,1,21,91,355,561,3.41E-10,54.7,54.93,0,1,,,,,,,,,,,,,,
OCT73558.1,XM_054858361.1,34.118,85,52,2,2,86,528,770,7.07E-08,48.1,52.94,0,3,,,,,,,,,,,,,,
OCT73558.1,XM_054858361.1,34.118,85,52,2,2,86,528,770,7.07E-08,48.1,52.94,0,3,,,,,,,,,,,,,,
OCT73558.1,XM_054853404.1,42.857,63,33,2,24,86,941,1120,7.94E-08,48.1,58.73,0,2,,,,,,,,,,,,,,
OCT73558.1,XM_054853404.1,40.323,62,33,2,29,90,302,475,6.67E-07,45.4,58.06,0,2,,,,,,,,,,,,,,
OCT73558.1,XM_054853404.1,28.409,88,49,2,12,87,35,292,0.018,33.1,43.18,0,2,,,,,,,,,,,,,,
OCT73558.1,XM_054853404.1,32.759,58,37,1,29,86,1328,1495,0.048,32,44.83,0,2,,,,,,,,,,,,,,
OCT73558.1,XM_054853404.1,42.857,63,33,2,24,86,941,1120,7.94E-08,48.1,58.73,0,2,,,,,,,,,,,,,,
OCT73558.1,XM_054853404.1,40.323,62,33,2,29,90,302,475,6.67E-07,45.4,58.06,0,2,,,,,,,,,,,,,,
OCT73558.1,XM_054853404.1,28.409,88,49,2,12,87,35,292,0.018,33.1,43.18,0,2,,,,,,,,,,,,,,
OCT73558.1,XM_054853404.1,32.759,58,37,1,29,86,1328,1495,0.048,32,44.83,0,2,,,,,,,,,,,,,,
AII97923.1,XM_054853555.1,50.704,284,133,3,27,308,248,1084,4.52E-94,290,64.08,0,2,,,,,,,,,,,,,,
AII97923.1,XM_054853555.1,50.704,284,133,3,27,308,248,1084,4.52E-94,290,64.08,0,2,,,,,,,,,,,,,,
