HOG	OG	Best_hit	Subject_id	Gene	Db_xref	Protein	Protein_id	Location	Gbkey	E_val	iden	len	Coords
N5.HOG0000042	OG0000000	gnl|BL_ORD_ID|24634 lcl|NC_092212.1_cds_XP_015905300.1_24635 [gene=LOC107437725] [db_xref=GeneID:107437725] [protein=zinc finger protein 28] [protein_id=XP_015905300.1] [location=complement(19715591..19716592)] [gbkey=CDS]	gnl|BL_ORD_ID|24634 lcl|NC_092212.1_cds_XP_015905300.1_24635	LOC107437725	GeneID:107437725	zinc finger protein 28	XP_015905300.1	complement(19715591..19716592)	CDS	8.322e-82	372	672	[70, 741]
N5.HOG0000052	OG0000000	gnl|BL_ORD_ID|5597 lcl|NC_092205.1_cds_XP_071033896.1_5598 [gene=LOC122270204] [db_xref=GeneID:122270204] [protein=zinc finger protein 271-like] [protein_id=XP_071033896.1] [location=79380715..79382022] [gbkey=CDS]	gnl|BL_ORD_ID|5597 lcl|NC_092205.1_cds_XP_071033896.1_5598	LOC122270204	GeneID:122270204	zinc finger protein 271-like	XP_071033896.1	79380715..79382022	CDS	2.17079e-36	222	495	[550, 1044]
N5.HOG0000147	OG0000000	gnl|BL_ORD_ID|7632 lcl|NC_092206.1_cds_XP_015907658.1_7633 [gene=LOC107439543] [db_xref=GeneID:107439543] [protein=zinc finger protein 271] [protein_id=XP_015907658.1] [location=45265470..45266933] [gbkey=CDS]	gnl|BL_ORD_ID|7632 lcl|NC_092206.1_cds_XP_015907658.1_7633	LOC107439543	GeneID:107439543	zinc finger protein 271	XP_015907658.1	45265470..45266933	CDS	8.6216e-58	261	510	[376, 885]
N5.HOG0000196	OG0000000	gnl|BL_ORD_ID|2770 lcl|NC_092204.1_cds_XP_015904778.1_2771 [gene=LOC107437335] [db_xref=GeneID:107437335] [protein=zinc finger protein egl-43 isoform X1] [protein_id=XP_015904778.1] [location=complement(join(96560874..96561199,96564125..96564168,96564805..96564851))] [gbkey=CDS]	gnl|BL_ORD_ID|2770 lcl|NC_092204.1_cds_XP_015904778.1_2771	LOC107437335	GeneID:107437335	zinc finger protein egl-43 isoform X1	XP_015904778.1	complement(join(96560874..96561199,96564125..96564168,96564805..96564851))	CDS	1.9043e-24	117	216	[187, 402]
N5.HOG0000276	OG0000000	gnl|BL_ORD_ID|127 lcl|NC_092204.1_cds_XP_015912110.2_128 [gene=LOC107442934] [db_xref=GeneID:107442934] [protein=zinc finger protein 28-like] [protein_id=XP_015912110.2] [location=5005250..5006038] [gbkey=CDS]	gnl|BL_ORD_ID|127 lcl|NC_092204.1_cds_XP_015912110.2_128	LOC107442934	GeneID:107442934	zinc finger protein 28-like	XP_015912110.2	5005250..5006038	CDS	1.8965e-50	282	735	[46, 780]
N5.HOG0000428	OG0000000	gnl|BL_ORD_ID|5458 lcl|NC_092205.1_cds_XP_021001662.2_5459 [gene=LOC110282489] [db_xref=GeneID:110282489] [protein=zinc finger protein 84-like] [protein_id=XP_021001662.2] [location=74000991..74001953] [gbkey=CDS]	gnl|BL_ORD_ID|5458 lcl|NC_092205.1_cds_XP_021001662.2_5459	LOC110282489	GeneID:110282489	zinc finger protein 84-like	XP_021001662.2	74000991..74001953	CDS	2.89746e-95	438	822	[139, 924]
N5.HOG0000526	OG0000000	gnl|BL_ORD_ID|8157 lcl|NC_092206.1_cds_XP_042895397.1_8158 [gene=LOC122268854] [db_xref=GeneID:122268854] [protein=gastrula zinc finger protein XlCGF7.1-like] [protein_id=XP_042895397.1] [location=complement(61894928..61895710)] [gbkey=CDS]	gnl|BL_ORD_ID|8157 lcl|NC_092206.1_cds_XP_042895397.1_8158	LOC122268854	GeneID:122268854	gastrula zinc finger protein XlCGF7.1-like	XP_042895397.1	complement(61894928..61895710)	CDS	1.1852e-118	486	702	[4, 702]
N5.HOG0000608	OG0000000	gnl|BL_ORD_ID|29393 lcl|NC_092213.1_cds_XP_021000182.2_29394 [gene=LOC110281921] [db_xref=GeneID:110281921] [protein=zinc finger protein 888] [protein_id=XP_021000182.2] [location=66712621..66713655] [gbkey=CDS]	gnl|BL_ORD_ID|29393 lcl|NC_092213.1_cds_XP_021000182.2_29394	LOC110281921	GeneID:110281921	zinc finger protein 888	XP_021000182.2	66712621..66713655	CDS	1.35945e-55	276	534	[148, 681]
N5.HOG0000716	OG0000000	gnl|BL_ORD_ID|4351 lcl|NC_092205.1_cds_XP_071044163.1_4352 [gene=LOC107454962] [db_xref=GeneID:107454962] [protein=zinc finger protein 271] [protein_id=XP_071044163.1] [location=30912272..30913252] [gbkey=CDS]	gnl|BL_ORD_ID|4351 lcl|NC_092205.1_cds_XP_071044163.1_4352	LOC107454962	GeneID:107454962	zinc finger protein 271	XP_071044163.1	30912272..30913252	CDS	6.36033e-16	114	246	[655, 897]
N5.HOG0001006	OG0000000	gnl|BL_ORD_ID|17920 lcl|NC_092209.1_cds_XP_071037924.1_17921 [gene=LOC139425835] [db_xref=GeneID:139425835] [protein=zinc finger protein 32-like] [protein_id=XP_071037924.1] [location=67154326..67154793] [gbkey=CDS]	gnl|BL_ORD_ID|17920 lcl|NC_092209.1_cds_XP_071037924.1_17921	LOC139425835	GeneID:139425835	zinc finger protein 32-like	XP_071037924.1	67154326..67154793	CDS	8.49082e-42	195	393	[64, 456]
