HOG	OG	Gene Tree Parent Clade	Occupancy	Acroaspis_sp_IDV6688	Acrosomoides_sp_IDV7426	Ainerigone_saitoi	Ambicodamus_IDV6680	Antrodiaetus_roretzi	Araneus_inustus	Arcuphantes_paiki	Arcuphantes_tamaensis	Arcuphantes_uenoi	Argiope_aetheroides	Argiope_bruennichi	Argiope_keyserlingi	Argyrodes_flavescens	Argyrodes_miniaceus	Backobourkia_brouni	Baryphymula_kamakuraensis	Caerostris_darwini	Caerostris_extrusa	Chrysso_octomaculata	Clubiona_robusta	Cryptachaea_gigantipes	Cyclosa_octotuberculata	Cyrtarachne_bufo	Cyrtophora_cicatrosa	Deinopis_sp_IDV6783	Deinopis_sp_IDV7365	Desis_marina	Diaea_subdola	Doenitzius_peniculus	Doenitzius_pruvus	Dolophones_sp_IDV6683	Drapetisca_socialis	Drosophila_melanogaster	Ebrechtella_tricuspidata	Eriophora_pustulosa	Falcileptoneta_japonica	Floronia_bucculenta	Gnathonarium_exsiccatum	Helpis_minitabunda	Hypselistes_asiaticus	Hypsosinga_pygmaea	Larinia_phthisica	Lariniaria_argiopiformis	Larinioides_cornutus	Latrodectus_hasseltii	Lehtinelagia_evanida	Leucauge_dromedari	Masirana_silvicola	Mesida_sp_IDV5268	Metazygia_zilloides	Metleucauge_yunohamensis	Microbathyphantes_tateyamaensis	Neoantistea_quelpartensis	Neon_minutus	Neoscona_adianta	Neoscona_nautica	Neoscona_scylla	Neoscona_subpullata	Neoscona_theisi	Neriene_clathrata	Neriene_oidedicata	Nuctenea_umbratica	Orchestina_okitsui	Ordgarius_hobsoni	Ordgarius_sexspinosus	Oxytate_striatipes	Ozyptila_nongae	Parasteatoda_culicivora	Paratheuma_awasensis	Pardosa_graminea	Pharta_brevipalpus	Phonognatha_graeffei	Phrurolithus_coreanus	Piratula_tanakai	Plebs_sachalinensis	Poecilopachys_australasia	Psechrus_IDV5238	Pseudomicrargus_latitegulatus	Rhomphaea_labiata	Robertus_nojimai	Ryojius_japonicus	Saaristoa_nipponica	Saitonia_ojiroensis	Steatoda_grossa	Stephanopis_cambridgei	Stertinius_kumadai	Syedra_oii	Tekellina_sadamotoi	Tetragnatha_brevignatha	Tetragnatha_extensa	Tetragnatha_filiciphilia	Tetragnatha_mandibulata	Tetragnatha_maxillosa	Tetragnatha_paludicola	Tetragnatha_quasimodo	Tetragnatha_stelarobusta	Tetragnatha_vermiformis	Tetragnatha_waikamoi	Tetragnatha_yesoensis	Theridion_varians	Uloborus_diversus	Ummeliata_osakaensis	Zelotes_iriomotensis
N5.HOG0000042	OG0000000	n521	30			IBTE01045250.1.p1					IAKU01033670.1.p2				IAET01038018.1.p1	IAFU01017320.1.p2	IBQT01027662.1.p2	ICCG01023241.1.p1	IBGF01007960.1.p3						IAQZ01013625.1.p2		IBHY01031234.1.p2											IBIK01029058.1.p2, IBIK01035878.1.p1		ICGA01033433.1.p2, ICGA01025359.1.p2			IAOT01038489.1.p3		IAJV01010093.1.p1, IAJV01019277.1.p1		IAHZ01019957.1.p1							IBVS01042499.1.p1	ICFH01001894.1.p1							IAXT01012028.1.p2			IAPM01002546.1.p1, IAPM01007779.1.p1			ICMU01011756.1.p1							IATW01039505.1.p1			ICHT01026571.1.p1, ICHT01009148.1.p1			IBJR01049059.1.p3	ICFA01019693.1.p2	ICAL01003840.1.p1		IBAR01011710.1.p1		IAPP01031453.1.p1, IAPP01018406.1.p1, IAPP01004324.1.p1, IAPP01000688.1.p1			IAXS01029553.1.p1								GITP01099019.1.p1	GITQ01074980.1.p1			IBMZ01047024.1.p1				
N5.HOG0000052	OG0000000	n667	30				ICBW01009633.1.p1		IAHS01041868.1.p1		IAKU01006172.1.p1	IBBK01025117.1.p1									ICOE01034450.1.p1, ICOE01020152.1.p1						IBHY01006183.1.p1				ICGF01019809.1.p1		IBVW01012136.1.p1											ICEG01034146.1.p1	IAJV01041573.1.p1	IAFI01040479.1.p1	IAHZ01026716.1.p1		IBFM01010861.1.p1				IBDY01012329.1.p1	IBVS01036228.1.p1			IAIC01019294.1.p1	IBRX01015955.1.p1, IBRX01015087.1.p1	ICBF01028066.1.p1	IAEU01018909.1.p1	IBPZ01016824.1.p1		IAFP01028931.1.p1, IAFP01007703.1.p1, IAFP01000876.1.p1	IAQC01004191.1.p1					IALM01031986.1.p1	ICBR01046734.1.p1												ICFA01036094.1.p1		IBWO01022169.1.p1				ICHM01016774.1.p1	IAUC01015023.1.p1, IAUC01043947.1.p3, IAUC01049848.1.p2, IAUC01034674.1.p2, IAUC01026119.1.p2, IAUC01016018.1.p1, IAUC01024507.1.p1, IAUC01027244.1.p1	IAXS01007743.1.p1																IAHP01002859.1.p1
N5.HOG0000147	OG0000000	n1866	34	IANO01045459.1.p1	ICOJ01034563.1.p1				IAHS01010517.1.p1				IASB01004179.1.p1	IBFJ01008057.1.p1	IAET01001136.1.p1					ICOF01016127.1.p1	ICOE01010111.1.p1				IAQZ01021454.1.p1	ICFD01036047.1.p1	IBHY01036715.1.p1, IBHY01023209.1.p1, IBHY01029670.1.p1			GIWQ01381602.1.p1				IBZG01032581.1.p1				IBIK01028214.1.p1						ICEG01018260.1.p1						IBHV01007634.1.p1			IBDY01031959.1.p1	IBVS01031350.1.p1, IBVS01009057.1.p1	ICFH01036969.1.p1, ICFH01009273.1.p1			IBRX01012041.1.p1	ICBF01026346.1.p1	IAEU01009270.1.p1	IBPZ01024792.1.p1	IAXT01012292.1.p1			IAPM01019489.1.p1		IAGL01002019.1.p1	ICMU01001930.1.p1				IARK01036035.1.p1			IATW01005412.1.p1			ICHT01034227.1.p1	ICKB01015416.1.p1	IAQN01003844.1.p1				IBWO01038624.1.p1			IAPP01000817.1.p2																			
N5.HOG0000196	OG0000000	n2556	46	IANO01032399.1.p1	ICOJ01037145.1.p1		ICBW01020954.1.p1		IAHS01007736.1.p1							IAFU01008817.1.p1	IBQT01025194.1.p1		IBGF01043878.1.p1	ICOF01006072.1.p1						ICFD01014754.1.p1	IBHY01005130.1.p1	IBBP01002725.1.p1			ICGF01010448.1.p1		IBVW01042278.1.p1	IBZG01018677.1.p1, IBZG01004248.1.p1				IBIK01041139.1.p1		ICGA01034284.1.p1	ICCR01015754.1.p1				IAJV01031018.1.p1		IAHZ01041432.1.p1	IBKS01003116.1.p1		IBHV01011975.1.p1				IBVS01016666.1.p1	ICFH01015354.1.p1			IBRX01034936.1.p1			IBPZ01017323.1.p1	IAXT01001688.1.p1	IAFP01018621.1.p1				IAGL01040560.1.p1, IAGL01031492.1.p1	ICMU01000314.1.p1	IALM01039207.1.p1	ICBR01028520.1.p1								ICHT01020831.1.p1			IBJR01014622.1.p1	ICFA01004483.1.p1	ICAL01010752.1.p1	IBWO01026510.1.p1	IBAR01012902.1.p1						IALE01037253.1.p1			GITN01088792.1.p1		ICMP01041011.1.p1, ICMP01002610.1.p1	GITO01054842.1.p1, GITO01000601.1.p1		GITQ01025507.1.p1	IAJJ01017983.1.p1	GITR01102608.1.p1	IBMZ01028119.1.p1, IBMZ01009689.1.p1			IBXZ01011769.1.p1	
N5.HOG0000276	OG0000000	n3453	30	IANO01031715.1.p1	ICOJ01034962.1.p1				IAHS01033255.1.p1				IASB01012130.1.p1	IBFJ01030513.1.p1	IAET01007769.1.p1			ICCG01027298.1.p1		ICOF01000903.1.p1	ICOE01014025.1.p1				IAQZ01013785.1.p1	ICFD01041007.1.p1	IBHY01041380.1.p1							IBZG01009391.1.p1, IBZG01029040.1.p1				IBIK01022906.1.p1						ICEG01030255.1.p1	IAJV01027646.1.p1	IAFI01011162.1.p1	IAHZ01030342.1.p1						IBDY01015241.1.p1					IBRX01019363.1.p1	ICBF01039514.1.p1	IAEU01041650.1.p1	IBPZ01047814.1.p1	IAXT01028253.1.p1			IAPM01041038.1.p1		IAGL01036927.1.p1	ICMU01021987.1.p1, ICMU01013273.1.p1							IATW01023225.1.p1			ICHT01014576.1.p1	ICKB01005891.1.p1																											
N5.HOG0000428	OG0000000	n5026	30	IANO01035673.1.p1, IANO01018075.1.p1, IANO01010483.1.p1, IANO01019924.1.p1, IANO01004899.1.p1, IANO01043757.1.p1	ICOJ01031023.1.p1, ICOJ01008835.1.p1, ICOJ01019590.1.p1				IAHS01020317.1.p1				IASB01016211.1.p1, IASB01026636.1.p1, IASB01036448.1.p1	IBFJ01032379.1.p1		IAFU01037045.1.p1		ICCG01025722.1.p1							IAQZ01023644.1.p1, IAQZ01010893.1.p1	ICFD01004793.1.p1, ICFD01001465.1.p1, ICFD01003738.1.p1, ICFD01023577.1.p1, ICFD01019965.1.p1, ICFD01013131.1.p1	IBHY01039831.1.p1			GIWQ01161249.1.p1				IBZG01009175.1.p1, IBZG01030982.1.p1, IBZG01012312.1.p1				IBIK01019046.1.p1						ICEG01036612.1.p1, ICEG01006004.1.p1, ICEG01004209.1.p1, ICEG01003485.1.p1, ICEG01008150.1.p1	IAJV01033898.1.p1, IAJV01005898.1.p1, IAJV01004551.1.p1, IAJV01002133.1.p2, IAJV01043173.1.p1, IAJV01021975.1.p1	IAFI01028488.1.p1, IAFI01014515.1.p1, IAFI01036995.1.p1, IAFI01029702.1.p1, IAFI01031636.1.p1, IAFI01025343.1.p2, IAFI01026213.1.p1	IAHZ01004709.1.p1, IAHZ01038751.1.p1, IAHZ01036161.1.p1								ICFH01033157.1.p1, ICFH01019081.1.p1			IBRX01016394.1.p1, IBRX01000344.1.p1	ICBF01037889.1.p1, ICBF01002105.1.p1	IAEU01024738.1.p1, IAEU01040100.1.p1, IAEU01022814.1.p1, IAEU01009075.1.p1, IAEU01024504.1.p1, IAEU01011681.1.p1	IBPZ01040817.1.p1, IBPZ01045319.1.p1, IBPZ01024923.1.p1, IBPZ01019264.1.p2, IBPZ01046584.1.p1, IBPZ01006366.1.p1, IBPZ01014118.1.p1	IAXT01043410.1.p1, IAXT01037727.1.p1, IAXT01023177.1.p1, IAXT01043084.1.p1			IAPM01026086.1.p1, IAPM01014661.1.p1, IAPM01006456.1.p1, IAPM01008360.1.p1, IAPM01014146.1.p1		IAGL01038066.1.p1, IAGL01021134.1.p1, IAGL01007801.1.p1	ICMU01001876.1.p1, ICMU01010145.1.p1, ICMU01034563.1.p1, ICMU01002931.1.p1, ICMU01034109.1.p1										ICHT01019798.1.p1, ICHT01017390.1.p1, ICHT01004799.1.p1, ICHT01030520.1.p1	ICKB01037038.1.p1, ICKB01007062.1.p1, ICKB01013027.1.p1, ICKB01029385.1.p1, ICKB01018540.1.p1			ICFA01004092.1.p1									IALE01010924.1.p2															
N5.HOG0000526	OG0000000	n6098	60	IANO01006998.1.p1		IBTE01032372.1.p1, IBTE01013380.1.p1, IBTE01009959.1.p1			IAHS01041923.1.p1		IAKU01011586.1.p1	IBBK01008824.1.p1	IASB01017350.1.p1, IASB01017573.1.p1	IBFJ01011987.1.p1, IBFJ01038747.1.p1	IAET01017606.1.p1			ICCG01019373.1.p1	IBGF01007953.1.p1, IBGF01009829.1.p1, IBGF01032389.1.p1			IBWR01017460.1.p1	ICJS01051831.1.p1		IAQZ01023955.1.p1, IAQZ01016579.1.p1				ICOI01039116.1.p1			IBJP01021249.1.p1	IBVW01013017.1.p1	IBZG01020670.1.p2, IBZG01027886.1.p2, IBZG01006794.1.p2, IBZG01026953.1.p1, IBZG01008715.1.p1, IBZG01016567.1.p1	ICKS01001809.1.p1		ICBZ01021970.1.p1	IBIK01012968.1.p1, IBIK01012206.1.p1, IBIK01038270.1.p1			ICCR01029354.1.p1, ICCR01014781.1.p1	IAUM01026604.1.p1		ICEG01015944.1.p1	IAJV01036729.1.p1				IBFM01034717.1.p1			ICDG01015818.1.p1	IBDY01020226.1.p1	IBVS01003461.1.p1	ICFH01009497.1.p1, ICFH01028915.1.p1		IAIC01001321.1.p1	IBRX01000825.1.p1	ICBF01010927.1.p1, ICBF01007488.1.p1	IAEU01029046.1.p1, IAEU01028793.1.p1, IAEU01028289.1.p1, IAEU01040394.1.p2	IBPZ01041588.1.p1	IAXT01028536.1.p1, IAXT01029564.1.p1, IAXT01028202.1.p1, IAXT01011987.1.p1, IAXT01031463.1.p1	IAFP01035523.1.p1, IAFP01028422.1.p1	IAQC01025955.1.p1	IAPM01019666.1.p1, IAPM01038186.1.p1, IAPM01041050.1.p1, IAPM01020468.1.p1		IAGL01015371.1.p1				IBTW01008111.1.p1						IBYA01018973.1.p1	ICHT01041648.1.p1, ICHT01010452.1.p1, ICHT01019875.1.p1, ICHT01015893.1.p2, ICHT01045107.1.p1			IBJR01029679.1.p1		ICAL01008255.1.p1	IBWO01005652.1.p1, IBWO01022679.1.p1			IAPP01025031.1.p1			IAXS01006624.1.p1	IALE01047949.1.p2	GITM01012503.1.p1	IAHF01020472.1.p1		ICFC01016790.1.p1	ICMP01015788.1.p1	GITO01008350.1.p1		GITQ01061404.1.p1	IAJJ01012654.1.p1	GITR01076404.1.p1	IBMZ01031080.1.p1		GJZJ01041115.1.p1	IBXZ01032021.1.p1	IAHP01038171.1.p1
N5.HOG0000608	OG0000000	n7478	92	IANO01028279.1.p1	ICOJ01035145.1.p1	IBTE01036657.1.p2, IBTE01013542.1.p2	ICBW01033580.1.p1, ICBW01012302.1.p1		IAHS01034846.1.p1	IAWN01006280.1.p1	IAKU01019027.1.p1	IBBK01016379.1.p1	IASB01040301.1.p1	IBFJ01007682.1.p1	IAET01014470.1.p1	IAFU01004431.1.p1	IBQT01013735.1.p1, IBQT01037630.1.p1	ICCG01022508.1.p1	IBGF01009243.1.p1	ICOF01013043.1.p1	ICOE01010027.1.p1	IBWR01050717.1.p1	ICJS01010334.1.p2	IBTR01041594.1.p1, IBTR01019755.1.p1	IAQZ01040484.1.p1	ICFD01011481.1.p1	IBHY01009428.1.p1	IBBP01006049.1.p1	ICOI01036525.1.p1	GIWQ01258107.1.p1, GIWQ01024542.1.p1	ICGF01022393.1.p1	IBJP01008584.1.p1, IBJP01034793.1.p1	IBVW01009091.1.p1	IBZG01005513.1.p1	ICKS01014854.1.p1		ICBZ01000512.1.p1	IBIK01030484.1.p1		ICGA01019750.1.p1	ICCR01025608.1.p1	IAUM01031893.1.p1		ICEG01031009.1.p1	IAJV01006146.1.p1	IAFI01034043.1.p1	IAHZ01040378.1.p1	IBKS01032999.1.p1	IBFM01007185.1.p1	IBHV01018790.1.p1, IBHV01025726.1.p1		ICDG01038631.1.p1, ICDG01024201.1.p1	IBDY01041527.1.p1	IBVS01021443.1.p1, IBVS01034012.1.p1		IBHE01035608.1.p1	IAIC01043089.1.p1	IBRX01006080.1.p1	ICBF01019360.1.p1	IAEU01024596.1.p1	IBPZ01003881.1.p1	IAXT01026900.1.p1			IAPM01005031.1.p1		IAGL01016936.1.p1, IAGL01013070.1.p1	ICMU01008584.1.p1, ICMU01027234.1.p1	IALM01039905.1.p1	ICBR01022861.1.p1	IBTW01036241.1.p1	IARK01037150.1.p1	ICDS01011812.1.p1	IAWA01040071.1.p1	IATW01001061.1.p1	IBPN01023673.1.p1	IBYA01030462.1.p1	ICHT01014933.1.p1	ICKB01019010.1.p1, ICKB01005602.1.p1	IAQN01024433.1.p1	IBJR01040978.1.p1	ICFA01040898.1.p1	ICAL01042699.1.p1, ICAL01009509.1.p1	IBWO01001602.1.p1	IBAR01005355.1.p1	IAHB01009016.1.p1	IAPP01007733.1.p1, IAPP01028675.1.p1	ICHM01028661.1.p1	IAUC01024254.1.p1			GITM01046010.1.p1	IAHF01018489.1.p2	GITN01025630.1.p1	ICFC01020209.1.p1	ICMP01039300.1.p1	GITO01017971.1.p1, GITO01017970.1.p1	GITP01113446.1.p1	GITQ01102179.1.p1, GITQ01102180.1.p1	IAJJ01019261.1.p1	GITR01079926.1.p1	IBMZ01032969.1.p1	ICEL01011602.1.p1	GJZJ01044934.1.p1, jg45330.t1.p1	IBXZ01002813.1.p1	IAHP01026870.1.p1
N5.HOG0000716	OG0000000	n8909	30							IAWN01032048.1.p1	IAKU01002854.1.p1, IAKU01033498.1.p1, IAKU01032708.1.p1									ICOF01028628.1.p1	ICOE01007449.1.p1, ICOE01036426.1.p1					ICFD01025746.1.p1, ICFD01018532.1.p1	IBHY01019766.1.p1	IBBP01004748.1.p1	ICOI01008079.1.p1, ICOI01014713.1.p1				IBVW01020828.1.p1										IAOT01013784.1.p1			IAFI01035331.1.p1													ICBF01007376.1.p1, ICBF01035940.1.p1	IAEU01009510.1.p1		IAXT01026545.1.p1					IAGL01040386.1.p1											ICHT01032654.1.p1				ICFA01020266.1.p1, ICFA01001552.1.p1				IAHB01005299.1.p1	IAPP01032298.1.p1, IAPP01006659.1.p1					GITM01104205.1.p1	IAHF01033560.1.p1	GITN01040758.1.p1	ICFC01022556.1.p1	ICMP01024284.1.p1	GITO01074843.1.p1	GITP01087959.1.p2	GITQ01045752.1.p1, GITQ01045753.1.p1	IAJJ01007593.1.p1	GITR01043026.1.p1	IBMZ01012394.1.p1				
N5.HOG0001006	OG0000000	n12308	30	IANO01038937.1.p1	ICOJ01038359.1.p1														IBGF01036466.1.p1		ICOE01029852.1.p1					ICFD01027523.1.p1	IBHY01036222.1.p1								ICKS01002195.1.p1, ICKS01001361.1.p1										IAJV01043155.1.p3	IAFI01035288.1.p1, IAFI01008922.1.p1, IAFI01002554.1.p1	IAHZ01012874.1.p2						IBDY01016516.1.p1		ICFH01046845.1.p1				ICBF01001873.1.p1		IBPZ01034207.1.p1		IAFP01034793.1.p1	IAQC01041892.1.p1	IAPM01034622.1.p2		IAGL01034346.1.p1, IAGL01014780.1.p1				IBTW01024728.1.p1		ICDS01002983.1.p1		IATW01027773.1.p1			ICHT01045177.1.p1	ICKB01015164.1.p1, ICKB01010077.1.p1, ICKB01034113.1.p1					IBWO01039534.1.p1	IBAR01032257.1.p1									GITN01029819.1.p1						IAJJ01034404.1.p1		IBMZ01015539.1.p1	ICEL01009713.1.p1	GJZJ01194826.1.p1		
